panel,dna_nM,time_h,value_uM,estimated_reading_error_uM,source_page,auditor,simulation_hidden_during_reading,notes
nt,0.34,0.5,20,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
nt,0.34,1.0,30,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
nt,0.34,1.5,40,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
nt,0.34,2.0,50,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
nt,0.34,2.5,60,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
nt,0.34,3.0,70,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
nt,0.34,3.5,80,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
nt,0.34,4.0,90,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
nt,1.7,0.5,60,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
nt,1.7,1.0,130,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
nt,1.7,1.5,180,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
nt,1.7,2.0,210,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
nt,1.7,2.5,250,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
nt,1.7,3.0,300,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
nt,1.7,3.5,340,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
nt,1.7,4.0,370,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
nt,6.8,0.5,170,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
nt,6.8,1.0,280,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
nt,6.8,1.5,410,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
nt,6.8,2.0,520,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
nt,6.8,2.5,600,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
nt,6.8,3.0,660,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
nt,6.8,3.5,710,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
nt,6.8,4.0,780,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
a,0.34,0.5,5,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
a,0.34,1.0,10,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
a,0.34,1.5,15,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
a,0.34,2.0,20,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
a,0.34,2.5,25,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
a,0.34,3.0,30,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
a,0.34,3.5,33,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
a,0.34,4.0,36,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
a,1.7,0.5,15,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
a,1.7,1.0,30,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
a,1.7,1.5,45,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
a,1.7,2.0,60,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
a,1.7,2.5,70,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
a,1.7,3.0,80,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
a,1.7,3.5,85,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
a,1.7,4.0,90,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
a,6.8,0.5,25,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
a,6.8,1.0,50,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
a,6.8,1.5,75,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
a,6.8,2.0,90,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
a,6.8,2.5,110,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
a,6.8,3.0,125,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
a,6.8,3.5,130,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
a,6.8,4.0,140,,Mavelli_2015_Fig4_page14,Sean,false,approximate_manual_read_nonblind
