panel,dna_nM,time_h,value_uM,estimated_reading_error_uM,source_page,auditor,simulation_hidden_during_reading,notes
nt,0.34,0.5,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
nt,0.34,1.0,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
nt,0.34,1.5,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
nt,0.34,2.0,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
nt,0.34,2.5,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
nt,0.34,3.0,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
nt,0.34,3.5,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
nt,0.34,4.0,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
nt,1.7,0.5,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
nt,1.7,1.0,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
nt,1.7,1.5,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
nt,1.7,2.0,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
nt,1.7,2.5,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
nt,1.7,3.0,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
nt,1.7,3.5,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
nt,1.7,4.0,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
nt,6.8,0.5,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
nt,6.8,1.0,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
nt,6.8,1.5,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
nt,6.8,2.0,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
nt,6.8,2.5,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
nt,6.8,3.0,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
nt,6.8,3.5,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
nt,6.8,4.0,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
a,0.34,0.5,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
a,0.34,1.0,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
a,0.34,1.5,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
a,0.34,2.0,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
a,0.34,2.5,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
a,0.34,3.0,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
a,0.34,3.5,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
a,0.34,4.0,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
a,1.7,0.5,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
a,1.7,1.0,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
a,1.7,1.5,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
a,1.7,2.0,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
a,1.7,2.5,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
a,1.7,3.0,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
a,1.7,3.5,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
a,1.7,4.0,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
a,6.8,0.5,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
a,6.8,1.0,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
a,6.8,1.5,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
a,6.8,2.0,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
a,6.8,2.5,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
a,6.8,3.0,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
a,6.8,3.5,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
a,6.8,4.0,,,,Mavelli_2015_Fig4_page14,,,fill_after_blind_reading
