curve_type,dna_nM,time_h,nt_uM,a_uM,digitization_flag
calculated_continuous,6.8,0.5,140.307692307692,19.7512295636741,merged_with_experimental
calculated_continuous,6.8,1,276.923076923077,49.2306766736354,merged_with_experimental
calculated_continuous,6.8,1.5,398.769230769231,75.467384601501,merged_with_experimental
calculated_continuous,6.8,2,507.692307692308,96.102997578474,merged_with_experimental
calculated_continuous,6.8,2.5,590.769230769231,112.906282431152,merged_with_experimental
calculated_continuous,6.8,3,659.076923076923,122.929294448539,merged_with_experimental
calculated_continuous,6.8,3.5,710.769230769231,131.773128581527,merged_with_experimental
calculated_continuous,6.8,4,775.384615384615,137.963812474619,assigned_nearest_to_simulation
calculated_continuous,1.7,0.5,62.7692307692308,10.3178064884865,merged_with_experimental
calculated_continuous,1.7,1,121.846153846154,28.3002692255629,merged_with_experimental
calculated_continuous,1.7,1.5,171.692307692308,45.9879374915397,merged_with_experimental
calculated_continuous,1.7,2,214.153846153846,60.4328665754208,merged_with_experimental
calculated_continuous,1.7,2.5,254.769230769231,71.3402620061065,merged_with_experimental
calculated_continuous,1.7,3,295.384615384615,80.1840961390948,merged_with_experimental
calculated_continuous,1.7,3.5,319.384615384615,86.964368974386,assigned_nearest_to_simulation
calculated_continuous,1.7,4,345.230769230769,91.6810805119798,assigned_nearest_to_simulation
calculated_continuous,0.34,0.5,14.7692307692308,2.65315023989652,merged_with_experimental
calculated_continuous,0.34,1,22.1538461538462,8.8438341329884,merged_with_experimental
calculated_continuous,0.34,1.5,38.7692307692308,15.0345180260803,merged_with_experimental
calculated_continuous,0.34,2,55.3846153846154,20.6356129769729,merged_with_experimental
calculated_continuous,0.34,2.5,66.4615384615385,25.3523245145668,merged_with_experimental
calculated_continuous,0.34,3,75.6923076923077,28.8898581677621,merged_with_experimental
calculated_continuous,0.34,3.5,84.9230769230769,32.1325973498579,merged_with_experimental
calculated_continuous,0.34,4,90.4615384615385,34.1961586475552,merged_with_experimental
