panel,color,dna_nM,time_h,value_uM,continuity_score,cluster_height_px
nt,red,6.8,0.5,140.307692307692,1,26
nt,red,6.8,1,276.923076923077,1,21
nt,red,6.8,1.5,398.769230769231,1,13
nt,red,6.8,2,507.692307692308,1,17
nt,red,6.8,2.5,590.769230769231,1,14
nt,red,6.8,3,659.076923076923,1,10
nt,red,6.8,3.5,710.769230769231,1,16
nt,red,6.8,4,775.384615384615,0.714285714285714,8
nt,red,6.8,4,749.538461538462,0.904761904761905,11
nt,green,1.7,0.5,62.7692307692308,1,15
nt,green,1.7,1,121.846153846154,1,13
nt,green,1.7,1.5,171.692307692308,1,12
nt,green,1.7,2,214.153846153846,1,12
nt,green,1.7,2.5,254.769230769231,1,9
nt,green,1.7,3,295.384615384615,1,12
nt,green,1.7,3.5,336,1,10
nt,green,1.7,3.5,319.384615384615,1,7
nt,green,1.7,4,380.307692307692,0.904761904761905,10
nt,green,1.7,4,345.230769230769,0.714285714285714,7
nt,blue,0.34,0.5,14.7692307692308,1,9
nt,blue,0.34,1,22.1538461538462,1,14
nt,blue,0.34,1.5,38.7692307692308,1,13
nt,blue,0.34,2,55.3846153846154,1,11
nt,blue,0.34,2.5,66.4615384615385,1,11
nt,blue,0.34,3,75.6923076923077,1,11
nt,blue,0.34,3.5,84.9230769230769,1,13
nt,blue,0.34,4,90.4615384615385,0.904761904761905,11
a,red,6.8,0.5,19.7512295636741,0.666666666666667,10
a,red,6.8,0.5,6.19068389309188,1,13
a,red,6.8,1,49.2306766736354,0.761904761904762,11
a,red,6.8,1,36.8493088874517,0.523809523809524,10
a,red,6.8,1,33.3117752342563,0.428571428571429,2
a,red,6.8,1.5,75.467384601501,0.904761904761905,9
a,red,6.8,1.5,72.8142343616045,0.571428571428571,6
a,red,6.8,2,102.588475942665,1,11
a,red,6.8,2,96.102997578474,1,9
a,red,6.8,2.5,112.906282431152,1,19
a,red,6.8,3,122.929294448539,1,8
a,red,6.8,3,115.854227142148,1,11
a,red,6.8,3.5,131.773128581527,1,7
a,red,6.8,3.5,115.264638199949,1,11
a,red,6.8,4,137.963812474619,0.666666666666667,7
a,red,6.8,4,112.316693488953,0.857142857142857,11
a,green,1.7,0.5,10.3178064884865,1,8
a,green,1.7,0.5,1.76876682659768,0.476190476190476,3
a,green,1.7,1,28.3002692255629,1,10
a,green,1.7,1,22.9939687457698,0.857142857142857,10
a,green,1.7,1.5,54.5369771534285,0.428571428571429,8
a,green,1.7,1.5,51.883826913532,0.476190476190476,7
a,green,1.7,1.5,45.9879374915397,1,7
a,green,1.7,2,79.0049182546964,1,10
a,green,1.7,2,60.4328665754208,1,7
a,green,1.7,2.5,95.2186141651751,1,11
a,green,1.7,2.5,71.3402620061065,1,8
a,green,1.7,3,100.819709116068,1,9
a,green,1.7,3,80.1840961390948,1,7
a,green,1.7,3.5,102.588475942665,1,10
a,green,1.7,3.5,86.964368974386,1,9
a,green,1.7,4,101.998887000466,0.80952380952381,10
a,green,1.7,4,91.6810805119798,0.666666666666667,7
a,blue,0.34,0.5,2.65315023989652,1,11
a,blue,0.34,1,8.8438341329884,1,7
a,blue,0.34,1,5.60109495089266,1,11
a,blue,0.34,1.5,15.0345180260803,1,6
a,blue,0.34,1.5,10.9073954306857,1,9
a,blue,0.34,2,20.6356129769729,1,5
a,blue,0.34,2,15.0345180260803,1,10
a,blue,0.34,2.5,25.3523245145668,1,6
a,blue,0.34,2.5,17.3928737948772,1,10
a,blue,0.34,3,28.8898581677621,1,6
a,blue,0.34,3,17.9824627370764,1,10
a,blue,0.34,3.5,32.1325973498579,1,5
a,blue,0.34,3.5,17.9824627370764,1,11
a,blue,0.34,4,34.1961586475552,0.666666666666667,6
a,blue,0.34,4,19.1616406214749,0.857142857142857,11
