item,type,path_or_identifier,sha256,role,access_notes,license_status
Mavelli_2015_paper_pdf,source_pdf,references/R01_Mavelli2015/A_Simple_Protein_Synthesis_Model_PURE.pdf,7082156ccedda9b9d5e4302b6ec7dd76a8f33cdd8974efa252663639c93238a3,primary_source (Sect. 2, Eqs. (1)-(29), Table 1, Table 2, Fig. 3, Fig. 4 captions),Password-protected original PDF; original file name "A Simple Protein Synthesis Model for the PURE System Operation.pdf" (renamed 2026-09-18, content and sha256 unchanged),publisher copyright; quoted equations/tables for scientific reproduction only
Mavelli_2015_paper_pdf_normalized,source_pdf_decrypted,references/R01_Mavelli2015/A_Simple_Protein_Synthesis_Model_PURE_normalized.pdf,838d1f5df209ceb9bccdd64b5e5e075cd80e4eb0f982760eecd4cc5a6b4bb7d0,audit source: page-by-page verification of equations/tables and raster source for Fig. 4 digitization,Ghostscript-normalized (decrypted) version of the same paper; Encrypted: no; rendered with pdftoppm -r 150/300 (poppler); pages 5-14 audited 2026-09-18,same as above
Mavelli_2015_fig4_page14_render,raster_render,data/raw/literature/R01/mavelli2015_fig4_page14_300dpi.png,,input of matlab/tools/digitization/digitize_fig4.m,300-dpi render of normalized PDF page 14 (pdftoppm -png -r 300 -f 14 -l 14),derived from the source PDF; stored to make the digitization auditable
Mavelli_2015_paper_md,text_conversion,references/R01_Mavelli2015/A_Simple_Protein_Synthesis_Model_PURE.md,b47bb4e08885f573fabe49068924a0d459d1ff912bc438f4c22b081ffd937af8,text source of the FIRST transcription pass (same paper, preserves pagination),Equations/tables transcribed from this file were later audited page-by-page against the normalized PDF: no discrepancies found; original file name "A Simple Protein Synthesis Model for the PURE System Operation.md" (renamed 2026-09-18, content and sha256 unchanged),same as above
tasklist,project_plan,tasklist.md,341e7c707bbfec4f7a7b71d62aeec1c3ea9c449928bba0ee7e153e507cc3b125,B1 benchmark specification and acceptance criteria (T01-T18, Sect. 3/15),read in full,project internal
Mavelli_2015_Fig4_digitized_calculated_curves,digitized_data,data/processed/literature/R01/fig4/fig4_digitized.csv,,calculated (continuous) curves of Fig. 4 at t = 0.5:0.5:4 h; comparison target for this benchmark,provenance: digitized_from_Mavelli_2015_Fig4; automated extraction (matlab/tools/digitization/digitize_fig4.m): axes-box + tick-mark calibration; color-cluster extraction; calculated-vs-dotted assignment (flags in file); reading precision ~1-2 % of panel full scale; where the dotted and continuous curves overlap the point is flagged merged_with_experimental; NOT experimental data and NOT a substitute for the original Stogbauer 2012 data,derived from the source PDF
Mavelli_2015_Fig4_digitized_all_clusters,digitized_data,data/processed/literature/R01/fig4/fig4_digitized_all_clusters.csv,,all extracted pixel clusters (audit trail of the curve assignment),includes experimental-curve clusters where separated,derived from the source PDF
Stoegbauer_2012_experimental_data,machine_readable_data,ABSENT (not present in repo),,experimental curves of Fig. 4 (digitized by the original authors from Stogbauer et al. 2012),No machine-readable data found in the workspace; therefore the experimental dotted curves were NOT digitized and NOT overlaid,n/a
MATLAB_R2025b,software,D:\Code\MATLAB\MATLAB2025b\bin\matlab.exe,,solver (ode15s) and test runner,version 25.2.0.3177638 (R2025b) Update 5; see environment_lock.md,licensed local installation
Matsuura_2017_paper_pdf,source_pdf,references/PNAS2017_Matsuura/raw/matsuura-et-al-2017-reaction-dynamics-analysis-of-a-reconstituted-escherichia-coli-protein-translation-system-by.pdf,e340ba829f87121e723059aebecc56c342c37c2cc4687692d1447f16b38f2a4e,"primary benchmark article (PNAS 114(8):E1336-E1344), DOI 10.1073/pnas.1615351114","provided in ref-PNAS/ drop, copied unchanged to raw/ 2026-09-24; per-file download URL not captured",publisher copyright; scientific reproduction of the reference network only
Matsuura_2017_combined_SBML,source_sbml,references/PNAS2017_Matsuura/raw/fMGG_synthesis.xml,dc43bcec367f52105fe8d1ba328e59b064935df5faf8f880e078b212a40183df,CANONICAL reference model PNAS2017_full_reference (SBML L2V4; 241 species/968 reactions/26 subsystems),"format verified by header not filename 2026-09-24; numeric kinetic params are PLACEHOLDERS=1, real values in authors dat CSVs",author/publisher supplied; immutable
Matsuura_2017_subsystem_SBMLs_zip,source_zip,references/PNAS2017_Matsuura/raw/SBML_files.zip,24f0748c883eb6dcb748c20de7fdb2c8e495397f4b8ffb6c82246a03f0a93b03,26 per-subsystem SBML files (source of Level-B module membership),unpacked (read-only) to models/.../original/subsystems 2026-09-24,author/publisher supplied; immutable
Matsuura_2017_simulator_zip,source_zip,references/PNAS2017_Matsuura/raw/Simulate_fMGG_synthesis.zip,beb27ebbd314133fbd83f68dcf8ad2ebe08cb16a1adda170b6b7b408ad355b52,"authors' MATLAB simulator + dat CSVs (real initial values, parameters, reaction export)",unpacked (read-only) to models/.../original/simulate 2026-09-24; used for Phase-4 integrity run,author-supplied; immutable
Matsuura_2017_SI_datasets_S1_S29,source_xlsx_bundle,references/PNAS2017_Matsuura/raw/pnas.1615351114.sd01..29.xlsx,(33-file manifest: see references/PNAS2017_Matsuura/provenance/source_manifest.csv),Supporting Information Datasets S1-S29 (incl. S27/S28 simulation data) — timescale/trajectory evidence for reduction,present 2026-09-24; NOT YET machine-parsed (openpyxl unavailable; will use stdlib xlsx reader),PNAS open Supporting Information
