time_s,NTP,NXP,nt,A,T,AT,a,CP,C,TLcat,M,D_nt,D_TLcat,V_TX,V_nt_deg,V_RS,V_TL,V_TL_deg,V_EN,mRNA,protein,diag_tau_M,diag_tau_A,diag_tau_NTP,diag_tau_T,diag_tau_slow_state,diag_epsilon_state,diag_dh_dt,diag_tau_slow_track,diag_epsilon_track
0,1500,0,0,300,1.9,0,0,20000,0,2.2,0.008,0,0,0.040227659172492,0,0.700722753424377,0,0.0004092,0,0,0,0.000570839177185601,8562.587657784,8097.70788705186,124.728360215054,124.728360215054,4.5766590389016e-06,1.38084977959678e-06,115870.677871073,4.92651970001215e-09
10,1499.1433007712,3.02450970725394,0.402109905288577,299.662968980792,1.75346595933729,0.146534040662712,3.6468264852898e-05,19996.283834432,3.71616556802537,2.19591180320165,0.00801804539561815,0.00015925726958307,0.00408819679835046,0.0402264952332152,3.18471044988553e-05,0.648139488204855,1.07369627129121e-05,0.000408439595395507,0.556809795512837,0.000563179139059631,1.53228003583605e-07,0.000573097672219385,9257.2380650696,45599.7544928316,134.849749887653,134.849749887653,4.24989792488934e-06,1.99394002388913e-06,80243.1357428315,7.14201491397452e-09
20,1498.97038029244,3.31390812462759,0.803895818966844,299.351202750282,1.61792107164353,0.282078928356468,0.000276259950958286,19990.3374486404,9.66255135962282,2.19183120338196,0.00803802997418802,0.000636856687759515,0.00816879661803636,0.0402262601446634,6.36685488621741e-05,0.599528156804761,3.99655865008974e-05,0.000407680603829045,0.606009772419379,0.00112590450835692,1.16075609646338e-06,0.000575190788271931,10007.8373547015,177375.485591734,145.79102854785,145.79102854785,3.94530990007488e-06,1.97016408027719e-06,81211.5100471679,7.08262643974799e-09
30,1498.91229410886,3.14397156282886,1.20536229459497,299.062860113689,1.49256835595335,0.407431644046648,0.000884936817337163,19984.3994611262,15.600538873769,2.1877581864237,0.00805716321292714,0.00143254393722314,0.0122418135763049,0.0402261811638812,9.54646937319218e-05,0.554394640243668,8.39673001133566e-05,0.000406923022674807,0.577196574087406,0.00168818248542713,3.71822192158472e-06,0.000577138189755634,10822.5793068085,341024.7005318,157.673312577367,157.673312577367,3.66034162865984e-06,1.85155645006659e-06,86413.7844645492,6.67877461138624e-09
40,1498.87097847851,2.90695468970685,1.60651029972547,298.796269173647,1.37668377241781,0.523316227582189,0.0019950281606694,19978.8284231365,21.1715768635558,2.18369273823583,0.00807503005700418,0.00254606649026306,0.0163072617641696,0.0402261249827717,0.000127235615738257,0.512484780743166,0.000139815338678345,0.000406166849311864,0.536629603885964,0.00225001442538582,8.38247126331679e-06,0.000578950026517326,11707.6254069976,366688.669113196,170.58818940672,170.58818940672,3.39384589596049e-06,1.72197072860497e-06,92916.794311377,6.23084374367441e-09
50,1498.82847131545,2.67470578851772,2.00734015887459,298.549871231099,1.26959193811511,0.630408061884892,0.00371291269693653,19973.6647962037,26.3352037962781,2.17963484475354,0.00809161855298154,0.00397717226216658,0.0203651552464591,0.0402260671783439,0.000158981340582867,0.473589635627926,0.000205179192028115,0.000405412081124159,0.496441896151314,0.00281140078273752,1.560047351654e-05,0.000580634620353832,12669.1534575356,337348.495288465,184.62794629556,184.62794629556,3.14489020759798e-06,1.59681112745008e-06,100199.702550608,5.79477389227346e-09
60,1498.78179916762,2.45911864868029,2.40785208122468,298.322207851687,1.17066061023304,0.729339389766966,0.0061240466825544,19968.8911345794,31.1088654206478,2.17558449193813,0.00810699024124268,0.00572560936669577,0.0244155080618657,0.0402260037064725,0.000190701884832994,0.437515343166282,0.000278185173351403,0.000404658715500493,0.458744027181957,0.00337234185045473,2.57312885821614e-05,0.000582199729856603,13713.7584190783,306824.250210163,199.891519744562,199.891519744562,2.91257843554637e-06,1.47874042825696e-06,108200.193179676,5.38076423662025e-09
70,1498.73075871774,2.26100652572347,2.80804625932543,298.111914960032,1.0792982046678,0.820701795332201,0.00929699606773353,19964.4808329523,35.519167047761,2.17154166577701,0.00812121794286082,0.00779112607432316,0.0284583342229941,0.0402259342896246,0.000222397263738574,0.404078042871835,0.000357314346322513,0.000403906749834523,0.423762910325804,0.00393283789821489,3.9063008687956e-05,0.000583652770823034,14848.5664910485,282259.117864566,216.486283276081,216.486283276081,2.69602656570491e-06,1.36799431676861e-06,116959.550225283,4.99021045907602e-09
80,1498.67562386279,2.07927381712435,3.20792288699253,297.917718103946,0.994951805193459,0.905048194806542,0.0132865859930107,19960.4071970981,39.5928029019556,2.16750635228359,0.00813437391773146,0.0101734708081147,0.0324936477164096,0.0402258592991953,0.000254067492649808,0.373103057698862,0.00044132656394326,0.000403156181524748,0.391384419088068,0.00449288919746853,5.5825991567272e-05,0.000585000844997165,16081.2932077908,262830.332172839,234.529045238502,234.529045238502,2.49436416032075e-06,1.26434666210977e-06,126547.57179729,4.62277416064727e-09
90,1498.61672595812,1.91259508563034,3.60748216216045,297.738427908399,0.9171052409689,0.982894759031101,0.0181363889190027,19956.6450270035,43.3549729965573,2.16347853749731,0.00814652760024225,0.0128723921462218,0.0365214625026869,0.0402257791847522,0.000285712587243108,0.344424740963001,0.000529203135839053,0.0004024070079745,0.361441283416052,0.00505249602543481,7.62033147857255e-05,0.000586250736922496,17420.2922974129,247230.905791306,254.146944017419,254.146944017419,2.30673927317542e-06,1.16748159254385e-06,137047.128641551,4.27773089982676e-09
100,1498.55438090221,1.75970672015101,4.00672428702305,297.572935585351,0.845277177450057,1.05472282254994,0.0238807104556955,19953.1708147515,46.8291852485135,2.15945820748354,0.00815774515215463,0.0158876388252614,0.040541792516458,0.0402256943748919,0.000317332563532225,0.317886371326583,0.000620102994232488,0.000401659226591939,0.333765446812239,0.00561165866529839,0.000100339119561746,0.000587408908683607,18874.6049278162,234485.813343619,275.478387473719,275.478387473719,2.13232302566621e-06,1.07706515614464e-06,148551.830023655,3.95423542470038e-09
110,1498.48887880994,1.61944824340067,4.40564946772534,297.420208506701,0.779019226356873,1.12098077364313,0.0305461889436668,19949.962694089,50.0373059110142,2.15544534833354,0.00816808937787386,0.0192189597435763,0.0445546516664607,0.040225605263203,0.000348927437843847,0.293340001245229,0.000713328781121833,0.000400912834790038,0.308197124823004,0.00617037740577778,0.000128345331696079,0.000588481497536416,20454.011278676,223912.913885448,298.674072544499,298.674072544499,1.9703133001233e-06,9.92761112444908e-07,161166.667382813,3.65138466342186e-09
120,1498.42048450397,1.49076034641069,4.80425791400972,297.279285866304,0.717914087837061,1.18208591216294,0.038153094618548,19947.0003491031,52.9996508969402,2.15143994616441,0.00817761973116059,0.0228661039642233,0.0485600538355864,0.0402255122089367,0.00038049722678957,0.270646253178907,0.000808300323846285,0.000400167829986581,0.28458606249596,0.00672865254062986,0.000160307120246,0.000589474316822779,22169.0847800429,215028.963587038,323.898099119309,323.898099119309,1.81993756192328e-06,9.14236166727356e-07,175009.484226317,3.36824212372678e-09
130,1498.34943962686,1.37267644059089,5.20254983888383,297.149274455289,0.661573736758106,1.2384262632419,0.0467163926633473,19944.2649191535,55.7350808465263,2.14744198711907,0.00818639236017806,0.0268288207176893,0.0525580128809285,0.0402254155398813,0.000412041947239599,0.249674071766677,0.000904533680292339,0.000399424209604147,0.262791406993096,0.00728648436818464,0.000196287364131711,0.000590392859768096,24031.248992944,207483.308503473,351.329188743561,351.329188743561,1.68045490862711e-06,8.41162899348642e-07,190212.859035862,3.10385356048292e-09
