time_s,NTP,NXP,nt,A,T,AT,a,CP,C,TLcat,D_nt,D_TLcat,V_TX,V_nt_deg,V_RS,V_TL,V_TL_deg,V_EN,mRNA,protein,diag_tau_M,diag_tau_A,diag_tau_NTP,diag_tau_T,diag_tau_slow_state,diag_epsilon_state,diag_dh_dt,diag_tau_slow_track,diag_epsilon_track
0,1500,0,0,300,1.9,0,0,20000,0,2.2,0,0,0.0913645140527784,0,0.700722753424377,0,0.0004092,0,0,0,0.000570839177185601,8562.587657784,7574.9229237207,124.728360215054,124.728360215054,4.5766590389016e-06,1.31607643008175e-06,121573.486419828,4.69542491538268e-09
10,1499.01548935808,3.02441627290052,0.913264592345493,299.662982919845,1.75347263219055,0.146527367809446,8.26838561089034e-05,19996.2839093021,3.71609069790234,2.19591180320165,0.000361702430627983,0.00408819679835046,0.091361475895159,7.2330555713763e-05,0.64808947218998,2.43295738324228e-05,0.000408439595395507,0.556793803507996,0.00127908206210853,3.47411160121443e-07,0.000573100018378651,9257.98096939487,32839.6792968724,134.862985605395,134.862985605395,4.24949822819082e-06,1.92860943610477e-06,82961.3279934755,6.90803814548053e-09
20,1498.71472290821,3.31387255685767,1.82578939418164,299.351252461366,1.61794944610568,0.28205055389432,0.000625293521124204,19990.3376711972,9.6623288028444,2.19183120338196,0.00144641610837647,0.00816879661803636,0.0913605469871577,0.000144602520019186,0.599441280816869,9.03531316229197e-05,0.000407680603829045,0.606003765885311,0.00255712800305552,2.62728370220254e-06,0.000575195279153171,10009.3206657768,70605.8716590532,145.824417653857,145.824417653857,3.94443734737559e-06,1.90419832181554e-06,84024.8613639409,6.84553678299807e-09
30,1498.5287208425,3.14427832196639,2.73758474772979,299.062960707726,1.49263508191242,0.407364918087581,0.00199961341602723,19984.3994932497,15.6005067503104,2.18775818642369,0.00325356030672661,0.0122418135763049,0.0913599723483085,0.0002168167120202,0.554283957488988,0.000189398018805175,0.000406923022674807,0.577248787190235,0.00383415230774481,8.40173704213122e-06,0.000577144592727385,10824.7765769393,87242.3495695081,157.734809891601,157.734809891601,3.65895513567367e-06,1.78493896808306e-06,89638.9192353351,6.43854921110961e-09
40,1498.35942541694,2.90786292312672,3.64865285074911,298.796429311775,1.37680623271458,0.52319376728542,0.00450046931689702,19978.8274482201,21.1725517799533,2.18369273823583,0.00578255836389849,0.0163072617641696,0.0913594492055829,0.000288973305779329,0.512362919859606,0.000314653757727714,0.000406166849311864,0.536785902896514,0.00511015805427046,1.89095349449455e-05,0.000578958090935672,11710.4493073856,88802.3576559602,170.687034379315,170.687034379315,3.39192776440806e-06,1.65470700623373e-06,96693.855405964,5.98753755866851e-09
50,1498.18888626834,2.67642765140703,4.55899444060992,298.550093402742,1.26978760795257,0.630212392047429,0.00836191092833587,19973.6615718845,26.3384281155597,2.17963484475354,0.00903283462446675,0.0203651552464591,0.0913589221061303,0.000361072359696305,0.473468629150607,0.000460711640416474,0.000405412081124158,0.496741440930328,0.00638514627536403,3.5134079530823e-05,0.000580644087948942,12672.4340971943,86947.0286265996,184.774919751987,184.774919751987,3.14243994113653e-06,1.52891744273445e-06,104649.208340407,5.5484804630361e-09
60,1498.0141403925,2.46182462316444,5.4686099929368,298.322488706793,1.17094660077009,0.729053399229908,0.0137694995087072,19968.8840597601,31.1159402399374,2.17558449193813,0.0130038138841189,0.0244155080618657,0.0913583818864183,0.000433113911440594,0.437406513866108,0.000623236259069142,0.000404658715500493,0.459219553438965,0.00765911763716638,5.78550399525514e-05,0.000582210342618092,13717.2168447327,84755.5612787185,200.099235664034,200.099235664034,2.90960802866645e-06,1.41023969936747e-06,113455.889854586,5.13160086588981e-09
70,1497.83499298014,2.26483321235612,6.37749994578367,298.112245683516,1.07969094452517,0.820309055474832,0.0208697777850272,19964.4680073272,35.5319926728413,2.171541665777,0.0176949212949656,0.0284583342229941,0.0913578279353184,0.000505097995706066,0.403991934141575,0.000798725003218543,0.000403906749834523,0.424441681088914,0.00893207275319841,8.7688141953896e-05,0.000583664276847094,14851.7816642778,82752.3075510194,216.769523938109,216.769523938109,2.69255689749883e-06,1.29891385151877e-06,123179.839689074,4.73831008645859e-09
80,1497.65172481023,2.08433043648296,7.28566474025351,297.918084815631,0.995466825495246,0.904533174504756,0.0297776601001192,19960.386471429,39.6135285710362,2.16750635228359,0.023105582356341,0.0324936477164096,0.0913572611120285,0.000577024647428078,0.373049397195805,0.000984329072648281,0.000403156181524747,0.392289088153605,0.0102040122412514,0.000125116218908064,0.000585013002722457,16083.6608907606,80986.7115348683,234.905148287314,234.905148287314,2.49042222781309e-06,1.19471657054344e-06,133922.977168736,4.36827955209934e-09
90,1497.46467283902,1.91896859403465,8.19310482694386,297.738812074493,0.917757038133164,0.982242961866838,0.040582264205199,19956.6140455555,43.3859544444555,2.16347853749731,0.0292352229205866,0.0365214625026869,0.0913566824501478,0.000648893902293953,0.34441242919762,0.00117771839061722,0.0004024070079745,0.362590602387171,0.0114749367324144,0.000170513715147895,0.000586263318101668,17420.9740745369,79434.4836251126,254.636251078767,254.636251078767,2.3023560691691e-06,1.09733358096962e-06,145807.986536438,4.02079016402273e-09
