reaction_id,level_A_module,level_B_subsystems,level_C_family,n_reactants,n_products,rate_law,reverse_partner_id,net_particle_number_change,free_ATP_net,free_ADP_net,free_AMP_net,free_GTP_net,free_GDP_net,free_PPi_net,free_Pi_PO4_net,free_CP_net,candidate_label,candidate_reason,required_assumption,conservation_consequence,osmotic_consequence,ionic_strength_consequence,data_needed_to_validate,HUMAN_REVIEW_REQUIRED
re0000000001,elongation,Elongation_Ca1_fMetCAU,reversible_binding_step,1,2,k1 * elRS70SAGGU0002_fMettRNAfMetCAU,re0000000002,1,0,0,0,0,0,0,0,0,LUMP_CANDIDATE,structurally one reversible step exported as a forward+reverse irreversible pair; can be re-combined into a single reversible reaction. Whether it also sits at FAST_EQUILIBRIUM needs timescale data (not derivable from SBML structure).,lumped intermediate stays near steady state,moiety/particle accounting must be re-derived post-reduction,net_particle_number_change must be preserved or compensated,not assessable: species charge/protonation undefined in SBML,timescale / concentration / flux evidence from PNAS SI Datasets,true
re0000000002,elongation,Elongation_Ca1_fMetCAU,reversible_binding_step,2,1,k1 * elRS70SAGGU0002_fMet * tRNAfMetCAU,re0000000001,-1,0,0,0,0,0,0,0,0,LUMP_CANDIDATE,structurally one reversible step exported as a forward+reverse irreversible pair; can be re-combined into a single reversible reaction. Whether it also sits at FAST_EQUILIBRIUM needs timescale data (not derivable from SBML structure).,lumped intermediate stays near steady state,moiety/particle accounting must be re-derived post-reduction,net_particle_number_change must be preserved or compensated,not assessable: species charge/protonation undefined in SBML,timescale / concentration / flux evidence from PNAS SI Datasets,true
re0000000003,elongation,Elongation_B|Elongation_Ca1_GlyGCC|Elongation_Ca1_fMetCAU|Elongation_Ca2_pept0002|Elongation_Ca2_pept0003|Initiation_B1|Initiation_C|Termination_A_RF1|Termination_A_RF2|Termination_B_RF1|Termination_B_RF2|Termination_C,elongation_step,1,1,k1 * RS50S,,0,0,0,0,0,0,0,0,0,DROP_CANDIDATE,"irreversible degradation/turnover step that returns monomers to the resource pools. A common simplification is to drop or first-order-lump it, but that BREAKS recycling/particle accounting, so it is explicitly not assumed here.",species/reaction irrelevant to all accounting targets,moiety/particle accounting must be re-derived post-reduction,net_particle_number_change must be preserved or compensated,not assessable: species charge/protonation undefined in SBML,timescale / concentration / flux evidence from PNAS SI Datasets,true
re0000000004,elongation,Elongation_B|Elongation_Ca1_GlyGCC|Elongation_Ca1_fMetCAU|Elongation_Ca2_pept0002|Elongation_Ca2_pept0003|Initiation_B1|Initiation_B2|Initiation_C|Termination_A_RF1|Termination_A_RF2|Termination_B_RF1|Termination_B_RF2|Termination_C,elongation_step,1,1,k1 * RS30S,,0,0,0,0,0,0,0,0,0,DROP_CANDIDATE,"irreversible degradation/turnover step that returns monomers to the resource pools. A common simplification is to drop or first-order-lump it, but that BREAKS recycling/particle accounting, so it is explicitly not assumed here.",species/reaction irrelevant to all accounting targets,moiety/particle accounting must be re-derived post-reduction,net_particle_number_change must be preserved or compensated,not assessable: species charge/protonation undefined in SBML,timescale / concentration / flux evidence from PNAS SI Datasets,true
re0000000005,elongation,Elongation_Ca1_fMetCAU|Initiation_C,elongation_step,1,1,k1 * fMettRNAfMetCAU,,0,0,0,0,0,0,0,0,0,DROP_CANDIDATE,"irreversible degradation/turnover step that returns monomers to the resource pools. A common simplification is to drop or first-order-lump it, but that BREAKS recycling/particle accounting, so it is explicitly not assumed here.",species/reaction irrelevant to all accounting targets,moiety/particle accounting must be re-derived post-reduction,net_particle_number_change must be preserved or compensated,not assessable: species charge/protonation undefined in SBML,timescale / concentration / flux evidence from PNAS SI Datasets,true
re0000000006,aminoacylation,Aminoacylation_B_fMetCAU|Elongation_Ca1_fMetCAU,aminoacylation_step,1,1,k1 * tRNAfMetCAU,,0,0,0,0,0,0,0,0,0,DROP_CANDIDATE,"irreversible degradation/turnover step that returns monomers to the resource pools. A common simplification is to drop or first-order-lump it, but that BREAKS recycling/particle accounting, so it is explicitly not assumed here.",species/reaction irrelevant to all accounting targets,moiety/particle accounting must be re-derived post-reduction,net_particle_number_change must be preserved or compensated,not assessable: species charge/protonation undefined in SBML,timescale / concentration / flux evidence from PNAS SI Datasets,true
re0000000007,elongation,Elongation_Ca1_fMetCAU|Elongation_Ca2_pept0002,elongation_step,1,1,k1 * fMet,,0,0,0,0,0,0,0,0,0,DROP_CANDIDATE,"irreversible degradation/turnover step that returns monomers to the resource pools. A common simplification is to drop or first-order-lump it, but that BREAKS recycling/particle accounting, so it is explicitly not assumed here.",species/reaction irrelevant to all accounting targets,moiety/particle accounting must be re-derived post-reduction,net_particle_number_change must be preserved or compensated,not assessable: species charge/protonation undefined in SBML,timescale / concentration / flux evidence from PNAS SI Datasets,true
re0000000008,elongation,Elongation_Ca1_GlyGCC|Elongation_Ca1_fMetCAU|Elongation_Ca2_pept0002|Elongation_Ca2_pept0003|Initiation_C|Termination_A_RF1|Termination_A_RF2|Termination_B_RF1|Termination_B_RF2|Termination_C,elongation_step,1,1,k1 * mRNA,,0,0,0,0,0,0,0,0,0,DROP_CANDIDATE,"irreversible degradation/turnover step that returns monomers to the resource pools. A common simplification is to drop or first-order-lump it, but that BREAKS recycling/particle accounting, so it is explicitly not assumed here.",species/reaction irrelevant to all accounting targets,moiety/particle accounting must be re-derived post-reduction,net_particle_number_change must be preserved or compensated,not assessable: species charge/protonation undefined in SBML,timescale / concentration / flux evidence from PNAS SI Datasets,true
re0000000009,elongation,Elongation_Ca1_fMetCAU|Initiation_C,elongation_step,1,4,k1 * elRS70SAGGU0002_fMettRNAfMetCAU,,3,0,0,0,0,0,0,0,0,DROP_CANDIDATE,"irreversible degradation/turnover step that returns monomers to the resource pools. A common simplification is to drop or first-order-lump it, but that BREAKS recycling/particle accounting, so it is explicitly not assumed here.",species/reaction irrelevant to all accounting targets,moiety/particle accounting must be re-derived post-reduction,net_particle_number_change must be preserved or compensated,not assessable: species charge/protonation undefined in SBML,timescale / concentration / flux evidence from PNAS SI Datasets,true
re0000000010,elongation,Elongation_Ca1_fMetCAU|Initiation_C,elongation_step,1,4,k1 * elRS70SAGGU0002_fMettRNAfMetCAU,,3,0,0,0,0,0,0,0,0,DROP_CANDIDATE,"irreversible degradation/turnover step that returns monomers to the resource pools. A common simplification is to drop or first-order-lump it, but that BREAKS recycling/particle accounting, so it is explicitly not assumed here.",species/reaction irrelevant to all accounting targets,moiety/particle accounting must be re-derived post-reduction,net_particle_number_change must be preserved or compensated,not assessable: species charge/protonation undefined in SBML,timescale / concentration / flux evidence from PNAS SI Datasets,true
re0000000011,elongation,Elongation_Ca1_fMetCAU|Elongation_Ca2_pept0002,elongation_step,1,4,k1 * elRS70SAGGU0002_fMet,,3,0,0,0,0,0,0,0,0,DROP_CANDIDATE,"irreversible degradation/turnover step that returns monomers to the resource pools. A common simplification is to drop or first-order-lump it, but that BREAKS recycling/particle accounting, so it is explicitly not assumed here.",species/reaction irrelevant to all accounting targets,moiety/particle accounting must be re-derived post-reduction,net_particle_number_change must be preserved or compensated,not assessable: species charge/protonation undefined in SBML,timescale / concentration / flux evidence from PNAS SI Datasets,true
re0000000012,elongation,Elongation_Ca1_fMetCAU|Elongation_Ca2_pept0002,elongation_step,1,4,k1 * elRS70SAGGU0002_fMet,,3,0,0,0,0,0,0,0,0,DROP_CANDIDATE,"irreversible degradation/turnover step that returns monomers to the resource pools. A common simplification is to drop or first-order-lump it, but that BREAKS recycling/particle accounting, so it is explicitly not assumed here.",species/reaction irrelevant to all accounting targets,moiety/particle accounting must be re-derived post-reduction,net_particle_number_change must be preserved or compensated,not assessable: species charge/protonation undefined in SBML,timescale / concentration / flux evidence from PNAS SI Datasets,true
re0000000013,elongation,Elongation_Ca2_pept0002,reversible_binding_step,2,1,k1 * EFTu_GTP_GlytRNAGlyGCC * elRS70SAGGU0002_fMet,re0000000021,-1,0,0,0,0,0,0,0,0,LUMP_CANDIDATE,structurally one reversible step exported as a forward+reverse irreversible pair; can be re-combined into a single reversible reaction. Whether it also sits at FAST_EQUILIBRIUM needs timescale data (not derivable from SBML structure).,lumped intermediate stays near steady state,moiety/particle accounting must be re-derived post-reduction,net_particle_number_change must be preserved or compensated,not assessable: species charge/protonation undefined in SBML,timescale / concentration / flux evidence from PNAS SI Datasets,true
re0000000014,elongation,Elongation_Ca2_pept0002,reversible_binding_step,1,1,k1 * elRS70SAGGU0002_fMet_EFTu_GTP_GlytRNAGlyGCC,re0000000015,0,0,0,0,-1,1,0,1,0,LUMP_CANDIDATE,structurally one reversible step exported as a forward+reverse irreversible pair; can be re-combined into a single reversible reaction. Whether it also sits at FAST_EQUILIBRIUM needs timescale data (not derivable from SBML structure).,lumped intermediate stays near steady state,moiety/particle accounting must be re-derived post-reduction,net_particle_number_change must be preserved or compensated,not assessable: species charge/protonation undefined in SBML,timescale / concentration / flux evidence from PNAS SI Datasets,true
re0000000015,elongation,Elongation_Ca2_pept0002,reversible_binding_step,1,1,k1 * elRS70SAGGU0002_fMet_EFTu_GDP_PO4_GlytRNAGlyGCC,re0000000014,0,0,0,0,1,-1,0,-1,0,LUMP_CANDIDATE,structurally one reversible step exported as a forward+reverse irreversible pair; can be re-combined into a single reversible reaction. Whether it also sits at FAST_EQUILIBRIUM needs timescale data (not derivable from SBML structure).,lumped intermediate stays near steady state,moiety/particle accounting must be re-derived post-reduction,net_particle_number_change must be preserved or compensated,not assessable: species charge/protonation undefined in SBML,timescale / concentration / flux evidence from PNAS SI Datasets,true
re0000000016,elongation,Elongation_Ca2_pept0002,reversible_binding_step,1,2,k1 * elRS70SAGGU0002_fMet_EFTu_GDP_PO4_GlytRNAGlyGCC,re0000000060,1,0,0,0,0,0,0,0,0,LUMP_CANDIDATE,structurally one reversible step exported as a forward+reverse irreversible pair; can be re-combined into a single reversible reaction. Whether it also sits at FAST_EQUILIBRIUM needs timescale data (not derivable from SBML structure).,lumped intermediate stays near steady state,moiety/particle accounting must be re-derived post-reduction,net_particle_number_change must be preserved or compensated,not assessable: species charge/protonation undefined in SBML,timescale / concentration / flux evidence from PNAS SI Datasets,true
re0000000017,elongation,Elongation_Ca2_pept0002,reversible_binding_step,1,2,k1 * elRS70SAGGU0002_fMet_EFTu_GDP_GlytRNAGlyGCC,re0000000061,1,0,0,0,0,0,0,0,0,LUMP_CANDIDATE,structurally one reversible step exported as a forward+reverse irreversible pair; can be re-combined into a single reversible reaction. Whether it also sits at FAST_EQUILIBRIUM needs timescale data (not derivable from SBML structure).,lumped intermediate stays near steady state,moiety/particle accounting must be re-derived post-reduction,net_particle_number_change must be preserved or compensated,not assessable: species charge/protonation undefined in SBML,timescale / concentration / flux evidence from PNAS SI Datasets,true
re0000000018,elongation,Elongation_Ca2_pept0002,reversible_binding_step,1,1,k1 * elRS70SAGGU0002_fMet_GlytRNAGlyGCC,re0000000062,0,0,0,0,0,0,0,0,0,LUMP_CANDIDATE,structurally one reversible step exported as a forward+reverse irreversible pair; can be re-combined into a single reversible reaction. Whether it also sits at FAST_EQUILIBRIUM needs timescale data (not derivable from SBML structure).,lumped intermediate stays near steady state,moiety/particle accounting must be re-derived post-reduction,net_particle_number_change must be preserved or compensated,not assessable: species charge/protonation undefined in SBML,timescale / concentration / flux evidence from PNAS SI Datasets,true
re0000000019,elongation,Elongation_Ca2_pept0002,reversible_binding_step,2,1,k1 * elRS70SBGGU0002_Pept0002tRNAGlyGCC * EFG_GTP,re0000000020,-1,0,0,0,0,0,0,0,0,LUMP_CANDIDATE,structurally one reversible step exported as a forward+reverse irreversible pair; can be re-combined into a single reversible reaction. Whether it also sits at FAST_EQUILIBRIUM needs timescale data (not derivable from SBML structure).,lumped intermediate stays near steady state,moiety/particle accounting must be re-derived post-reduction,net_particle_number_change must be preserved or compensated,not assessable: species charge/protonation undefined in SBML,timescale / concentration / flux evidence from PNAS SI Datasets,true
re0000000020,elongation,Elongation_Ca2_pept0002,reversible_binding_step,1,2,k1 * elRS70SBGGU0002_Pept0002tRNAGlyGCC_EFG_GTP,re0000000019,1,0,0,0,0,0,0,0,0,LUMP_CANDIDATE,structurally one reversible step exported as a forward+reverse irreversible pair; can be re-combined into a single reversible reaction. Whether it also sits at FAST_EQUILIBRIUM needs timescale data (not derivable from SBML structure).,lumped intermediate stays near steady state,moiety/particle accounting must be re-derived post-reduction,net_particle_number_change must be preserved or compensated,not assessable: species charge/protonation undefined in SBML,timescale / concentration / flux evidence from PNAS SI Datasets,true
re0000000021,elongation,Elongation_Ca2_pept0002,reversible_binding_step,1,2,k1 * elRS70SAGGU0002_fMet_EFTu_GTP_GlytRNAGlyGCC,re0000000013,1,0,0,0,0,0,0,0,0,LUMP_CANDIDATE,structurally one reversible step exported as a forward+reverse irreversible pair; can be re-combined into a single reversible reaction. Whether it also sits at FAST_EQUILIBRIUM needs timescale data (not derivable from SBML structure).,lumped intermediate stays near steady state,moiety/particle accounting must be re-derived post-reduction,net_particle_number_change must be preserved or compensated,not assessable: species charge/protonation undefined in SBML,timescale / concentration / flux evidence from PNAS SI Datasets,true
re0000000022,elongation,Elongation_Ca2_pept0002,reversible_binding_step,1,1,k1 * elRS70SBGGU0002_Pept0002tRNAGlyGCC_EFG_GTP,re0000000023,0,0,0,0,-1,1,0,1,0,LUMP_CANDIDATE,structurally one reversible step exported as a forward+reverse irreversible pair; can be re-combined into a single reversible reaction. Whether it also sits at FAST_EQUILIBRIUM needs timescale data (not derivable from SBML structure).,lumped intermediate stays near steady state,moiety/particle accounting must be re-derived post-reduction,net_particle_number_change must be preserved or compensated,not assessable: species charge/protonation undefined in SBML,timescale / concentration / flux evidence from PNAS SI Datasets,true
re0000000023,elongation,Elongation_Ca2_pept0002,reversible_binding_step,1,1,k1 * elRS70SBGGU0002_Pept0002tRNAGlyGCC_EFG_GDP_PO4,re0000000022,0,0,0,0,1,-1,0,-1,0,LUMP_CANDIDATE,structurally one reversible step exported as a forward+reverse irreversible pair; can be re-combined into a single reversible reaction. Whether it also sits at FAST_EQUILIBRIUM needs timescale data (not derivable from SBML structure).,lumped intermediate stays near steady state,moiety/particle accounting must be re-derived post-reduction,net_particle_number_change must be preserved or compensated,not assessable: species charge/protonation undefined in SBML,timescale / concentration / flux evidence from PNAS SI Datasets,true
re0000000024,elongation,Elongation_Ca2_pept0002,reversible_binding_step,1,2,k1 * elRS70SBGGU0002_Pept0002tRNAGlyGCC_EFG_GDP_PO4,re0000000066,1,0,0,0,0,0,0,0,0,LUMP_CANDIDATE,structurally one reversible step exported as a forward+reverse irreversible pair; can be re-combined into a single reversible reaction. Whether it also sits at FAST_EQUILIBRIUM needs timescale data (not derivable from SBML structure).,lumped intermediate stays near steady state,moiety/particle accounting must be re-derived post-reduction,net_particle_number_change must be preserved or compensated,not assessable: species charge/protonation undefined in SBML,timescale / concentration / flux evidence from PNAS SI Datasets,true
re0000000025,elongation,Elongation_Ca2_pept0002,reversible_binding_step,1,2,k1 * elRS70SCGGU0003_Pept0002tRNAGlyGCC_EFG_GDP,re0000000067,1,0,0,0,0,0,0,0,0,LUMP_CANDIDATE,structurally one reversible step exported as a forward+reverse irreversible pair; can be re-combined into a single reversible reaction. Whether it also sits at FAST_EQUILIBRIUM needs timescale data (not derivable from SBML structure).,lumped intermediate stays near steady state,moiety/particle accounting must be re-derived post-reduction,net_particle_number_change must be preserved or compensated,not assessable: species charge/protonation undefined in SBML,timescale / concentration / flux evidence from PNAS SI Datasets,true
re0000000026,elongation,Elongation_Ca2_pept0002,reversible_binding_step,1,2,k1 * elRS70SAGGU0002_fMet_EFTu_GDP_GlytRNAGlyGCC,re0000000063,1,0,0,0,0,0,0,0,0,LUMP_CANDIDATE,structurally one reversible step exported as a forward+reverse irreversible pair; can be re-combined into a single reversible reaction. Whether it also sits at FAST_EQUILIBRIUM needs timescale data (not derivable from SBML structure).,lumped intermediate stays near steady state,moiety/particle accounting must be re-derived post-reduction,net_particle_number_change must be preserved or compensated,not assessable: species charge/protonation undefined in SBML,timescale / concentration / flux evidence from PNAS SI Datasets,true
