model_id,species_id,entity_class,canonical_rhs_state,rhs_index,simulator_column,dynamic,accounting_only,feeds_back_into_rates,unit,initial_value_uM,initial_condition_note,pool_or_identity_definition,multiplicity_symbol,multiplicity_value,conservation_membership,role,observable_mapping,paper_source,repo_source,source_url,notes
PURE_literature_reference,NTP,dynamic_state,true,1,1,true,false,true,uM,1500,Table 1 central value; average concentration per nucleotide species,Average NTP pool representing ATP/GTP/CTP/UTP; total modeled NTP concentration = n_NTP*[NTP],n_NTP,4,B_NTP: coefficient n_NTP,TX substrate; RS energy substrate; TL energy substrate; EN product,,"Table 1; Eqs. (5),(8),(10),(14),(15),(20)",models/literature_reference/model_definition.json; models/literature_reference/parameters.json,https://doi.org/10.1007/s11538-015-0082-8,Reference model does not split ATP/GTP/CTP/UTP.
PURE_literature_reference,NXP,dynamic_state,true,2,2,true,false,true,uM,0,Newly created species; zero initial value in repository,Overall exhausted-nucleotide pool; NDP and NMP are pooled together,,1,B_NTP: coefficient 1,RS/TL product; EN substrate,,"Sect. 2.4; Eqs. (13),(15),(21)",models/literature_reference/model_definition.json; models/literature_reference/parameters.json,https://doi.org/10.1007/s11538-015-0082-8,"Overall pool, not an average per nucleotide species."
PURE_literature_reference,nt,dynamic_state,true,3,3,true,false,true,uM,0,Newly created species; zero initial value,Overall polymerized nucleotides; mRNA represented in nucleotide-residue units,,1,B_NTP: coefficient 1,TX product; TL template; degradation substrate,nt; mRNA = nt/(3*L),"Sect. 2.1 and 2.5; Eqs. (2),(4),(22),(28)-(29)",models/literature_reference/model_definition.json; models/literature_reference/model_manifest.json,https://doi.org/10.1007/s11538-015-0082-8,"nt is not mRNA molecule concentration. For GFP L=238, mRNA=nt/714."
PURE_literature_reference,A,dynamic_state,true,4,4,true,false,true,uM,300,Table 1; average concentration per amino-acid species,Average amino-acid concentration over 20 amino acids,n_A,20,B_AA: coefficient n_A,RS substrate,,"Table 1; Eqs. (7),(16),(23)",models/literature_reference/model_definition.json; models/literature_reference/parameters.json,https://doi.org/10.1007/s11538-015-0082-8,Target-protein amino-acid composition is not resolved.
PURE_literature_reference,T,dynamic_state,true,5,5,true,false,true,uM,1.9,Table 1; average concentration per tRNA species,Average uncharged-tRNA concentration over 46 tRNA species,n_T,46,B_tRNA: coefficient n_T,RS substrate; TL product,,"Table 1; Eqs. (7),(9),(17),(24)",models/literature_reference/model_definition.json; models/literature_reference/parameters.json,https://doi.org/10.1007/s11538-015-0082-8,Rate law uses effective factor (n_T/n_A)*T = 2.3*T.
PURE_literature_reference,AT,dynamic_state,true,6,6,true,false,true,uM,0,Newly created species; zero initial value,Average aminoacyl-tRNA concentration per tRNA species,n_T,46,B_AA: coefficient n_T; B_tRNA: coefficient n_T,RS product; TL substrate,,"Sect. 2.2-2.3; Eqs. (7),(9),(16),(17),(24)",models/literature_reference/model_definition.json; models/literature_reference/model_manifest.json,https://doi.org/10.1007/s11538-015-0082-8,Rate law uses effective factor (n_T/n_A)*AT = 2.3*AT.
PURE_literature_reference,a,dynamic_state,true,7,7,true,false,false,uM,0,Newly created species; zero initial value,Overall polymerized amino-acid residues; protein represented in residue units,,1,B_AA: coefficient 1,TL product / cumulative protein-residue output,a; protein = a/L,Sect. 2.3 and 2.5; Eq. (25),models/literature_reference/model_definition.json; models/literature_reference/model_manifest.json,https://doi.org/10.1007/s11538-015-0082-8,"a does not enter any rate law. For GFP L=238, protein=a/238."
PURE_literature_reference,CP,dynamic_state,true,8,8,true,false,true,uM,20000,Table 1,Creatine phosphate,,1,B_CP: coefficient 1,EN substrate; phosphate donor,,"Table 1; Eqs. (13),(18),(26)",models/literature_reference/model_definition.json; models/literature_reference/parameters.json,https://doi.org/10.1007/s11538-015-0082-8,Energy-regeneration fuel in the reference model.
PURE_literature_reference,C,dynamic_state,true,9,9,true,false,false,uM,0,Newly created species; zero initial value,Creatine,,1,B_CP: coefficient 1,EN product,,"Sect. 2.4; Eqs. (13),(18),(26)",models/literature_reference/model_definition.json; models/literature_reference/model_manifest.json,https://doi.org/10.1007/s11538-015-0082-8,C does not enter any rate law.
PURE_literature_reference,TLcat,dynamic_state,true,10,10,true,false,true,uM,2.2,Table 1 fitted central value; 2.2 +/- 0.3 uM,Fictitious effective translation catalyst representing ribosomes + translation factors,,1,B_TLcat: coefficient 1,TL catalyst; first-order decay substrate,,"Table 1; Eqs. (10)-(12),(19),(27)",models/literature_reference/model_definition.json; models/literature_reference/parameters.json,https://doi.org/10.1007/s11538-015-0082-8,Not a single molecular species; it is a fitted coarse-grained catalyst.
