fast_state,enzyme_membership,moiety_included,n_reactions_producing,n_reactions_consuming,median_conc_uM,max_conc_uM,is_zero_at_reference_start
GlyAMP,shared,AMP,6,2,8.752495e-05,2.372690e+01,true
GlyRS_AMP,GlyRS,AMP,2,3,2.784880e-06,4.532702e-04,true
GlyRS_AMP_GlytRNAGlyGCC,GlyRS,AMP,3,4,7.894517e-06,1.286735e-03,true
GlyRS_ATP,GlyRS,ATP,3,4,1.062919e-03,2.153487e-01,true
GlyRS_ATP_tRNAGlyGCC,GlyRS,ATP,3,4,9.945860e-03,7.468729e-02,true
GlyRS_Gly,GlyRS,none,3,4,2.481105e-03,1.969517e-02,true
GlyRS_GlyAMP,GlyRS,AMP,3,4,4.811192e-03,3.488964e-01,true
GlyRS_GlyAMP_PPi,GlyRS,AMP|PPi,3,4,3.007554e-04,1.804417e-03,true
GlyRS_GlyAMP_PPi_tRNAGlyGCC,GlyRS,AMP|PPi,3,4,2.548432e-04,9.555492e-04,true
GlyRS_GlyAMP_tRNAGlyGCC,GlyRS,AMP,3,4,4.856624e-04,7.911348e-02,true
GlyRS_Gly_ATP,GlyRS,ATP,4,5,2.038326e-02,7.332500e-02,true
GlyRS_Gly_ATP_tRNAGlyGCC,GlyRS,ATP,4,5,8.595312e-02,2.690925e-01,true
GlyRS_Gly_tRNAGlyGCC,GlyRS,none,3,4,1.251073e-02,3.240154e-02,true
GlyRS_GlytRNAGlyGCC,GlyRS,none,2,3,2.229130e-05,3.646595e-03,true
GlyRS_tRNAGlyGCC,GlyRS,none,3,4,2.351972e-03,1.579499e-02,true
MetAMP,shared,AMP,6,2,2.155656e-03,2.981544e+01,true
MetRS_AMP,MetRS,AMP,2,3,4.905813e-08,4.178997e-06,true
MetRS_AMP_MettRNAfMetCAU,MetRS,AMP,3,4,6.182634e-05,2.481178e-03,true
MetRS_ATP,MetRS,ATP,3,4,1.221049e-03,3.462463e-01,true
MetRS_ATP_tRNAfMetCAU,MetRS,ATP,3,4,4.605147e-04,2.311914e-02,true
MetRS_Met,MetRS,none,3,4,2.722569e-04,1.586901e-02,true
MetRS_MetAMP,MetRS,AMP,3,4,9.922139e-02,4.374142e-01,true
MetRS_MetAMP_PPi,MetRS,AMP|PPi,3,4,2.153756e-04,1.059070e-02,true
MetRS_MetAMP_PPi_tRNAfMetCAU,MetRS,AMP|PPi,3,4,2.407887e-04,1.672718e-02,true
MetRS_MetAMP_tRNAfMetCAU,MetRS,AMP,3,4,8.653163e-03,1.813913e-01,true
MetRS_Met_ATP,MetRS,ATP,4,5,4.020192e-03,2.372117e-01,true
MetRS_Met_ATP_tRNAfMetCAU,MetRS,ATP,4,5,1.517363e-03,8.999864e-02,true
MetRS_Met_tRNAfMetCAU,MetRS,none,3,4,1.036918e-04,6.042368e-03,true
MetRS_MettRNAfMetCAU,MetRS,none,2,3,3.163401e-03,3.422596e-01,true
MetRS_tRNAfMetCAU,MetRS,none,3,4,3.108321e-05,1.544776e-03,true
