reaction_id,aminoacylation_subsystems,full_subsystem_files,interface_with_other_modules,n_reactants,n_products,reactants,products,net_stoichiometry,is_degradation_sink,k1_author_value,k1_is_zero,rate_law,pathway_membership
re0000000006,Aminoacylation_B_fMetCAU,Aminoacylation_B_fMetCAU|Elongation_Ca1_fMetCAU,true,1,1,tRNAfMetCAU:1,tRNAfMetCAU_degraded:1,tRNAfMetCAU:-1|tRNAfMetCAU_degraded:+1,true,0.0,true,k1 * tRNAfMetCAU,shared
re0000000031,Aminoacylation_B_GlyGCC,Aminoacylation_B_GlyGCC|Elongation_A_Gly|Elongation_Ca2_pept0002|Elongation_Ca2_pept0003,true,1,1,GlytRNAGlyGCC:1,GlytRNAGlyGCC_degraded:1,GlytRNAGlyGCC:-1|GlytRNAGlyGCC_degraded:+1,true,0.0,true,k1 * GlytRNAGlyGCC,shared
re0000000070,Aminoacylation_B_GlyGCC,Aminoacylation_B_GlyGCC|Elongation_Ca1_GlyGCC|Termination_A_RF1|Termination_A_RF2|Termination_B_RF1|Termination_B_RF2|Termination_C,true,1,1,tRNAGlyGCC:1,tRNAGlyGCC_degraded:1,tRNAGlyGCC:-1|tRNAGlyGCC_degraded:+1,true,0.0,true,k1 * tRNAGlyGCC,shared
re0000000126,Aminoacylation_A_Gly,Aminoacylation_A_Gly,false,2,1,Gly:1|GlyRS:1,GlyRS_Gly:1,Gly:-1|GlyRS:-1|GlyRS_Gly:+1,false,20.0,false,k1 * GlyRS * Gly,Gly
re0000000127,Aminoacylation_A_Gly,Aminoacylation_A_Gly,false,1,2,GlyRS_GlyAMP_PPi:1,GlyRS_GlyAMP:1|PPi:1,GlyRS_GlyAMP:+1|GlyRS_GlyAMP_PPi:-1|PPi:+1,false,1000.0,false,k1 * GlyRS_GlyAMP_PPi,Gly
re0000000128,Aminoacylation_A_Gly,Aminoacylation_A_Gly,false,1,1,GlyRS:1,GlyRS_degraded:1,GlyRS:-1|GlyRS_degraded:+1,true,0.0,true,k1 * GlyRS,Gly
re0000000129,Aminoacylation_A_Gly,Aminoacylation_A_Gly,false,1,3,GlyRS_Gly_ATP:1,ATP:1|Gly:1|GlyRS_degraded:1,ATP:+1|Gly:+1|GlyRS_Gly_ATP:-1|GlyRS_degraded:+1,true,0.0,true,k1 * GlyRS_Gly_ATP,Gly
re0000000130,Aminoacylation_A_Gly,Aminoacylation_A_Gly,false,1,2,GlyRS_GlyAMP:1,GlyAMP:1|GlyRS_degraded:1,GlyAMP:+1|GlyRS_GlyAMP:-1|GlyRS_degraded:+1,true,0.0,true,k1 * GlyRS_GlyAMP,Gly
re0000000131,Aminoacylation_A_Gly,Aminoacylation_A_Gly,false,1,2,GlyRS_Gly:1,Gly:1|GlyRS:1,Gly:+1|GlyRS:+1|GlyRS_Gly:-1,false,470.0,false,k1 * GlyRS_Gly,Gly
re0000000132,Aminoacylation_A_Gly,Aminoacylation_A_Gly,false,2,1,ATP:1|GlyRS:1,GlyRS_ATP:1,ATP:-1|GlyRS:-1|GlyRS_ATP:+1,false,10.0,false,k1 * GlyRS * ATP,Gly
re0000000133,Aminoacylation_A_Gly,Aminoacylation_A_Gly,false,1,2,GlyRS_ATP:1,ATP:1|GlyRS:1,ATP:+1|GlyRS:+1|GlyRS_ATP:-1,false,8900.0,false,k1 * GlyRS_ATP,Gly
re0000000134,Aminoacylation_A_Gly,Aminoacylation_A_Gly,false,2,1,Gly:1|GlyRS_ATP:1,GlyRS_Gly_ATP:1,Gly:-1|GlyRS_ATP:-1|GlyRS_Gly_ATP:+1,false,0.024,false,k1 * GlyRS_ATP * Gly,Gly
re0000000135,Aminoacylation_A_Gly,Aminoacylation_A_Gly,false,1,2,GlyRS_Gly_ATP:1,Gly:1|GlyRS_ATP:1,Gly:+1|GlyRS_ATP:+1|GlyRS_Gly_ATP:-1,false,3.2,false,k1 * GlyRS_Gly_ATP,Gly
re0000000136,Aminoacylation_A_Gly,Aminoacylation_A_Gly,false,2,1,ATP:1|GlyRS_Gly:1,GlyRS_Gly_ATP:1,ATP:-1|GlyRS_Gly:-1|GlyRS_Gly_ATP:+1,false,10.0,false,k1 * GlyRS_Gly * ATP,Gly
re0000000137,Aminoacylation_A_Gly,Aminoacylation_A_Gly,false,1,2,GlyRS_Gly_ATP:1,ATP:1|GlyRS_Gly:1,ATP:+1|GlyRS_Gly:+1|GlyRS_Gly_ATP:-1,false,4500.0,false,k1 * GlyRS_Gly_ATP,Gly
re0000000138,Aminoacylation_A_Gly,Aminoacylation_A_Gly,false,1,2,GlyRS_ATP:1,ATP:1|GlyRS_degraded:1,ATP:+1|GlyRS_ATP:-1|GlyRS_degraded:+1,true,0.0,true,k1 * GlyRS_ATP,Gly
re0000000139,Aminoacylation_A_Gly,Aminoacylation_A_Gly,false,1,2,GlyRS_Gly:1,Gly:1|GlyRS_degraded:1,Gly:+1|GlyRS_Gly:-1|GlyRS_degraded:+1,true,0.0,true,k1 * GlyRS_Gly,Gly
re0000000140,Aminoacylation_A_Gly,Aminoacylation_A_Gly,false,1,1,GlyRS_Gly_ATP:1,GlyRS_GlyAMP_PPi:1,GlyRS_GlyAMP_PPi:+1|GlyRS_Gly_ATP:-1,false,29.0,false,k1 * GlyRS_Gly_ATP,Gly
re0000000141,Aminoacylation_A_Gly,Aminoacylation_A_Gly,false,1,1,GlyRS_GlyAMP_PPi:1,GlyRS_Gly_ATP:1,GlyRS_GlyAMP_PPi:-1|GlyRS_Gly_ATP:+1,false,47.0,false,k1 * GlyRS_GlyAMP_PPi,Gly
re0000000142,Aminoacylation_A_Gly,Aminoacylation_A_Gly,false,1,3,GlyRS_GlyAMP_PPi:1,GlyAMP:1|GlyRS_degraded:1|PPi:1,GlyAMP:+1|GlyRS_GlyAMP_PPi:-1|GlyRS_degraded:+1|PPi:+1,true,0.0,true,k1 * GlyRS_GlyAMP_PPi,Gly
re0000000143,Aminoacylation_A_Gly,Aminoacylation_A_Gly,false,1,2,GlyAMP:1,AMP:1|Gly:1,AMP:+1|Gly:+1|GlyAMP:-1,false,0.0,true,k1 * GlyAMP,shared
re0000000144,Aminoacylation_A_Gly,Aminoacylation_A_Gly,false,1,2,GlyRS_AMP:1,AMP:1|GlyRS_degraded:1,AMP:+1|GlyRS_AMP:-1|GlyRS_degraded:+1,true,0.0,true,k1 * GlyRS_AMP,Gly
re0000000145,Aminoacylation_A_Gly,Aminoacylation_A_Gly,false,1,2,GlyRS_AMP:1,AMP:1|GlyRS:1,AMP:+1|GlyRS:+1|GlyRS_AMP:-1,false,1000.0,false,k1 * GlyRS_AMP,Gly
re0000000146,Aminoacylation_A_Gly,Aminoacylation_A_Gly,false,2,1,AMP:1|GlyRS:1,GlyRS_AMP:1,AMP:-1|GlyRS:-1|GlyRS_AMP:+1,false,0.0,true,k1 * GlyRS * AMP,Gly
re0000000147,Aminoacylation_A_Gly,Aminoacylation_A_Gly,false,1,2,GlyRS_GlyAMP:1,GlyAMP:1|GlyRS:1,GlyAMP:+1|GlyRS:+1|GlyRS_GlyAMP:-1,false,0.07,false,k1 * GlyRS_GlyAMP,Gly
re0000000148,Aminoacylation_A_Gly,Aminoacylation_A_Gly,false,2,1,GlyAMP:1|GlyRS:1,GlyRS_GlyAMP:1,GlyAMP:-1|GlyRS:-1|GlyRS_GlyAMP:+1,false,2.4,false,k1 * GlyRS * GlyAMP,Gly
re0000000149,Aminoacylation_A_Gly,Aminoacylation_A_Gly,false,2,1,AMP:1|Gly:1,GlyAMP:1,AMP:-1|Gly:-1|GlyAMP:+1,false,0.0,true,k1 * Gly * AMP,shared
re0000000150,Aminoacylation_A_Gly,Aminoacylation_A_Gly,false,2,1,GlyRS_GlyAMP:1|PPi:1,GlyRS_GlyAMP_PPi:1,GlyRS_GlyAMP:-1|GlyRS_GlyAMP_PPi:+1|PPi:-1,false,0.0,true,k1 * GlyRS_GlyAMP * PPi,Gly
re0000000151,Aminoacylation_A_Met,Aminoacylation_A_Met,false,2,1,Met:1|MetRS:1,MetRS_Met:1,Met:-1|MetRS:-1|MetRS_Met:+1,false,5.0,false,k1 * MetRS * Met,Met
re0000000152,Aminoacylation_A_Met,Aminoacylation_A_Met,false,1,2,MetRS_MetAMP_PPi:1,MetRS_MetAMP:1|PPi:1,MetRS_MetAMP:+1|MetRS_MetAMP_PPi:-1|PPi:+1,false,1000.0,false,k1 * MetRS_MetAMP_PPi,Met
re0000000153,Aminoacylation_A_Met,Aminoacylation_A_Met,false,1,1,MetRS:1,MetRS_degraded:1,MetRS:-1|MetRS_degraded:+1,true,0.0,true,k1 * MetRS,Met
re0000000154,Aminoacylation_A_Met,Aminoacylation_A_Met,false,1,3,MetRS_Met_ATP:1,ATP:1|Met:1|MetRS_degraded:1,ATP:+1|Met:+1|MetRS_Met_ATP:-1|MetRS_degraded:+1,true,0.0,true,k1 * MetRS_Met_ATP,Met
