forward_reaction_id,reverse_reaction_id,reactants,products,forward_parameter,reverse_parameter,exact_net_law,species_in_pair,structural_equivalence
re0000000126,re0000000131,Gly:1|GlyRS:1,GlyRS_Gly:1,20.0,470.0,v_net = (k1 * GlyRS * Gly) - (k1 * GlyRS_Gly),Gly|GlyRS|GlyRS_Gly,true
re0000000127,re0000000150,GlyRS_GlyAMP_PPi:1,GlyRS_GlyAMP:1|PPi:1,1000.0,0.0,v_net = (k1 * GlyRS_GlyAMP_PPi) - (k1 * GlyRS_GlyAMP * PPi),GlyRS_GlyAMP|GlyRS_GlyAMP_PPi|PPi,true
re0000000132,re0000000133,ATP:1|GlyRS:1,GlyRS_ATP:1,10.0,8900.0,v_net = (k1 * GlyRS * ATP) - (k1 * GlyRS_ATP),ATP|GlyRS|GlyRS_ATP,true
re0000000134,re0000000135,Gly:1|GlyRS_ATP:1,GlyRS_Gly_ATP:1,0.024,3.2,v_net = (k1 * GlyRS_ATP * Gly) - (k1 * GlyRS_Gly_ATP),Gly|GlyRS_ATP|GlyRS_Gly_ATP,true
re0000000136,re0000000137,ATP:1|GlyRS_Gly:1,GlyRS_Gly_ATP:1,10.0,4500.0,v_net = (k1 * GlyRS_Gly * ATP) - (k1 * GlyRS_Gly_ATP),ATP|GlyRS_Gly|GlyRS_Gly_ATP,true
re0000000140,re0000000141,GlyRS_Gly_ATP:1,GlyRS_GlyAMP_PPi:1,29.0,47.0,v_net = (k1 * GlyRS_Gly_ATP) - (k1 * GlyRS_GlyAMP_PPi),GlyRS_GlyAMP_PPi|GlyRS_Gly_ATP,true
re0000000143,re0000000149,GlyAMP:1,AMP:1|Gly:1,0.0,0.0,v_net = (k1 * GlyAMP) - (k1 * Gly * AMP),AMP|Gly|GlyAMP,true
re0000000145,re0000000146,GlyRS_AMP:1,AMP:1|GlyRS:1,1000.0,0.0,v_net = (k1 * GlyRS_AMP) - (k1 * GlyRS * AMP),AMP|GlyRS|GlyRS_AMP,true
re0000000147,re0000000148,GlyRS_GlyAMP:1,GlyAMP:1|GlyRS:1,0.07,2.4,v_net = (k1 * GlyRS_GlyAMP) - (k1 * GlyRS * GlyAMP),GlyAMP|GlyRS|GlyRS_GlyAMP,true
re0000000151,re0000000156,Met:1|MetRS:1,MetRS_Met:1,5.0,350.0,v_net = (k1 * MetRS * Met) - (k1 * MetRS_Met),Met|MetRS|MetRS_Met,true
re0000000152,re0000000175,MetRS_MetAMP_PPi:1,MetRS_MetAMP:1|PPi:1,1000.0,0.0,v_net = (k1 * MetRS_MetAMP_PPi) - (k1 * MetRS_MetAMP * PPi),MetRS_MetAMP|MetRS_MetAMP_PPi|PPi,true
re0000000157,re0000000158,ATP:1|MetRS:1,MetRS_ATP:1,10.0,2500.0,v_net = (k1 * MetRS * ATP) - (k1 * MetRS_ATP),ATP|MetRS|MetRS_ATP,true
re0000000159,re0000000160,Met:1|MetRS_ATP:1,MetRS_Met_ATP:1,5.0,350.0,v_net = (k1 * MetRS_ATP * Met) - (k1 * MetRS_Met_ATP),Met|MetRS_ATP|MetRS_Met_ATP,true
re0000000161,re0000000162,ATP:1|MetRS_Met:1,MetRS_Met_ATP:1,10.0,2500.0,v_net = (k1 * MetRS_Met * ATP) - (k1 * MetRS_Met_ATP),ATP|MetRS_Met|MetRS_Met_ATP,true
re0000000165,re0000000166,MetRS_Met_ATP:1,MetRS_MetAMP_PPi:1,60.0,150.0,v_net = (k1 * MetRS_Met_ATP) - (k1 * MetRS_MetAMP_PPi),MetRS_MetAMP_PPi|MetRS_Met_ATP,true
re0000000168,re0000000174,MetAMP:1,AMP:1|Met:1,0.0,0.0,v_net = (k1 * MetAMP) - (k1 * Met * AMP),AMP|Met|MetAMP,true
re0000000170,re0000000171,MetRS_AMP:1,AMP:1|MetRS:1,1000.0,0.0,v_net = (k1 * MetRS_AMP) - (k1 * MetRS * AMP),AMP|MetRS|MetRS_AMP,true
re0000000172,re0000000173,MetRS_MetAMP:1,MetAMP:1|MetRS:1,0.07,2.4,v_net = (k1 * MetRS_MetAMP) - (k1 * MetRS * MetAMP),MetAMP|MetRS|MetRS_MetAMP,true
re0000000176,re0000000216,GlytRNAGlyGCC:1,Gly:1|tRNAGlyGCC:1,0.0,0.0,v_net = (k1 * GlytRNAGlyGCC) - (k1 * tRNAGlyGCC * Gly),Gly|GlytRNAGlyGCC|tRNAGlyGCC,true
re0000000178,re0000000179,GlyRS_GlyAMP_tRNAGlyGCC:1,GlyRS_AMP_GlytRNAGlyGCC:1,22.0,0.0,v_net = (k1 * GlyRS_GlyAMP_tRNAGlyGCC) - (k1 * GlyRS_AMP_GlytRNAGlyGCC),GlyRS_AMP_GlytRNAGlyGCC|GlyRS_GlyAMP_tRNAGlyGCC,true
re0000000180,re0000000181,GlyRS_AMP_GlytRNAGlyGCC:1,AMP:1|GlyRS_GlytRNAGlyGCC:1,1000.0,0.0,v_net = (k1 * GlyRS_AMP_GlytRNAGlyGCC) - (k1 * GlyRS_GlytRNAGlyGCC * AMP),AMP|GlyRS_AMP_GlytRNAGlyGCC|GlyRS_GlytRNAGlyGCC,true
