species_id,aminoacylation_role,pathway_membership,is_complex,sbml_initial_concentration,author_export_initial_value,boundary_condition
AMP,shared_nucleotide,shared,false,1,0,false
ATP,shared_nucleotide,shared,false,1,3750,false
Gly,free_amino_acid,Gly,false,1,300,false
GlyAMP,free_aminoacyl_adenylate,Gly,false,1,0,false
GlyRS,free_enzyme,Gly,false,1,0.35,false
GlyRS_AMP,enzyme_bound_complex,Gly,true,1,0,false
GlyRS_AMP_GlytRNAGlyGCC,enzyme_bound_complex,Gly,true,1,0,false
GlyRS_ATP,enzyme_bound_complex,Gly,true,1,0,false
GlyRS_ATP_tRNAGlyGCC,enzyme_bound_complex,Gly,true,1,0,false
GlyRS_Gly,enzyme_bound_complex,Gly,true,1,0,false
GlyRS_GlyAMP,enzyme_bound_complex,Gly,true,1,0,false
GlyRS_GlyAMP_PPi,enzyme_bound_complex,Gly,true,1,0,false
GlyRS_GlyAMP_PPi_tRNAGlyGCC,enzyme_bound_complex,Gly,true,1,0,false
GlyRS_GlyAMP_tRNAGlyGCC,enzyme_bound_complex,Gly,true,1,0,false
GlyRS_Gly_ATP,enzyme_bound_complex,Gly,true,1,0,false
GlyRS_Gly_ATP_tRNAGlyGCC,enzyme_bound_complex,Gly,true,1,0,false
GlyRS_Gly_tRNAGlyGCC,enzyme_bound_complex,Gly,true,1,0,false
GlyRS_GlytRNAGlyGCC,enzyme_bound_complex,Gly,true,1,0,false
GlyRS_degraded,degraded_sink,Gly,true,1,0,false
GlyRS_tRNAGlyGCC,enzyme_bound_complex,Gly,true,1,0,false
GlytRNAGlyGCC,aminoacyl_tRNA,Gly,false,1,0,false
GlytRNAGlyGCC_degraded,degraded_sink,shared,true,1,0,false
Met,free_amino_acid,Met,false,1,300,false
MetAMP,free_aminoacyl_adenylate,Met,false,1,0,false
MetRS,free_enzyme,Met,false,1,0.44,false
MetRS_AMP,enzyme_bound_complex,Met,true,1,0,false
MetRS_AMP_MettRNAfMetCAU,enzyme_bound_complex,Met,true,1,0,false
MetRS_ATP,enzyme_bound_complex,Met,true,1,0,false
MetRS_ATP_tRNAfMetCAU,enzyme_bound_complex,Met,true,1,0,false
MetRS_Met,enzyme_bound_complex,Met,true,1,0,false
MetRS_MetAMP,enzyme_bound_complex,Met,true,1,0,false
MetRS_MetAMP_PPi,enzyme_bound_complex,Met,true,1,0,false
MetRS_MetAMP_PPi_tRNAfMetCAU,enzyme_bound_complex,Met,true,1,0,false
MetRS_MetAMP_tRNAfMetCAU,enzyme_bound_complex,Met,true,1,0,false
MetRS_Met_ATP,enzyme_bound_complex,Met,true,1,0,false
MetRS_Met_ATP_tRNAfMetCAU,enzyme_bound_complex,Met,true,1,0,false
MetRS_Met_tRNAfMetCAU,enzyme_bound_complex,Met,true,1,0,false
MetRS_MettRNAfMetCAU,enzyme_bound_complex,Met,true,1,0,false
MetRS_degraded,degraded_sink,Met,true,1,0,false
MetRS_tRNAfMetCAU,enzyme_bound_complex,Met,true,1,0,false
MettRNAfMetCAU,aminoacyl_tRNA,Met,false,1,0,false
MettRNAfMetCAU_degraded,degraded_sink,shared,true,1,0,false
PPi,shared_nucleotide,shared,false,1,0,false
tRNAGlyGCC,free_tRNA,Gly,false,1,3.54767184,false
tRNAGlyGCC_degraded,degraded_sink,shared,true,1,0,false
tRNAfMetCAU,free_tRNA,Met,false,1,3.54767184,false
tRNAfMetCAU_degraded,degraded_sink,shared,true,1,0,false
