time_s,n_fast_states,n_slow_states,lambda_stiff_fast_s^-1,tau_fast_stiff_s,n_stiff_fast_modes,n_structural_nearzero_fast_modes,tau_slow_s,epsilon_stiff,algebraic_manifold_derived,note
1.000000e-04,30,11,5.169963e+04,1.934250e-05,24,0,1.265823e-01,1.528057e-04,false,report_only; near-zero fast-block eigenvalues are structural neutral modes (enzyme conservation / zero-concentration complexes) and are NOT inverted into a fast timescale; aa-subsystem closure assumed
1.625756e-04,30,11,5.162073e+04,1.937206e-05,24,0,1.761780e+00,1.099573e-05,false,report_only; near-zero fast-block eigenvalues are structural neutral modes (enzyme conservation / zero-concentration complexes) and are NOT inverted into a fast timescale; aa-subsystem closure assumed
2.866068e-04,30,11,5.161794e+04,1.937311e-05,24,0,8.006967e+00,2.419531e-06,false,report_only; near-zero fast-block eigenvalues are structural neutral modes (enzyme conservation / zero-concentration complexes) and are NOT inverted into a fast timescale; aa-subsystem closure assumed
5.052631e-04,30,11,5.161693e+04,1.937349e-05,24,0,1.197838e+01,1.617371e-06,false,report_only; near-zero fast-block eigenvalues are structural neutral modes (enzyme conservation / zero-concentration complexes) and are NOT inverted into a fast timescale; aa-subsystem closure assumed
8.907355e-04,30,11,5.161570e+04,1.937395e-05,24,0,2.419864e+01,8.006216e-07,false,report_only; near-zero fast-block eigenvalues are structural neutral modes (enzyme conservation / zero-concentration complexes) and are NOT inverted into a fast timescale; aa-subsystem closure assumed
1.570290e-03,30,11,5.161445e+04,1.937442e-05,24,0,5.659526e+01,3.423329e-07,false,report_only; near-zero fast-block eigenvalues are structural neutral modes (enzyme conservation / zero-concentration complexes) and are NOT inverted into a fast timescale; aa-subsystem closure assumed
2.768287e-03,30,11,5.161360e+04,1.937474e-05,24,0,1.192011e+02,1.625382e-07,false,report_only; near-zero fast-block eigenvalues are structural neutral modes (enzyme conservation / zero-concentration complexes) and are NOT inverted into a fast timescale; aa-subsystem closure assumed
4.880252e-03,30,11,5.161327e+04,1.937486e-05,24,1,1.368575e+02,1.415696e-07,false,report_only; near-zero fast-block eigenvalues are structural neutral modes (enzyme conservation / zero-concentration complexes) and are NOT inverted into a fast timescale; aa-subsystem closure assumed
7.934097e-03,30,11,5.161318e+04,1.937490e-05,24,1,1.550412e+02,1.249661e-07,false,report_only; near-zero fast-block eigenvalues are structural neutral modes (enzyme conservation / zero-concentration complexes) and are NOT inverted into a fast timescale; aa-subsystem closure assumed
1.398713e-02,30,11,5.161307e+04,1.937494e-05,24,1,2.413451e+02,8.027895e-08,false,report_only; near-zero fast-block eigenvalues are structural neutral modes (enzyme conservation / zero-concentration complexes) and are NOT inverted into a fast timescale; aa-subsystem closure assumed
2.465811e-02,30,11,5.161288e+04,1.937501e-05,24,1,5.437427e+02,3.563267e-08,false,report_only; near-zero fast-block eigenvalues are structural neutral modes (enzyme conservation / zero-concentration complexes) and are NOT inverted into a fast timescale; aa-subsystem closure assumed
4.347013e-02,30,11,5.161246e+04,1.937517e-05,24,2,1.217672e+03,1.591165e-08,false,report_only; near-zero fast-block eigenvalues are structural neutral modes (enzyme conservation / zero-concentration complexes) and are NOT inverted into a fast timescale; aa-subsystem closure assumed
7.663411e-02,30,11,5.161139e+04,1.937557e-05,24,2,1.308678e+03,1.480545e-08,false,report_only; near-zero fast-block eigenvalues are structural neutral modes (enzyme conservation / zero-concentration complexes) and are NOT inverted into a fast timescale; aa-subsystem closure assumed
1.350994e-01,30,11,5.160892e+04,1.937650e-05,24,2,1.556401e+03,1.244956e-08,false,report_only; near-zero fast-block eigenvalues are structural neutral modes (enzyme conservation / zero-concentration complexes) and are NOT inverted into a fast timescale; aa-subsystem closure assumed
2.381686e-01,30,11,5.160402e+04,1.937833e-05,24,2,1.928288e+03,1.004950e-08,false,report_only; near-zero fast-block eigenvalues are structural neutral modes (enzyme conservation / zero-concentration complexes) and are NOT inverted into a fast timescale; aa-subsystem closure assumed
3.872039e-01,30,11,5.159719e+04,1.938090e-05,24,2,2.185148e+03,8.869375e-09,false,report_only; near-zero fast-block eigenvalues are structural neutral modes (enzyme conservation / zero-concentration complexes) and are NOT inverted into a fast timescale; aa-subsystem closure assumed
6.826072e-01,30,11,5.158519e+04,1.938541e-05,24,2,2.226665e+03,8.706027e-09,false,report_only; near-zero fast-block eigenvalues are structural neutral modes (enzyme conservation / zero-concentration complexes) and are NOT inverted into a fast timescale; aa-subsystem closure assumed
1.203378e+00,30,11,5.156638e+04,1.939248e-05,24,2,2.084548e+03,9.302965e-09,false,report_only; near-zero fast-block eigenvalues are structural neutral modes (enzyme conservation / zero-concentration complexes) and are NOT inverted into a fast timescale; aa-subsystem closure assumed
2.121452e+00,30,11,5.153253e+04,1.940522e-05,24,1,1.630192e+03,1.190364e-08,false,report_only; near-zero fast-block eigenvalues are structural neutral modes (enzyme conservation / zero-concentration complexes) and are NOT inverted into a fast timescale; aa-subsystem closure assumed
3.739937e+00,30,11,5.152228e+04,1.940908e-05,24,2,6.923348e+03,2.803424e-09,false,report_only; near-zero fast-block eigenvalues are structural neutral modes (enzyme conservation / zero-concentration complexes) and are NOT inverted into a fast timescale; aa-subsystem closure assumed
6.593188e+00,30,11,5.153361e+04,1.940481e-05,24,2,1.167943e+04,1.661451e-09,false,report_only; near-zero fast-block eigenvalues are structural neutral modes (enzyme conservation / zero-concentration complexes) and are NOT inverted into a fast timescale; aa-subsystem closure assumed
1.162322e+01,30,11,5.153106e+04,1.940577e-05,24,2,6.123037e+04,3.169305e-10,false,report_only; near-zero fast-block eigenvalues are structural neutral modes (enzyme conservation / zero-concentration complexes) and are NOT inverted into a fast timescale; aa-subsystem closure assumed
1.889652e+01,30,11,5.151698e+04,1.941108e-05,24,2,5.978511e+04,3.246808e-10,false,report_only; near-zero fast-block eigenvalues are structural neutral modes (enzyme conservation / zero-concentration complexes) and are NOT inverted into a fast timescale; aa-subsystem closure assumed
