reaction_id,reactants,products,k1_author,active_at_reference,ATP_free_delta,ATP_carrier_delta,AMP_free_delta,AMP_carrier_delta,PPi_free_delta,PPi_carrier_delta,MetAMP_free_delta,MetAMP_carrier_delta,GlyAMP_free_delta,GlyAMP_carrier_delta,Met_free_delta,Met_carrier_delta,Gly_free_delta,Gly_carrier_delta,tRNAfMetCAU_free_delta,tRNAfMetCAU_carrier_delta,tRNAGlyGCC_free_delta,tRNAGlyGCC_carrier_delta,MettRNAfMetCAU_free_delta,MettRNAfMetCAU_carrier_delta,GlytRNAGlyGCC_free_delta,GlytRNAGlyGCC_carrier_delta,moiety_adenosine_delta,moiety_pyrophosphate_P_delta,moiety_phosphorus_total_delta,moiety_glycyl_delta,moiety_methionyl_delta,moiety_trna_gly_delta,moiety_trna_fmet_delta,moiety_enzyme_metrs_delta,moiety_enzyme_glyrs_delta
re0000000006,tRNAfMetCAU:1,tRNAfMetCAU_degraded:1,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
re0000000031,GlytRNAGlyGCC:1,GlytRNAGlyGCC_degraded:1,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0
re0000000070,tRNAGlyGCC:1,tRNAGlyGCC_degraded:1,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
re0000000126,GlyRS:1|Gly:1,GlyRS_Gly:1,20.0,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
re0000000127,GlyRS_GlyAMP_PPi:1,GlyRS_GlyAMP:1|PPi:1,1000.0,true,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
re0000000128,GlyRS:1,GlyRS_degraded:1,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
re0000000129,GlyRS_Gly_ATP:1,GlyRS_degraded:1|Gly:1|ATP:1,0.0,false,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
re0000000130,GlyRS_GlyAMP:1,GlyRS_degraded:1|GlyAMP:1,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
re0000000131,GlyRS_Gly:1,GlyRS:1|Gly:1,470.0,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
re0000000132,GlyRS:1|ATP:1,GlyRS_ATP:1,10.0,true,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
