reaction_id,ownership,subsystem_files,multi_subsystem_label,aa_species_touched,reactants,products
re0000000006,aminoacylation_shared_label,Aminoacylation_B_fMetCAU|Elongation_Ca1_fMetCAU,true,tRNAfMetCAU,tRNAfMetCAU:1,tRNAfMetCAU_degraded:1
re0000000031,aminoacylation_shared_label,Aminoacylation_B_GlyGCC|Elongation_A_Gly|Elongation_Ca2_pept0002|Elongation_Ca2_pept0003,true,GlytRNAGlyGCC,GlytRNAGlyGCC:1,GlytRNAGlyGCC_degraded:1
re0000000070,aminoacylation_shared_label,Aminoacylation_B_GlyGCC|Elongation_Ca1_GlyGCC|Termination_A_RF1|Termination_A_RF2|Termination_B_RF1|Termination_B_RF2|Termination_C,true,tRNAGlyGCC,tRNAGlyGCC:1,tRNAGlyGCC_degraded:1
re0000000258,aminoacylation_shared_label,Aminoacylation_B_fMetCAU|Elongation_A_Met,true,MettRNAfMetCAU,MettRNAfMetCAU:1,MettRNAfMetCAU_degraded:1
re0000000001,external_touches_aa,Elongation_Ca1_fMetCAU,false,tRNAfMetCAU,elRS70SAGGU0002_fMettRNAfMetCAU:1,elRS70SAGGU0002_fMet:1|tRNAfMetCAU:1
re0000000002,external_touches_aa,Elongation_Ca1_fMetCAU,false,tRNAfMetCAU,elRS70SAGGU0002_fMet:1|tRNAfMetCAU:1,elRS70SAGGU0002_fMettRNAfMetCAU:1
re0000000026,external_touches_aa,Elongation_Ca2_pept0002,false,GlytRNAGlyGCC,elRS70SAGGU0002_fMet_EFTu_GDP_GlytRNAGlyGCC:1,elRS70SAGGU0002_fMet_EFTu_GDP:1|GlytRNAGlyGCC:1
re0000000027,external_touches_aa,Elongation_Ca2_pept0002,false,GlytRNAGlyGCC,elRS70SAGGU0002_fMet_GlytRNAGlyGCC:1,elRS70SAGGU0002_fMet:1|GlytRNAGlyGCC:1
re0000000033,external_touches_aa,Elongation_Ca2_pept0002,false,GlytRNAGlyGCC,elRS70SAGGU0002_fMet_EFTu_GTP_GlytRNAGlyGCC:1,RS50S_degraded:1|mRNA:1|RS30S:1|fMet:1|GlytRNAGlyGCC:1|EFTu:1|GTP:1
re0000000034,external_touches_aa,Elongation_Ca2_pept0002,false,GlytRNAGlyGCC,elRS70SAGGU0002_fMet_EFTu_GTP_GlytRNAGlyGCC:1,RS30S_degraded:1|RS50S:1|mRNA:1|fMet:1|GlytRNAGlyGCC:1|EFTu:1|GTP:1
re0000000035,external_touches_aa,Elongation_Ca2_pept0002,false,GlytRNAGlyGCC,elRS70SAGGU0002_fMet_EFTu_GTP_GlytRNAGlyGCC:1,EFTu_degraded:1|fMet:1|GlytRNAGlyGCC:1|mRNA:1|RS30S:1|RS50S:1|GTP:1
re0000000036,external_touches_aa,Elongation_Ca2_pept0002,false,GlytRNAGlyGCC,elRS70SAGGU0002_fMet_EFTu_GDP_PO4_GlytRNAGlyGCC:1,RS50S_degraded:1|mRNA:1|RS30S:1|fMet:1|GlytRNAGlyGCC:1|EFTu:1|GDP:1|PO4:1
re0000000037,external_touches_aa,Elongation_Ca2_pept0002,false,GlytRNAGlyGCC,elRS70SAGGU0002_fMet_EFTu_GDP_PO4_GlytRNAGlyGCC:1,RS30S_degraded:1|RS50S:1|mRNA:1|fMet:1|GlytRNAGlyGCC:1|EFTu:1|GDP:1|PO4:1
re0000000038,external_touches_aa,Elongation_Ca2_pept0002,false,GlytRNAGlyGCC,elRS70SAGGU0002_fMet_EFTu_GDP_PO4_GlytRNAGlyGCC:1,EFTu_degraded:1|fMet:1|GlytRNAGlyGCC:1|mRNA:1|RS30S:1|RS50S:1|GDP:1|PO4:1
re0000000039,external_touches_aa,Elongation_Ca2_pept0002,false,GlytRNAGlyGCC,elRS70SAGGU0002_fMet_EFTu_GDP_GlytRNAGlyGCC:1,RS50S_degraded:1|mRNA:1|RS30S:1|fMet:1|GlytRNAGlyGCC:1|EFTu:1|GDP:1
re0000000040,external_touches_aa,Elongation_Ca2_pept0002,false,GlytRNAGlyGCC,elRS70SAGGU0002_fMet_EFTu_GDP_GlytRNAGlyGCC:1,RS30S_degraded:1|RS50S:1|mRNA:1|fMet:1|GlytRNAGlyGCC:1|EFTu:1|GDP:1
re0000000041,external_touches_aa,Elongation_Ca2_pept0002,false,GlytRNAGlyGCC,elRS70SAGGU0002_fMet_EFTu_GDP_GlytRNAGlyGCC:1,EFTu_degraded:1|fMet:1|GlytRNAGlyGCC:1|mRNA:1|RS30S:1|RS50S:1|GDP:1
re0000000045,external_touches_aa,Elongation_Ca2_pept0002,false,GlytRNAGlyGCC,elRS70SAGGU0002_fMet_GlytRNAGlyGCC:1,RS50S_degraded:1|mRNA:1|RS30S:1|fMet:1|GlytRNAGlyGCC:1
re0000000046,external_touches_aa,Elongation_Ca2_pept0002,false,GlytRNAGlyGCC,elRS70SAGGU0002_fMet_GlytRNAGlyGCC:1,RS30S_degraded:1|RS50S:1|mRNA:1|fMet:1|GlytRNAGlyGCC:1
re0000000063,external_touches_aa,Elongation_Ca2_pept0002,false,GlytRNAGlyGCC,elRS70SAGGU0002_fMet_EFTu_GDP:1|GlytRNAGlyGCC:1,elRS70SAGGU0002_fMet_EFTu_GDP_GlytRNAGlyGCC:1
re0000000064,external_touches_aa,Elongation_Ca2_pept0002,false,GlytRNAGlyGCC,elRS70SAGGU0002_fMet:1|GlytRNAGlyGCC:1,elRS70SAGGU0002_fMet_GlytRNAGlyGCC:1
re0000000068,external_touches_aa,Elongation_Ca1_GlyGCC,false,tRNAGlyGCC,elRS70SAGGU0003_Pept0002tRNAGlyGCC:1,elRS70SAGGU0003_Pept0002:1|tRNAGlyGCC:1
re0000000069,external_touches_aa,Elongation_Ca1_GlyGCC,false,tRNAGlyGCC,elRS70SAGGU0003_Pept0002:1|tRNAGlyGCC:1,elRS70SAGGU0003_Pept0002tRNAGlyGCC:1
