enzyme,time_s,perturbation,success,rel_dist_at_t_end,t_to_1pct_s,min_C_along_run,flags
MetRS,1.0000e-04,x10_ref_shape,true,9.462e-17,1.960e-02,8.725e-13,
MetRS,1.0000e-04,x0.1_ref_shape,true,9.462e-17,1.960e-02,8.725e-13,
MetRS,1.0000e-04,uniform_0.5cap,true,1.262e-16,1.812e-02,2.122e-06,
MetRS,5.7384e-03,x10_ref_shape,true,5.362e-16,1.653e-02,7.049e-07,
MetRS,5.7384e-03,x0.1_ref_shape,true,4.731e-16,1.995e-02,7.079e-08,
MetRS,5.7384e-03,uniform_0.5cap,true,5.046e-16,1.899e-02,2.632e-06,
MetRS,3.2930e-01,x10_ref_shape,true,3.943e-18,1.733e-02,1.216e-06,
MetRS,3.2930e-01,x0.1_ref_shape,true,1.577e-17,1.888e-02,1.232e-07,
MetRS,3.2930e-01,uniform_0.5cap,true,1.577e-17,1.816e-02,1.104e-06,
MetRS,1.8897e+01,x10_ref_shape,true,7.649e-16,2.033e-02,3.336e-09,
MetRS,1.8897e+01,x0.1_ref_shape,true,7.515e-16,2.201e-02,3.336e-10,
MetRS,1.8897e+01,uniform_0.5cap,true,7.375e-16,1.362e-02,3.336e-09,
MetRS,1.0000e+03,x10_ref_shape,true,5.177e-16,2.521e-02,6.838e-09,
MetRS,1.0000e+03,x0.1_ref_shape,true,5.690e-16,2.544e-02,6.839e-10,
MetRS,1.0000e+03,uniform_0.5cap,true,5.724e-16,1.468e-02,6.839e-09,
GlyRS,1.0000e-04,x10_ref_shape,true,1.586e-16,4.418e-03,-1.164e-24,
GlyRS,1.0000e-04,x0.1_ref_shape,true,1.586e-16,4.418e-03,-1.164e-24,
GlyRS,1.0000e-04,uniform_0.5cap,true,1.586e-16,4.467e-03,-6.020e-16,
GlyRS,5.7384e-03,x10_ref_shape,true,2.478e-16,4.580e-03,8.165e-05,
GlyRS,5.7384e-03,x0.1_ref_shape,true,1.883e-16,4.564e-03,8.241e-06,
GlyRS,5.7384e-03,uniform_0.5cap,true,2.280e-16,4.625e-03,9.500e-05,
GlyRS,3.2930e-01,x10_ref_shape,true,1.586e-16,4.677e-03,3.199e-04,
GlyRS,3.2930e-01,x0.1_ref_shape,true,2.379e-16,4.663e-03,3.228e-05,
GlyRS,3.2930e-01,uniform_0.5cap,true,3.172e-16,4.724e-03,3.229e-04,
GlyRS,1.8897e+01,x10_ref_shape,true,4.131e-15,3.982e-03,8.262e-09,
GlyRS,1.8897e+01,x0.1_ref_shape,true,4.158e-15,3.894e-03,8.257e-10,
GlyRS,1.8897e+01,uniform_0.5cap,true,4.095e-15,3.200e-02,8.262e-09,
GlyRS,1.0000e+03,x10_ref_shape,true,4.819e-15,4.304e-03,2.673e-08,
GlyRS,1.0000e+03,x0.1_ref_shape,true,4.733e-15,4.250e-03,2.673e-09,
GlyRS,1.0000e+03,uniform_0.5cap,true,4.760e-15,3.200e-02,2.673e-08,
