enzyme,time_s,re_lambda,im_lambda,class
MetRS,1.0000e-04,-4.217949e+04,0.000000e+00,attracting
MetRS,1.0000e-04,-4.185212e+04,0.000000e+00,attracting
MetRS,1.0000e-04,-4.033310e+04,0.000000e+00,attracting
MetRS,1.0000e-04,-4.000633e+04,0.000000e+00,attracting
MetRS,1.0000e-04,-2.149538e+03,0.000000e+00,attracting
MetRS,1.0000e-04,-1.876702e+03,0.000000e+00,attracting
MetRS,1.0000e-04,-3.224959e+02,5.552712e+01,attracting
MetRS,1.0000e-04,-3.224959e+02,-5.552712e+01,attracting
MetRS,1.0000e-04,-1.500721e+03,0.000000e+00,attracting
MetRS,1.0000e-04,-1.073321e+03,0.000000e+00,attracting
MetRS,1.0000e-04,-1.001685e+03,0.000000e+00,attracting
MetRS,1.0000e-04,-9.943023e+02,0.000000e+00,attracting
MetRS,5.7384e-03,-4.208893e+04,0.000000e+00,attracting
MetRS,5.7384e-03,-4.177133e+04,0.000000e+00,attracting
MetRS,5.7384e-03,-4.024455e+04,0.000000e+00,attracting
MetRS,5.7384e-03,-3.992733e+04,0.000000e+00,attracting
MetRS,5.7384e-03,-2.140008e+03,0.000000e+00,attracting
MetRS,5.7384e-03,-1.871115e+03,0.000000e+00,attracting
MetRS,5.7384e-03,-3.174794e+02,5.500808e+01,attracting
MetRS,5.7384e-03,-3.174794e+02,-5.500808e+01,attracting
MetRS,5.7384e-03,-1.490496e+03,0.000000e+00,attracting
MetRS,5.7384e-03,-1.075393e+03,0.000000e+00,attracting
MetRS,5.7384e-03,-1.001685e+03,0.000000e+00,attracting
MetRS,5.7384e-03,-9.944347e+02,0.000000e+00,attracting
MetRS,3.2930e-01,-4.206441e+04,0.000000e+00,attracting
MetRS,3.2930e-01,-4.176226e+04,0.000000e+00,attracting
MetRS,3.2930e-01,-4.022119e+04,0.000000e+00,attracting
MetRS,3.2930e-01,-3.991895e+04,0.000000e+00,attracting
MetRS,3.2930e-01,-2.127513e+03,0.000000e+00,attracting
MetRS,3.2930e-01,-1.864016e+03,0.000000e+00,attracting
MetRS,3.2930e-01,-3.096161e+02,5.339847e+01,attracting
MetRS,3.2930e-01,-3.096161e+02,-5.339847e+01,attracting
MetRS,3.2930e-01,-1.474165e+03,0.000000e+00,attracting
MetRS,3.2930e-01,-1.078773e+03,0.000000e+00,attracting
MetRS,3.2930e-01,-1.001697e+03,0.000000e+00,attracting
MetRS,3.2930e-01,-9.947180e+02,0.000000e+00,attracting
MetRS,1.8897e+01,-4.172550e+04,0.000000e+00,attracting
MetRS,1.8897e+01,-4.187508e+04,0.000000e+00,attracting
MetRS,1.8897e+01,-3.989728e+04,0.000000e+00,attracting
MetRS,1.8897e+01,-4.005537e+04,0.000000e+00,attracting
MetRS,1.8897e+01,-1.762171e+03,0.000000e+00,attracting
MetRS,1.8897e+01,-2.016965e+03,0.000000e+00,attracting
MetRS,1.8897e+01,-1.637981e+02,0.000000e+00,attracting
MetRS,1.8897e+01,-2.983459e+02,0.000000e+00,attracting
MetRS,1.8897e+01,-1.272220e+03,0.000000e+00,attracting
MetRS,1.8897e+01,-1.149891e+03,0.000000e+00,attracting
MetRS,1.8897e+01,-9.999961e+02,0.000000e+00,attracting
MetRS,1.8897e+01,-1.001686e+03,0.000000e+00,attracting
MetRS,1.0000e+03,-4.088154e+04,0.000000e+00,attracting
MetRS,1.0000e+03,-4.103267e+04,0.000000e+00,attracting
MetRS,1.0000e+03,-3.922648e+04,0.000000e+00,attracting
MetRS,1.0000e+03,-3.938468e+04,0.000000e+00,attracting
MetRS,1.0000e+03,-1.848527e+03,0.000000e+00,attracting
MetRS,1.0000e+03,-1.548600e+03,0.000000e+00,attracting
MetRS,1.0000e+03,-1.638659e+02,0.000000e+00,attracting
MetRS,1.0000e+03,-2.938265e+02,0.000000e+00,attracting
MetRS,1.0000e+03,-1.313113e+03,0.000000e+00,attracting
MetRS,1.0000e+03,-1.149868e+03,0.000000e+00,attracting
MetRS,1.0000e+03,-9.999920e+02,0.000000e+00,attracting
MetRS,1.0000e+03,-1.001685e+03,0.000000e+00,attracting
GlyRS,1.0000e-04,-2.436915e+03,1.997003e+02,attracting
GlyRS,1.0000e-04,-2.436915e+03,-1.997003e+02,attracting
GlyRS,1.0000e-04,-1.400722e+03,0.000000e+00,attracting
GlyRS,1.0000e-04,-1.089068e+03,0.000000e+00,attracting
GlyRS,1.0000e-04,-5.303394e+04,0.000000e+00,attracting
GlyRS,1.0000e-04,-5.159808e+04,0.000000e+00,attracting
GlyRS,1.0000e-04,-4.363259e+04,0.000000e+00,attracting
GlyRS,1.0000e-04,-4.219859e+04,0.000000e+00,attracting
GlyRS,1.0000e-04,-1.353000e+03,0.000000e+00,attracting
GlyRS,5.7384e-03,-2.317647e+03,1.939439e+02,attracting
GlyRS,5.7384e-03,-2.317647e+03,-1.939439e+02,attracting
GlyRS,5.7384e-03,-1.282052e+03,0.000000e+00,attracting
GlyRS,5.7384e-03,-1.090417e+03,0.000000e+00,attracting
GlyRS,5.7384e-03,-5.282604e+04,0.000000e+00,attracting
GlyRS,5.7384e-03,-5.151174e+04,0.000000e+00,attracting
GlyRS,5.7384e-03,-4.343233e+04,0.000000e+00,attracting
GlyRS,5.7384e-03,-4.211983e+04,0.000000e+00,attracting
GlyRS,5.7384e-03,-1.353000e+03,0.000000e+00,attracting
GlyRS,3.2930e-01,-2.211329e+03,1.888846e+02,attracting
GlyRS,3.2930e-01,-2.211329e+03,-1.888846e+02,attracting
GlyRS,3.2930e-01,-1.176154e+03,0.000000e+00,attracting
GlyRS,3.2930e-01,-1.091172e+03,0.000000e+00,attracting
GlyRS,3.2930e-01,-5.270500e+04,0.000000e+00,attracting
GlyRS,3.2930e-01,-5.149836e+04,0.000000e+00,attracting
GlyRS,3.2930e-01,-4.331665e+04,0.000000e+00,attracting
GlyRS,3.2930e-01,-4.211176e+04,0.000000e+00,attracting
GlyRS,3.2930e-01,-1.353000e+03,0.000000e+00,attracting
