reaction_id,pathway,in_selected_cycle,route_class,reactants,products,k1_author,active_at_reference,subsystem_files
re0000000006,Met,false,degradation_sink,tRNAfMetCAU:1,tRNAfMetCAU_degraded:1,0.0,false,Aminoacylation_B_fMetCAU|Elongation_Ca1_fMetCAU
re0000000031,Gly,false,degradation_sink,GlytRNAGlyGCC:1,GlytRNAGlyGCC_degraded:1,0.0,false,Aminoacylation_B_GlyGCC|Elongation_A_Gly|Elongation_Ca2_pept0002|Elongation_Ca2_pept0003
re0000000070,Gly,false,degradation_sink,tRNAGlyGCC:1,tRNAGlyGCC_degraded:1,0.0,false,Aminoacylation_B_GlyGCC|Elongation_Ca1_GlyGCC|Termination_A_RF1|Termination_A_RF2|Termination_B_RF1|Termination_B_RF2|Termination_C
re0000000126,Gly,false,enzyme_cycle_or_branch,GlyRS:1|Gly:1,GlyRS_Gly:1,20.0,true,Aminoacylation_A_Gly
re0000000127,Gly,false,enzyme_cycle_or_branch,GlyRS_GlyAMP_PPi:1,GlyRS_GlyAMP:1|PPi:1,1000.0,true,Aminoacylation_A_Gly
re0000000128,Gly,false,degradation_sink,GlyRS:1,GlyRS_degraded:1,0.0,false,Aminoacylation_A_Gly
re0000000129,Gly,false,degradation_sink,GlyRS_Gly_ATP:1,GlyRS_degraded:1|Gly:1|ATP:1,0.0,false,Aminoacylation_A_Gly
re0000000130,Gly,false,degradation_sink,GlyRS_GlyAMP:1,GlyRS_degraded:1|GlyAMP:1,0.0,false,Aminoacylation_A_Gly
re0000000131,Gly,false,enzyme_cycle_or_branch,GlyRS_Gly:1,GlyRS:1|Gly:1,470.0,true,Aminoacylation_A_Gly
re0000000132,Gly,true,enzyme_cycle_or_branch,GlyRS:1|ATP:1,GlyRS_ATP:1,10.0,true,Aminoacylation_A_Gly
re0000000133,Gly,false,enzyme_cycle_or_branch,GlyRS_ATP:1,GlyRS:1|ATP:1,8900.0,true,Aminoacylation_A_Gly
re0000000134,Gly,true,enzyme_cycle_or_branch,GlyRS_ATP:1|Gly:1,GlyRS_Gly_ATP:1,0.024,true,Aminoacylation_A_Gly
re0000000135,Gly,false,enzyme_cycle_or_branch,GlyRS_Gly_ATP:1,GlyRS_ATP:1|Gly:1,3.2,true,Aminoacylation_A_Gly
re0000000136,Gly,false,enzyme_cycle_or_branch,GlyRS_Gly:1|ATP:1,GlyRS_Gly_ATP:1,10.0,true,Aminoacylation_A_Gly
re0000000137,Gly,false,enzyme_cycle_or_branch,GlyRS_Gly_ATP:1,GlyRS_Gly:1|ATP:1,4500.0,true,Aminoacylation_A_Gly
re0000000138,Gly,false,degradation_sink,GlyRS_ATP:1,GlyRS_degraded:1|ATP:1,0.0,false,Aminoacylation_A_Gly
re0000000139,Gly,false,degradation_sink,GlyRS_Gly:1,GlyRS_degraded:1|Gly:1,0.0,false,Aminoacylation_A_Gly
re0000000140,Gly,true,enzyme_cycle_or_branch,GlyRS_Gly_ATP:1,GlyRS_GlyAMP_PPi:1,29.0,true,Aminoacylation_A_Gly
re0000000141,Gly,false,enzyme_cycle_or_branch,GlyRS_GlyAMP_PPi:1,GlyRS_Gly_ATP:1,47.0,true,Aminoacylation_A_Gly
re0000000142,Gly,false,degradation_sink,GlyRS_GlyAMP_PPi:1,GlyRS_degraded:1|GlyAMP:1|PPi:1,0.0,false,Aminoacylation_A_Gly
re0000000143,Gly,false,free_adenylate_hydrolysis,GlyAMP:1,Gly:1|AMP:1,0.0,false,Aminoacylation_A_Gly
