enzyme,time_s,e_pool_uM,n_starts,n_converged_feasible,max_scaled_residual,pairwise_start_spread_norm,worst_cond_Jq,distance_to_reference_shape_norm,free_enzyme_at_branch_uM
MetRS,1.0000e-04,4.4000000000e-01,3,1,3.180e-13,nan,2.924e+04,7.964e-01,8.599329e-05
MetRS,5.7384e-03,4.3999999998e-01,3,2,3.892e-11,8.062e-14,2.979e+04,7.898e-01,8.814931e-05
MetRS,3.2930e-01,4.3999999994e-01,3,2,5.685e-13,7.570e-16,3.090e+04,4.858e-02,9.143018e-05
MetRS,1.8897e+01,4.3999999997e-01,3,2,1.811e-11,4.920e-15,1.695e+05,8.352e-05,1.242949e-05
MetRS,1.0000e+03,4.4000000002e-01,3,2,1.126e-11,2.902e-15,1.660e+05,1.063e-08,1.464753e-05
GlyRS,1.0000e-04,3.5000000000e-01,3,1,4.248e-16,nan,1.572e+04,6.741e-01,2.580953e-04
GlyRS,5.7384e-03,3.5000000000e-01,3,2,8.602e-14,8.128e-15,1.557e+04,1.140e-01,2.800903e-04
GlyRS,3.2930e-01,3.4999999997e-01,3,2,5.082e-15,2.300e-15,1.544e+04,1.003e-03,3.025632e-04
GlyRS,1.8897e+01,3.4999999997e-01,3,2,2.481e-13,3.172e-16,1.457e+04,1.717e-06,1.539570e-05
GlyRS,1.0000e+03,3.5000000003e-01,3,2,8.842e-11,8.152e-14,1.378e+04,4.985e-09,2.062173e-05
