enzyme,time_s,complex,C_ref_uM,occ_frac_pool,prod_scale_uM_s,abs_defect_uM_s,rel_defect_vs_prod_scale
MetRS,1.0000e-04,MetRS_AMP,0.000000e+00,0.000e+00,0.000000e+00,0.000000e+00,no_production_pathway
MetRS,1.0000e-04,MetRS_AMP_MettRNAfMetCAU,0.000000e+00,0.000e+00,0.000000e+00,0.000000e+00,no_production_pathway
MetRS,1.0000e-04,MetRS_ATP,0.000000e+00,0.000e+00,1.650000e+04,1.650000e+04,1.000e+00
MetRS,1.0000e-04,MetRS_ATP_tRNAfMetCAU,0.000000e+00,0.000e+00,0.000000e+00,0.000000e+00,no_production_pathway
MetRS,1.0000e-04,MetRS_Met,0.000000e+00,0.000e+00,6.600000e+02,6.600000e+02,1.000e+00
MetRS,1.0000e-04,MetRS_MetAMP,0.000000e+00,0.000e+00,0.000000e+00,0.000000e+00,no_production_pathway
MetRS,1.0000e-04,MetRS_MetAMP_PPi,0.000000e+00,0.000e+00,0.000000e+00,0.000000e+00,no_production_pathway
MetRS,1.0000e-04,MetRS_MetAMP_PPi_tRNAfMetCAU,0.000000e+00,0.000e+00,0.000000e+00,0.000000e+00,no_production_pathway
MetRS,1.0000e-04,MetRS_MetAMP_tRNAfMetCAU,0.000000e+00,0.000e+00,0.000000e+00,0.000000e+00,no_production_pathway
MetRS,1.0000e-04,MetRS_Met_ATP,0.000000e+00,0.000e+00,0.000000e+00,0.000000e+00,no_production_pathway
MetRS,1.0000e-04,MetRS_Met_ATP_tRNAfMetCAU,0.000000e+00,0.000e+00,0.000000e+00,0.000000e+00,no_production_pathway
MetRS,1.0000e-04,MetRS_Met_tRNAfMetCAU,0.000000e+00,0.000e+00,0.000000e+00,0.000000e+00,no_production_pathway
MetRS,1.0000e-04,MetRS_MettRNAfMetCAU,0.000000e+00,0.000e+00,0.000000e+00,0.000000e+00,no_production_pathway
MetRS,1.0000e-04,MetRS_tRNAfMetCAU,0.000000e+00,0.000e+00,7.804878e+01,7.804878e+01,1.000e+00
MetRS,1.0844e-04,MetRS_AMP,8.068593e-23,1.834e-22,6.620383e-17,6.612315e-17,9.988e-01
MetRS,1.0844e-04,MetRS_AMP_MettRNAfMetCAU,3.929011e-17,8.930e-17,2.753097e-11,2.749161e-11,9.986e-01
