enzyme,time_s,perturbation,success,rel_dist_at_t_end,t_to_1pct_s,slowest_attracting_lambda,fastest_attracting_lambda,tau_from_slowest_attracting_s,flags
MetRS,1.0000e-04,x10_ref_shape,true,2.041e-12,5.200e-01,-9.141e+00,-4.218e+04,1.094e-01,min_C_8.75e-13
MetRS,1.0000e-04,x0.1_ref_shape,true,2.041e-12,5.200e-01,-9.141e+00,-4.218e+04,1.094e-01,min_C_8.75e-13
MetRS,1.0000e-04,uniform_0.5E_pool,true,8.569e-12,5.181e-01,-9.141e+00,-4.218e+04,1.094e-01,min_C_9.95e-07
MetRS,5.7384e-03,x10_ref_shape,true,9.354e-12,5.262e-01,-8.940e+00,-4.209e+04,1.119e-01,min_C_7.04e-07
MetRS,5.7384e-03,x0.1_ref_shape,true,6.122e-12,5.302e-01,-8.940e+00,-4.209e+04,1.119e-01,min_C_7.08e-08
MetRS,5.7384e-03,uniform_0.5E_pool,true,8.225e-12,5.240e-01,-8.940e+00,-4.209e+04,1.119e-01,min_C_9.90e-07
MetRS,3.2930e-01,x10_ref_shape,true,2.577e-12,5.488e-01,-8.598e+00,-4.206e+04,1.163e-01,min_C_9.80e-07
MetRS,3.2930e-01,x0.1_ref_shape,true,6.975e-12,5.605e-01,-8.598e+00,-4.206e+04,1.163e-01,min_C_1.23e-07
MetRS,3.2930e-01,uniform_0.5E_pool,true,7.604e-12,5.526e-01,-8.598e+00,-4.206e+04,1.163e-01,min_C_9.80e-07
MetRS,1.8897e+01,x10_ref_shape,true,1.058e-11,1.351e-01,-1.693e+00,-4.188e+04,5.908e-01,min_C_3.30e-09
MetRS,1.8897e+01,x0.1_ref_shape,true,2.040e-10,1.111e-01,-1.693e+00,-4.188e+04,5.908e-01,min_C_3.34e-10
MetRS,1.8897e+01,uniform_0.5E_pool,true,3.681e-09,1.295e+00,-1.693e+00,-4.188e+04,5.908e-01,min_C_3.34e-09
MetRS,1.0000e+03,x10_ref_shape,true,1.532e-11,1.106e-01,-1.698e+00,-4.103e+04,5.890e-01,min_C_6.77e-09
MetRS,1.0000e+03,x0.1_ref_shape,true,3.239e-10,1.109e-01,-1.698e+00,-4.103e+04,5.890e-01,min_C_6.84e-10
MetRS,1.0000e+03,uniform_0.5E_pool,true,3.387e-09,1.256e+00,-1.698e+00,-4.103e+04,5.890e-01,min_C_6.84e-09
GlyRS,1.0000e-04,x10_ref_shape,true,1.192e-12,1.257e-01,-2.381e+01,-5.303e+04,4.200e-02,min_C_9.72e-13
GlyRS,1.0000e-04,x0.1_ref_shape,true,1.192e-12,1.257e-01,-2.381e+01,-5.303e+04,4.200e-02,min_C_9.72e-13
GlyRS,1.0000e-04,uniform_0.5E_pool,true,2.107e-14,1.095e-02,-2.381e+01,-5.303e+04,4.200e-02,min_C_2.53e-04
GlyRS,5.7384e-03,x10_ref_shape,true,1.909e-14,1.951e-01,-2.379e+01,-5.282e+04,4.203e-02,min_C_2.25e-05
GlyRS,5.7384e-03,x0.1_ref_shape,true,4.058e-14,1.320e-01,-2.379e+01,-5.282e+04,4.203e-02,min_C_2.27e-06
GlyRS,5.7384e-03,uniform_0.5E_pool,true,1.622e-14,7.895e-03,-2.379e+01,-5.282e+04,4.203e-02,min_C_2.63e-04
GlyRS,3.2930e-01,x10_ref_shape,true,6.364e-15,1.630e-01,-2.377e+01,-5.270e+04,4.207e-02,min_C_2.67e-04
GlyRS,3.2930e-01,x0.1_ref_shape,true,1.521e-14,1.299e-01,-2.377e+01,-5.270e+04,4.207e-02,min_C_2.70e-05
GlyRS,3.2930e-01,uniform_0.5E_pool,true,1.937e-13,6.473e-03,-2.377e+01,-5.270e+04,4.207e-02,min_C_2.66e-04
GlyRS,1.8897e+01,x10_ref_shape,true,1.998e-14,1.977e-01,-2.364e+01,-5.152e+04,4.231e-02,min_C_3.27e-09
GlyRS,1.8897e+01,x0.1_ref_shape,true,1.427e-15,1.981e-01,-2.364e+01,-5.152e+04,4.231e-02,min_C_3.30e-10
GlyRS,1.8897e+01,uniform_0.5E_pool,true,4.485e-16,1.958e-01,-2.364e+01,-5.152e+04,4.231e-02,min_C_3.31e-09
GlyRS,1.0000e+03,x10_ref_shape,true,1.673e-16,1.962e-01,-2.401e+01,-5.025e+04,4.165e-02,min_C_9.19e-09
GlyRS,1.0000e+03,x0.1_ref_shape,true,6.344e-16,1.935e-01,-2.401e+01,-5.025e+04,4.165e-02,min_C_9.28e-10
GlyRS,1.0000e+03,uniform_0.5E_pool,true,7.930e-16,1.930e-01,-2.401e+01,-5.025e+04,4.165e-02,min_C_9.28e-09
