enzyme,time_s,mode,re_lambda_s^-1,im_lambda_s^-1,abs_lambda_s^-1,class_at_reference
MetRS,1.0000e-04,3,-4.129093e+04,0.000000e+00,4.129093e+04,attracting_stiff
MetRS,1.0000e-04,4,-4.046425e+04,0.000000e+00,4.046425e+04,attracting_stiff
MetRS,1.0000e-04,13,-3.410605e+04,0.000000e+00,3.410605e+04,attracting_stiff
MetRS,1.0000e-04,5,-3.104147e+03,0.000000e+00,3.104147e+03,attracting_stiff
MetRS,1.0000e-04,6,-1.736414e+03,0.000000e+00,1.736414e+03,attracting_stiff
MetRS,1.0000e-04,7,-1.420822e+03,0.000000e+00,1.420822e+03,attracting_stiff
MetRS,1.0000e-04,8,-1.052249e+03,0.000000e+00,1.052249e+03,attracting_stiff
MetRS,1.0000e-04,2,-1.001685e+03,0.000000e+00,1.001685e+03,attracting_stiff
MetRS,1.0000e-04,0,-1.000000e+03,0.000000e+00,1.000000e+03,attracting_stiff
MetRS,1.0000e-04,10,-3.338399e+02,0.000000e+00,3.338399e+02,attracting_stiff
MetRS,1.0000e-04,11,-2.152596e+02,0.000000e+00,2.152596e+02,attracting_stiff
MetRS,1.0000e-04,9,-7.313729e+00,0.000000e+00,7.313729e+00,near_zero_structural_candidate
MetRS,1.0000e-04,1,-1.685000e+00,0.000000e+00,1.685000e+00,near_zero_structural_candidate
MetRS,1.0000e-04,12,0.000000e+00,0.000000e+00,0.000000e+00,near_zero_structural_candidate
MetRS,5.7384e-03,0,-4.208832e+04,0.000000e+00,4.208832e+04,attracting_stiff
MetRS,5.7384e-03,1,-4.177081e+04,0.000000e+00,4.177081e+04,attracting_stiff
MetRS,5.7384e-03,2,-4.024517e+04,0.000000e+00,4.024517e+04,attracting_stiff
MetRS,5.7384e-03,3,-3.992789e+04,0.000000e+00,3.992789e+04,attracting_stiff
MetRS,5.7384e-03,4,-2.191745e+03,0.000000e+00,2.191745e+03,attracting_stiff
MetRS,5.7384e-03,5,-1.873513e+03,0.000000e+00,1.873513e+03,attracting_stiff
MetRS,5.7384e-03,10,-1.417510e+03,0.000000e+00,1.417510e+03,attracting_stiff
MetRS,5.7384e-03,11,-1.052841e+03,0.000000e+00,1.052841e+03,attracting_stiff
MetRS,5.7384e-03,12,-1.004799e+03,0.000000e+00,1.004799e+03,attracting_stiff
MetRS,5.7384e-03,13,-9.972912e+02,0.000000e+00,9.972912e+02,attracting_stiff
MetRS,5.7384e-03,9,-4.198938e+02,0.000000e+00,4.198938e+02,attracting_stiff
MetRS,5.7384e-03,8,-3.241832e+02,0.000000e+00,3.241832e+02,attracting_stiff
MetRS,5.7384e-03,7,-8.667840e+01,0.000000e+00,8.667840e+01,near_zero_structural_candidate
MetRS,5.7384e-03,6,-8.940026e+00,0.000000e+00,8.940026e+00,near_zero_structural_candidate
MetRS,3.2930e-01,0,-4.206386e+04,0.000000e+00,4.206386e+04,attracting_stiff
MetRS,3.2930e-01,1,-4.176168e+04,0.000000e+00,4.176168e+04,attracting_stiff
MetRS,3.2930e-01,2,-4.022179e+04,0.000000e+00,4.022179e+04,attracting_stiff
MetRS,3.2930e-01,3,-3.991955e+04,0.000000e+00,3.991955e+04,attracting_stiff
MetRS,3.2930e-01,4,-2.176082e+03,0.000000e+00,2.176082e+03,attracting_stiff
MetRS,3.2930e-01,5,-1.872033e+03,0.000000e+00,1.872033e+03,attracting_stiff
MetRS,3.2930e-01,10,-1.399561e+03,0.000000e+00,1.399561e+03,attracting_stiff
MetRS,3.2930e-01,11,-1.055497e+03,0.000000e+00,1.055497e+03,attracting_stiff
MetRS,3.2930e-01,12,-1.004698e+03,0.000000e+00,1.004698e+03,attracting_stiff
MetRS,3.2930e-01,13,-9.973620e+02,0.000000e+00,9.973620e+02,attracting_stiff
MetRS,3.2930e-01,9,-4.072927e+02,0.000000e+00,4.072927e+02,attracting_stiff
