subsystem_id,broad_module,n_reactions
Aminoacylation_A_Gly,Aminoacylation_A,25
Aminoacylation_A_Met,Aminoacylation_A,25
Aminoacylation_B_GlyGCC,Aminoacylation_B,44
Aminoacylation_B_fMetCAU,Aminoacylation_B,44
Elongation_A_Gly,Elongation_A,29
Elongation_A_Met,Elongation_A,29
Elongation_B,Elongation,40
Elongation_Ca1_GlyGCC,Elongation_Ca1,12
Elongation_Ca1_fMetCAU,Elongation_Ca1,12
Elongation_Ca2_pept0002,Elongation_Ca2,61
Elongation_Ca2_pept0003,Elongation_Ca2,61
EnergyRegeneration_A,EnergyRegeneration,25
EnergyRegeneration_B,EnergyRegeneration,25
EnergyRegeneration_C,EnergyRegeneration,25
EnergyRegeneration_D,EnergyRegeneration,12
FMet_tRNASynthesis,FMet,29
Initiation_A,Initiation,10
Initiation_B1,Initiation,156
Initiation_B2,Initiation,110
Initiation_C,Initiation,80
SmallMolecules,SmallMolecules.xml,12
Termination_A_RF1,Termination_A,22
Termination_A_RF2,Termination_A,22
Termination_B_RF1,Termination_B,51
Termination_B_RF2,Termination_B,51
Termination_C,Termination,86
