reaction_id,parameter_id,parameter_name,sbml_value,sbml_units,sbml_constant,author_export_value,value_is_placeholder
re0000000001,k1,k1,1,substance,true,1000,true
re0000000002,k1,k1,1,substance,true,0,true
re0000000003,k1,k1,1,substance,true,0,true
re0000000004,k1,k1,1,substance,true,0,true
re0000000005,k1,k1,1,substance,true,0,true
re0000000006,k1,k1,1,substance,true,0,true
re0000000007,k1,k1,1,substance,true,0,true
re0000000008,k1,k1,1,substance,true,0,true
re0000000009,k1,k1,1,substance,true,0,true
re0000000010,k1,k1,1,substance,true,0,true
re0000000011,k1,k1,1,substance,true,0,true
re0000000012,k1,k1,1,substance,true,0,true
re0000000013,k1,k1,1,substance,true,140,true
re0000000014,k1,k1,1,substance,true,260,true
re0000000015,k1,k1,1,substance,true,0,true
re0000000016,k1,k1,1,substance,true,1000,true
re0000000017,k1,k1,1,substance,true,7,true
re0000000018,k1,k1,1,substance,true,1000,true
re0000000019,k1,k1,1,substance,true,30,true
re0000000020,k1,k1,1,substance,true,25,true
re0000000021,k1,k1,1,substance,true,0.23,true
re0000000022,k1,k1,1,substance,true,31,true
re0000000023,k1,k1,1,substance,true,5,true
re0000000024,k1,k1,1,substance,true,5,true
re0000000025,k1,k1,1,substance,true,1000,true
re0000000026,k1,k1,1,substance,true,0,true
re0000000027,k1,k1,1,substance,true,0,true
re0000000028,k1,k1,1,substance,true,1000,true
re0000000029,k1,k1,1,substance,true,0,true
re0000000030,k1,k1,1,substance,true,0,true
re0000000031,k1,k1,1,substance,true,0,true
re0000000032,k1,k1,1,substance,true,0,true
re0000000033,k1,k1,1,substance,true,0,true
re0000000034,k1,k1,1,substance,true,0,true
re0000000035,k1,k1,1,substance,true,0,true
re0000000036,k1,k1,1,substance,true,0,true
re0000000037,k1,k1,1,substance,true,0,true
re0000000038,k1,k1,1,substance,true,0,true
re0000000039,k1,k1,1,substance,true,0,true
re0000000040,k1,k1,1,substance,true,0,true
re0000000041,k1,k1,1,substance,true,0,true
re0000000042,k1,k1,1,substance,true,0,true
re0000000043,k1,k1,1,substance,true,0,true
re0000000044,k1,k1,1,substance,true,0,true
re0000000045,k1,k1,1,substance,true,0,true
re0000000046,k1,k1,1,substance,true,0,true
re0000000047,k1,k1,1,substance,true,0,true
re0000000048,k1,k1,1,substance,true,0,true
re0000000049,k1,k1,1,substance,true,0,true
re0000000050,k1,k1,1,substance,true,0,true
re0000000051,k1,k1,1,substance,true,0,true
re0000000052,k1,k1,1,substance,true,0,true
re0000000053,k1,k1,1,substance,true,0,true
re0000000054,k1,k1,1,substance,true,0,true
re0000000055,k1,k1,1,substance,true,0,true
re0000000056,k1,k1,1,substance,true,0,true
re0000000057,k1,k1,1,substance,true,0,true
re0000000058,k1,k1,1,substance,true,0,true
re0000000059,k1,k1,1,substance,true,0,true
re0000000060,k1,k1,1,substance,true,0,true
re0000000061,k1,k1,1,substance,true,0,true
re0000000062,k1,k1,1,substance,true,0,true
re0000000063,k1,k1,1,substance,true,0,true
re0000000064,k1,k1,1,substance,true,0,true
re0000000065,k1,k1,1,substance,true,0,true
re0000000066,k1,k1,1,substance,true,0,true
re0000000067,k1,k1,1,substance,true,0,true
re0000000068,k1,k1,1,substance,true,1000,true
re0000000069,k1,k1,1,substance,true,0,true
re0000000070,k1,k1,1,substance,true,0,true
re0000000071,k1,k1,1,substance,true,0,true
re0000000072,k1,k1,1,substance,true,0,true
re0000000073,k1,k1,1,substance,true,0,true
re0000000074,k1,k1,1,substance,true,140,true
re0000000075,k1,k1,1,substance,true,260,true
re0000000076,k1,k1,1,substance,true,0,true
re0000000077,k1,k1,1,substance,true,1000,true
re0000000078,k1,k1,1,substance,true,7,true
re0000000079,k1,k1,1,substance,true,1000,true
re0000000080,k1,k1,1,substance,true,30,true
re0000000081,k1,k1,1,substance,true,25,true
re0000000082,k1,k1,1,substance,true,0.23,true
re0000000083,k1,k1,1,substance,true,31,true
re0000000084,k1,k1,1,substance,true,5,true
re0000000085,k1,k1,1,substance,true,5,true
re0000000086,k1,k1,1,substance,true,1000,true
re0000000087,k1,k1,1,substance,true,0,true
re0000000088,k1,k1,1,substance,true,0,true
re0000000089,k1,k1,1,substance,true,1000,true
re0000000090,k1,k1,1,substance,true,0,true
re0000000091,k1,k1,1,substance,true,0,true
re0000000092,k1,k1,1,substance,true,0,true
re0000000093,k1,k1,1,substance,true,0,true
re0000000094,k1,k1,1,substance,true,0,true
re0000000095,k1,k1,1,substance,true,0,true
re0000000096,k1,k1,1,substance,true,0,true
re0000000097,k1,k1,1,substance,true,0,true
re0000000098,k1,k1,1,substance,true,0,true
re0000000099,k1,k1,1,substance,true,0,true
re0000000100,k1,k1,1,substance,true,0,true
re0000000101,k1,k1,1,substance,true,0,true
re0000000102,k1,k1,1,substance,true,0,true
re0000000103,k1,k1,1,substance,true,0,true
re0000000104,k1,k1,1,substance,true,0,true
re0000000105,k1,k1,1,substance,true,0,true
re0000000106,k1,k1,1,substance,true,0,true
re0000000107,k1,k1,1,substance,true,0,true
re0000000108,k1,k1,1,substance,true,0,true
re0000000109,k1,k1,1,substance,true,0,true
re0000000110,k1,k1,1,substance,true,0,true
re0000000111,k1,k1,1,substance,true,0,true
re0000000112,k1,k1,1,substance,true,0,true
re0000000113,k1,k1,1,substance,true,0,true
re0000000114,k1,k1,1,substance,true,0,true
re0000000115,k1,k1,1,substance,true,0,true
re0000000116,k1,k1,1,substance,true,0,true
re0000000117,k1,k1,1,substance,true,0,true
re0000000118,k1,k1,1,substance,true,0,true
re0000000119,k1,k1,1,substance,true,0,true
re0000000120,k1,k1,1,substance,true,0,true
re0000000121,k1,k1,1,substance,true,0,true
re0000000122,k1,k1,1,substance,true,0,true
re0000000123,k1,k1,1,substance,true,0,true
re0000000124,k1,k1,1,substance,true,0,true
re0000000125,k1,k1,1,substance,true,0,true
re0000000126,k1,k1,1,substance,true,20,true
re0000000127,k1,k1,1,substance,true,1000,true
re0000000128,k1,k1,1,substance,true,0,true
re0000000129,k1,k1,1,substance,true,0,true
re0000000130,k1,k1,1,substance,true,0,true
re0000000131,k1,k1,1,substance,true,470,true
re0000000132,k1,k1,1,substance,true,10,true
re0000000133,k1,k1,1,substance,true,8900,true
re0000000134,k1,k1,1,substance,true,0.024,true
re0000000135,k1,k1,1,substance,true,3.2,true
re0000000136,k1,k1,1,substance,true,10,true
re0000000137,k1,k1,1,substance,true,4500,true
re0000000138,k1,k1,1,substance,true,0,true
re0000000139,k1,k1,1,substance,true,0,true
re0000000140,k1,k1,1,substance,true,29,true
re0000000141,k1,k1,1,substance,true,47,true
re0000000142,k1,k1,1,substance,true,0,true
re0000000143,k1,k1,1,substance,true,0,true
re0000000144,k1,k1,1,substance,true,0,true
re0000000145,k1,k1,1,substance,true,1000,true
re0000000146,k1,k1,1,substance,true,0,true
re0000000147,k1,k1,1,substance,true,0.07,true
re0000000148,k1,k1,1,substance,true,2.4,true
re0000000149,k1,k1,1,substance,true,0,true
re0000000150,k1,k1,1,substance,true,0,true
re0000000151,k1,k1,1,substance,true,5,true
re0000000152,k1,k1,1,substance,true,1000,true
re0000000153,k1,k1,1,substance,true,0,true
re0000000154,k1,k1,1,substance,true,0,true
re0000000155,k1,k1,1,substance,true,0,true
re0000000156,k1,k1,1,substance,true,350,true
re0000000157,k1,k1,1,substance,true,10,true
re0000000158,k1,k1,1,substance,true,2500,true
re0000000159,k1,k1,1,substance,true,5,true
re0000000160,k1,k1,1,substance,true,350,true
re0000000161,k1,k1,1,substance,true,10,true
re0000000162,k1,k1,1,substance,true,2500,true
re0000000163,k1,k1,1,substance,true,0,true
re0000000164,k1,k1,1,substance,true,0,true
re0000000165,k1,k1,1,substance,true,60,true
re0000000166,k1,k1,1,substance,true,150,true
re0000000167,k1,k1,1,substance,true,0,true
re0000000168,k1,k1,1,substance,true,0,true
re0000000169,k1,k1,1,substance,true,0,true
re0000000170,k1,k1,1,substance,true,1000,true
re0000000171,k1,k1,1,substance,true,0,true
re0000000172,k1,k1,1,substance,true,0.07,true
re0000000173,k1,k1,1,substance,true,2.4,true
re0000000174,k1,k1,1,substance,true,0,true
re0000000175,k1,k1,1,substance,true,0,true
re0000000176,k1,k1,1,substance,true,0,true
re0000000177,k1,k1,1,substance,true,0,true
re0000000178,k1,k1,1,substance,true,22,true
re0000000179,k1,k1,1,substance,true,0,true
re0000000180,k1,k1,1,substance,true,1000,true
re0000000181,k1,k1,1,substance,true,0,true
re0000000182,k1,k1,1,substance,true,353,true
re0000000183,k1,k1,1,substance,true,100,true
re0000000184,k1,k1,1,substance,true,353,true
re0000000185,k1,k1,1,substance,true,100,true
re0000000186,k1,k1,1,substance,true,0,true
re0000000187,k1,k1,1,substance,true,0,true
re0000000188,k1,k1,1,substance,true,20,true
re0000000189,k1,k1,1,substance,true,1000,true
re0000000190,k1,k1,1,substance,true,470,true
re0000000191,k1,k1,1,substance,true,10,true
re0000000192,k1,k1,1,substance,true,8900,true
re0000000193,k1,k1,1,substance,true,0.024,true
re0000000194,k1,k1,1,substance,true,3.2,true
re0000000195,k1,k1,1,substance,true,10,true
re0000000196,k1,k1,1,substance,true,4500,true
re0000000197,k1,k1,1,substance,true,2,true
re0000000198,k1,k1,1,substance,true,0,true
re0000000199,k1,k1,1,substance,true,376,true
re0000000200,k1,k1,1,substance,true,376,true
re0000000201,k1,k1,1,substance,true,100,true
re0000000202,k1,k1,1,substance,true,100,true
re0000000203,k1,k1,1,substance,true,376,true
re0000000204,k1,k1,1,substance,true,100,true
re0000000205,k1,k1,1,substance,true,376,true
re0000000206,k1,k1,1,substance,true,100,true
re0000000207,k1,k1,1,substance,true,353,true
re0000000208,k1,k1,1,substance,true,100,true
re0000000209,k1,k1,1,substance,true,353,true
re0000000210,k1,k1,1,substance,true,100,true
re0000000211,k1,k1,1,substance,true,0,true
re0000000212,k1,k1,1,substance,true,0,true
re0000000213,k1,k1,1,substance,true,0,true
re0000000214,k1,k1,1,substance,true,0,true
re0000000215,k1,k1,1,substance,true,0,true
re0000000216,k1,k1,1,substance,true,0,true
re0000000217,k1,k1,1,substance,true,0,true
re0000000218,k1,k1,1,substance,true,0,true
re0000000219,k1,k1,1,substance,true,0,true
re0000000220,k1,k1,1,substance,true,13.7,true
re0000000221,k1,k1,1,substance,true,0,true
re0000000222,k1,k1,1,substance,true,1000,true
re0000000223,k1,k1,1,substance,true,0,true
re0000000224,k1,k1,1,substance,true,1.685,true
re0000000225,k1,k1,1,substance,true,5.6,true
re0000000226,k1,k1,1,substance,true,1.685,true
re0000000227,k1,k1,1,substance,true,5.6,true
re0000000228,k1,k1,1,substance,true,0,true
re0000000229,k1,k1,1,substance,true,0,true
re0000000230,k1,k1,1,substance,true,5,true
re0000000231,k1,k1,1,substance,true,1000,true
re0000000232,k1,k1,1,substance,true,350,true
re0000000233,k1,k1,1,substance,true,10,true
re0000000234,k1,k1,1,substance,true,2500,true
re0000000235,k1,k1,1,substance,true,5,true
re0000000236,k1,k1,1,substance,true,350,true
re0000000237,k1,k1,1,substance,true,10,true
re0000000238,k1,k1,1,substance,true,2500,true
re0000000239,k1,k1,1,substance,true,200,true
re0000000240,k1,k1,1,substance,true,0,true
re0000000241,k1,k1,1,substance,true,50,true
re0000000242,k1,k1,1,substance,true,50,true
re0000000243,k1,k1,1,substance,true,150,true
re0000000244,k1,k1,1,substance,true,150,true
re0000000245,k1,k1,1,substance,true,50,true
re0000000246,k1,k1,1,substance,true,150,true
re0000000247,k1,k1,1,substance,true,50,true
re0000000248,k1,k1,1,substance,true,150,true
re0000000249,k1,k1,1,substance,true,50,true
re0000000250,k1,k1,1,substance,true,150,true
re0000000251,k1,k1,1,substance,true,50,true
re0000000252,k1,k1,1,substance,true,150,true
re0000000253,k1,k1,1,substance,true,0,true
re0000000254,k1,k1,1,substance,true,0,true
re0000000255,k1,k1,1,substance,true,0,true
re0000000256,k1,k1,1,substance,true,0,true
re0000000257,k1,k1,1,substance,true,0,true
re0000000258,k1,k1,1,substance,true,0,true
re0000000259,k1,k1,1,substance,true,0,true
re0000000260,k1,k1,1,substance,true,0,true
re0000000261,k1,k1,1,substance,true,10,true
re0000000262,k1,k1,1,substance,true,0.03,true
re0000000263,k1,k1,1,substance,true,14,true
re0000000264,k1,k1,1,substance,true,125,true
re0000000265,k1,k1,1,substance,true,350,true
re0000000266,k1,k1,1,substance,true,60,true
re0000000267,k1,k1,1,substance,true,0.002,true
re0000000268,k1,k1,1,substance,true,2,true
re0000000269,k1,k1,1,substance,true,6,true
re0000000270,k1,k1,1,substance,true,85,true
re0000000271,k1,k1,1,substance,true,60,true
re0000000272,k1,k1,1,substance,true,30,true
re0000000273,k1,k1,1,substance,true,0.5,true
re0000000274,k1,k1,1,substance,true,0.03,true
re0000000275,k1,k1,1,substance,true,1.5,true
re0000000276,k1,k1,1,substance,true,0.0013,true
re0000000277,k1,k1,1,substance,true,0,true
re0000000278,k1,k1,1,substance,true,0,true
re0000000279,k1,k1,1,substance,true,0,true
re0000000280,k1,k1,1,substance,true,0,true
re0000000281,k1,k1,1,substance,true,0,true
re0000000282,k1,k1,1,substance,true,0,true
re0000000283,k1,k1,1,substance,true,0,true
re0000000284,k1,k1,1,substance,true,0,true
re0000000285,k1,k1,1,substance,true,0,true
re0000000286,k1,k1,1,substance,true,0,true
re0000000287,k1,k1,1,substance,true,0,true
re0000000288,k1,k1,1,substance,true,1.5,true
re0000000289,k1,k1,1,substance,true,0.0453,true
re0000000290,k1,k1,1,substance,true,0,true
re0000000291,k1,k1,1,substance,true,0,true
re0000000292,k1,k1,1,substance,true,300,true
re0000000293,k1,k1,1,substance,true,17.6,true
re0000000294,k1,k1,1,substance,true,0.58,true
re0000000295,k1,k1,1,substance,true,13,true
re0000000296,k1,k1,1,substance,true,0,true
re0000000297,k1,k1,1,substance,true,0,true
re0000000298,k1,k1,1,substance,true,30,true
re0000000299,k1,k1,1,substance,true,25,true
re0000000300,k1,k1,1,substance,true,30,true
re0000000301,k1,k1,1,substance,true,25,true
re0000000302,k1,k1,1,substance,true,31,true
re0000000303,k1,k1,1,substance,true,5,true
re0000000304,k1,k1,1,substance,true,31,true
re0000000305,k1,k1,1,substance,true,5,true
re0000000306,k1,k1,1,substance,true,5,true
re0000000307,k1,k1,1,substance,true,5,true
re0000000308,k1,k1,1,substance,true,1000,true
re0000000309,k1,k1,1,substance,true,1000,true
re0000000310,k1,k1,1,substance,true,0,true
re0000000311,k1,k1,1,substance,true,0,true
re0000000312,k1,k1,1,substance,true,0,true
re0000000313,k1,k1,1,substance,true,0,true
re0000000314,k1,k1,1,substance,true,0,true
re0000000315,k1,k1,1,substance,true,0,true
re0000000316,k1,k1,1,substance,true,0,true
re0000000317,k1,k1,1,substance,true,0,true
re0000000318,k1,k1,1,substance,true,0,true
re0000000319,k1,k1,1,substance,true,0,true
re0000000320,k1,k1,1,substance,true,0,true
re0000000321,k1,k1,1,substance,true,0,true
re0000000322,k1,k1,1,substance,true,0,true
re0000000323,k1,k1,1,substance,true,0,true
re0000000324,k1,k1,1,substance,true,0,true
re0000000325,k1,k1,1,substance,true,0,true
re0000000326,k1,k1,1,substance,true,0,true
re0000000327,k1,k1,1,substance,true,0,true
re0000000328,k1,k1,1,substance,true,0,true
re0000000329,k1,k1,1,substance,true,0,true
re0000000330,k1,k1,1,substance,true,19.60784314,true
re0000000331,k1,k1,1,substance,true,1000,true
re0000000332,k1,k1,1,substance,true,2,true
re0000000333,k1,k1,1,substance,true,1000,true
re0000000334,k1,k1,1,substance,true,19.60784314,true
re0000000335,k1,k1,1,substance,true,1000,true
re0000000336,k1,k1,1,substance,true,2,true
re0000000337,k1,k1,1,substance,true,1000,true
re0000000338,k1,k1,1,substance,true,2.527408333,true
re0000000339,k1,k1,1,substance,true,0.548808667,true
re0000000340,k1,k1,1,substance,true,1000,true
re0000000341,k1,k1,1,substance,true,1.369863014,true
re0000000342,k1,k1,1,substance,true,1000,true
re0000000343,k1,k1,1,substance,true,0.204081633,true
re0000000344,k1,k1,1,substance,true,1000,true
re0000000345,k1,k1,1,substance,true,1.369863014,true
re0000000346,k1,k1,1,substance,true,1000,true
re0000000347,k1,k1,1,substance,true,0.204081633,true
re0000000348,k1,k1,1,substance,true,0,true
re0000000349,k1,k1,1,substance,true,0,true
re0000000350,k1,k1,1,substance,true,0,true
re0000000351,k1,k1,1,substance,true,0,true
re0000000352,k1,k1,1,substance,true,0,true
re0000000353,k1,k1,1,substance,true,0,true
re0000000354,k1,k1,1,substance,true,0,true
re0000000355,k1,k1,1,substance,true,0.555555556,true
re0000000356,k1,k1,1,substance,true,1000,true
re0000000357,k1,k1,1,substance,true,20.40816327,true
re0000000358,k1,k1,1,substance,true,1000,true
re0000000359,k1,k1,1,substance,true,0.555555556,true
re0000000360,k1,k1,1,substance,true,1000,true
re0000000361,k1,k1,1,substance,true,20.40816327,true
re0000000362,k1,k1,1,substance,true,1000,true
re0000000363,k1,k1,1,substance,true,470,true
re0000000364,k1,k1,1,substance,true,0,true
re0000000365,k1,k1,1,substance,true,1000,true
re0000000366,k1,k1,1,substance,true,1000,true
re0000000367,k1,k1,1,substance,true,1000,true
re0000000368,k1,k1,1,substance,true,1000,true
re0000000369,k1,k1,1,substance,true,0,true
re0000000370,k1,k1,1,substance,true,0,true
re0000000371,k1,k1,1,substance,true,0,true
re0000000372,k1,k1,1,substance,true,0,true
re0000000373,k1,k1,1,substance,true,0,true
re0000000374,k1,k1,1,substance,true,0,true
re0000000375,k1,k1,1,substance,true,15.15151515,true
re0000000376,k1,k1,1,substance,true,6.666666667,true
re0000000377,k1,k1,1,substance,true,6.666666667,true
re0000000378,k1,k1,1,substance,true,15.15151515,true
re0000000379,k1,k1,1,substance,true,0,true
re0000000380,k1,k1,1,substance,true,16.66666667,true
re0000000381,k1,k1,1,substance,true,1000,true
re0000000382,k1,k1,1,substance,true,8.333333333,true
re0000000383,k1,k1,1,substance,true,1000,true
re0000000384,k1,k1,1,substance,true,16.66666667,true
re0000000385,k1,k1,1,substance,true,1000,true
re0000000386,k1,k1,1,substance,true,8.333333333,true
re0000000387,k1,k1,1,substance,true,1000,true
