reaction_id,subsystem_files,n_reactant_species,n_product_species,net_particle_number_change,ATP_free_net,ATP_consumed_free,ATP_produced_free,ADP_free_net,ADP_consumed_free,ADP_produced_free,AMP_free_net,AMP_consumed_free,AMP_produced_free,GTP_free_net,GTP_consumed_free,GTP_produced_free,GDP_free_net,GDP_consumed_free,GDP_produced_free,PPi_free_net,PPi_consumed_free,PPi_produced_free,Pi_PO4_free_net,Pi_PO4_consumed_free,Pi_PO4_produced_free,CP_creatine_phosphate_free_net,CP_creatine_phosphate_consumed_free,CP_creatine_phosphate_produced_free,creatine_free_net,creatine_consumed_free,creatine_produced_free
re0000000001,Elongation_Ca1_fMetCAU,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
re0000000002,Elongation_Ca1_fMetCAU,2,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
re0000000003,Elongation_B|Elongation_Ca1_GlyGCC|Elongation_Ca1_fMetCAU|Elongation_Ca2_pept0002|Elongation_Ca2_pept0003|Initiation_B1|Initiation_C|Termination_A_RF1|Termination_A_RF2|Termination_B_RF1|Termination_B_RF2|Termination_C,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
re0000000004,Elongation_B|Elongation_Ca1_GlyGCC|Elongation_Ca1_fMetCAU|Elongation_Ca2_pept0002|Elongation_Ca2_pept0003|Initiation_B1|Initiation_B2|Initiation_C|Termination_A_RF1|Termination_A_RF2|Termination_B_RF1|Termination_B_RF2|Termination_C,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
re0000000005,Elongation_Ca1_fMetCAU|Initiation_C,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
re0000000006,Aminoacylation_B_fMetCAU|Elongation_Ca1_fMetCAU,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
re0000000007,Elongation_Ca1_fMetCAU|Elongation_Ca2_pept0002,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
re0000000008,Elongation_Ca1_GlyGCC|Elongation_Ca1_fMetCAU|Elongation_Ca2_pept0002|Elongation_Ca2_pept0003|Initiation_C|Termination_A_RF1|Termination_A_RF2|Termination_B_RF1|Termination_B_RF2|Termination_C,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
re0000000009,Elongation_Ca1_fMetCAU|Initiation_C,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
re0000000010,Elongation_Ca1_fMetCAU|Initiation_C,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
re0000000011,Elongation_Ca1_fMetCAU|Elongation_Ca2_pept0002,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
re0000000012,Elongation_Ca1_fMetCAU|Elongation_Ca2_pept0002,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
