id,name,reversible,fast,subsystem_files,n_reactants,n_products,reactants,products,n_kinetic_params,kinetic_param_ids,rate_law,metaid
re0000000001,,false,false,Elongation_Ca1_fMetCAU,1,2,elRS70SAGGU0002_fMettRNAfMetCAU:1,elRS70SAGGU0002_fMet:1|tRNAfMetCAU:1,1,k1,k1 * elRS70SAGGU0002_fMettRNAfMetCAU,ePID0000000000
re0000000002,,false,false,Elongation_Ca1_fMetCAU,2,1,elRS70SAGGU0002_fMet:1|tRNAfMetCAU:1,elRS70SAGGU0002_fMettRNAfMetCAU:1,1,k1,k1 * elRS70SAGGU0002_fMet * tRNAfMetCAU,ePID0000000002
re0000000003,,false,false,Elongation_B|Elongation_Ca1_GlyGCC|Elongation_Ca1_fMetCAU|Elongation_Ca2_pept0002|Elongation_Ca2_pept0003|Initiation_B1|Initiation_C|Termination_A_RF1|Termination_A_RF2|Termination_B_RF1|Termination_B_RF2|Termination_C,1,1,RS50S:1,RS50S_degraded:1,1,k1,k1 * RS50S,ePID0000000004
re0000000004,,false,false,Elongation_B|Elongation_Ca1_GlyGCC|Elongation_Ca1_fMetCAU|Elongation_Ca2_pept0002|Elongation_Ca2_pept0003|Initiation_B1|Initiation_B2|Initiation_C|Termination_A_RF1|Termination_A_RF2|Termination_B_RF1|Termination_B_RF2|Termination_C,1,1,RS30S:1,RS30S_degraded:1,1,k1,k1 * RS30S,ePID0000000006
re0000000005,,false,false,Elongation_Ca1_fMetCAU|Initiation_C,1,1,fMettRNAfMetCAU:1,fMettRNAfMetCAU_degraded:1,1,k1,k1 * fMettRNAfMetCAU,ePID0000000008
re0000000006,,false,false,Aminoacylation_B_fMetCAU|Elongation_Ca1_fMetCAU,1,1,tRNAfMetCAU:1,tRNAfMetCAU_degraded:1,1,k1,k1 * tRNAfMetCAU,ePID0000000010
re0000000007,,false,false,Elongation_Ca1_fMetCAU|Elongation_Ca2_pept0002,1,1,fMet:1,fMet_degraded:1,1,k1,k1 * fMet,ePID0000000012
re0000000008,,false,false,Elongation_Ca1_GlyGCC|Elongation_Ca1_fMetCAU|Elongation_Ca2_pept0002|Elongation_Ca2_pept0003|Initiation_C|Termination_A_RF1|Termination_A_RF2|Termination_B_RF1|Termination_B_RF2|Termination_C,1,1,mRNA:1,mRNA_degraded:1,1,k1,k1 * mRNA,ePID0000000014
re0000000009,,false,false,Elongation_Ca1_fMetCAU|Initiation_C,1,4,elRS70SAGGU0002_fMettRNAfMetCAU:1,RS50S_degraded:1|mRNA:1|RS30S:1|fMettRNAfMetCAU:1,1,k1,k1 * elRS70SAGGU0002_fMettRNAfMetCAU,ePID0000000016
re0000000010,,false,false,Elongation_Ca1_fMetCAU|Initiation_C,1,4,elRS70SAGGU0002_fMettRNAfMetCAU:1,RS30S_degraded:1|RS50S:1|mRNA:1|fMettRNAfMetCAU:1,1,k1,k1 * elRS70SAGGU0002_fMettRNAfMetCAU,ePID0000000018
re0000000011,,false,false,Elongation_Ca1_fMetCAU|Elongation_Ca2_pept0002,1,4,elRS70SAGGU0002_fMet:1,RS50S_degraded:1|mRNA:1|RS30S:1|fMet:1,1,k1,k1 * elRS70SAGGU0002_fMet,ePID0000000020
