id,name,compartment,sbml_initial_concentration,sbml_initial_amount,boundary_condition,constant,has_annotations,author_export_initial_value
fMettRNAfMetCAU,fMettRNAfMetCAU,default,1,,false,false,false,0
tRNAfMetCAU,tRNAfMetCAU,default,1,,false,false,false,3.54767184
fMet,fMet,default,1,,false,false,false,0
elRS70SAGGU0002_fMettRNAfMetCAU,elRS70SAGGU0002_fMettRNAfMetCAU,default,1,,false,false,false,0
elRS70SAGGU0002_fMet,elRS70SAGGU0002_fMet,default,1,,false,false,false,0
RS50S,RS50S,default,1,,false,false,false,0
RS30S,RS30S,default,1,,false,false,false,0
mRNA,mRNA,default,1,,false,false,false,0.1
RS50S_degraded,RS50S_degraded,default,1,,false,false,false,0
RS30S_degraded,RS30S_degraded,default,1,,false,false,false,0
fMettRNAfMetCAU_degraded,fMettRNAfMetCAU_degraded,default,1,,false,false,false,0
tRNAfMetCAU_degraded,tRNAfMetCAU_degraded,default,1,,false,false,false,0
fMet_degraded,fMet_degraded,default,1,,false,false,false,0
mRNA_degraded,mRNA_degraded,default,1,,false,false,false,0
PO4,PO4,default,1,,false,false,false,0
EFTu_GTP_GlytRNAGlyGCC,EFTu_GTP_GlytRNAGlyGCC,default,1,,false,false,false,0
GlytRNAGlyGCC,GlytRNAGlyGCC,default,1,,false,false,false,0
EFG_GTP,EFG_GTP,default,1,,false,false,false,0
EFG_GDP,EFG_GDP,default,1,,false,false,false,0
elRS70SAGGU0003_Pept0002tRNAGlyGCC,elRS70SAGGU0003_Pept0002tRNAGlyGCC,default,1,,false,false,false,0
Pept0002tRNAGlyGCC,Pept0002tRNAGlyGCC,default,1,,false,false,false,0
EFTu,EFTu,default,1,,false,false,false,80
GTP,GTP,default,1,,false,false,false,2500
GDP,GDP,default,1,,false,false,false,0
EFTu_GDP,EFTu_GDP,default,1,,false,false,false,0
EFG,EFG,default,1,,false,false,false,4.3
EFTu_degraded,EFTu_degraded,default,1,,false,false,false,0
EFG_degraded,EFG_degraded,default,1,,false,false,false,0
GlytRNAGlyGCC_degraded,GlytRNAGlyGCC_degraded,default,1,,false,false,false,0
Pept0002tRNAGlyGCC_degraded,Pept0002tRNAGlyGCC_degraded,default,1,,false,false,false,0
elRS70SAGGU0002_fMet_EFTu_GTP_GlytRNAGlyGCC,elRS70SAGGU0002_fMet_EFTu_GTP_GlytRNAGlyGCC,default,1,,false,false,false,0
elRS70SAGGU0002_fMet_EFTu_GDP_PO4_GlytRNAGlyGCC,elRS70SAGGU0002_fMet_EFTu_GDP_PO4_GlytRNAGlyGCC,default,1,,false,false,false,0
elRS70SAGGU0002_fMet_EFTu_GDP_GlytRNAGlyGCC,elRS70SAGGU0002_fMet_EFTu_GDP_GlytRNAGlyGCC,default,1,,false,false,false,0
elRS70SAGGU0002_fMet_EFTu_GDP,elRS70SAGGU0002_fMet_EFTu_GDP,default,1,,false,false,false,0
elRS70SAGGU0002_fMet_GlytRNAGlyGCC,elRS70SAGGU0002_fMet_GlytRNAGlyGCC,default,1,,false,false,false,0
elRS70SBGGU0002_Pept0002tRNAGlyGCC,elRS70SBGGU0002_Pept0002tRNAGlyGCC,default,1,,false,false,false,0
elRS70SBGGU0002_Pept0002tRNAGlyGCC_EFG_GTP,elRS70SBGGU0002_Pept0002tRNAGlyGCC_EFG_GTP,default,1,,false,false,false,0
elRS70SBGGU0002_Pept0002tRNAGlyGCC_EFG_GDP_PO4,elRS70SBGGU0002_Pept0002tRNAGlyGCC_EFG_GDP_PO4,default,1,,false,false,false,0
elRS70SCGGU0003_Pept0002tRNAGlyGCC_EFG_GDP,elRS70SCGGU0003_Pept0002tRNAGlyGCC_EFG_GDP,default,1,,false,false,false,0
tRNAGlyGCC,tRNAGlyGCC,default,1,,false,false,false,3.54767184
Pept0002,Pept0002,default,1,,false,false,false,0
elRS70SAGGU0003_Pept0002,elRS70SAGGU0003_Pept0002,default,1,,false,false,false,0
tRNAGlyGCC_degraded,tRNAGlyGCC_degraded,default,1,,false,false,false,0
Pept0002_degraded,Pept0002_degraded,default,1,,false,false,false,0
elRS70SAUAA0004_Pept0003tRNAGlyGCC,elRS70SAUAA0004_Pept0003tRNAGlyGCC,default,1,,false,false,false,0
Pept0003tRNAGlyGCC,Pept0003tRNAGlyGCC,default,1,,false,false,false,0
Pept0003tRNAGlyGCC_degraded,Pept0003tRNAGlyGCC_degraded,default,1,,false,false,false,0
elRS70SAGGU0003_Pept0002_EFTu_GTP_GlytRNAGlyGCC,elRS70SAGGU0003_Pept0002_EFTu_GTP_GlytRNAGlyGCC,default,1,,false,false,false,0
elRS70SAGGU0003_Pept0002_EFTu_GDP_PO4_GlytRNAGlyGCC,elRS70SAGGU0003_Pept0002_EFTu_GDP_PO4_GlytRNAGlyGCC,default,1,,false,false,false,0
elRS70SAGGU0003_Pept0002_EFTu_GDP_GlytRNAGlyGCC,elRS70SAGGU0003_Pept0002_EFTu_GDP_GlytRNAGlyGCC,default,1,,false,false,false,0
elRS70SAGGU0003_Pept0002_EFTu_GDP,elRS70SAGGU0003_Pept0002_EFTu_GDP,default,1,,false,false,false,0
elRS70SAGGU0003_Pept0002_GlytRNAGlyGCC,elRS70SAGGU0003_Pept0002_GlytRNAGlyGCC,default,1,,false,false,false,0
elRS70SBGGU0003_Pept0003tRNAGlyGCC,elRS70SBGGU0003_Pept0003tRNAGlyGCC,default,1,,false,false,false,0
elRS70SBGGU0003_Pept0003tRNAGlyGCC_EFG_GTP,elRS70SBGGU0003_Pept0003tRNAGlyGCC_EFG_GTP,default,1,,false,false,false,0
elRS70SBGGU0003_Pept0003tRNAGlyGCC_EFG_GDP_PO4,elRS70SBGGU0003_Pept0003tRNAGlyGCC_EFG_GDP_PO4,default,1,,false,false,false,0
elRS70SCUAA0004_Pept0003tRNAGlyGCC_EFG_GDP,elRS70SCUAA0004_Pept0003tRNAGlyGCC_EFG_GDP,default,1,,false,false,false,0
AMP,AMP,default,1,,false,false,false,0
ATP,ATP,default,1,,false,false,false,3750
PPi,PPi,default,1,,false,false,false,0
Gly,Gly,default,1,,false,false,false,300
GlyRS,GlyRS,default,1,,false,false,false,0.35
GlyRS_Gly_ATP,GlyRS_Gly_ATP,default,1,,false,false,false,0
GlyRS_Gly,GlyRS_Gly,default,1,,false,false,false,0
GlyRS_ATP,GlyRS_ATP,default,1,,false,false,false,0
GlyAMP,GlyAMP,default,1,,false,false,false,0
GlyRS_GlyAMP_PPi,GlyRS_GlyAMP_PPi,default,1,,false,false,false,0
GlyRS_GlyAMP,GlyRS_GlyAMP,default,1,,false,false,false,0
GlyRS_degraded,GlyRS_degraded,default,1,,false,false,false,0
GlyRS_AMP,GlyRS_AMP,default,1,,false,false,false,0
Met,Met,default,1,,false,false,false,300
MetRS,MetRS,default,1,,false,false,false,0.44
MetRS_Met_ATP,MetRS_Met_ATP,default,1,,false,false,false,0
MetRS_Met,MetRS_Met,default,1,,false,false,false,0
MetRS_ATP,MetRS_ATP,default,1,,false,false,false,0
MetAMP,MetAMP,default,1,,false,false,false,0
MetRS_MetAMP_PPi,MetRS_MetAMP_PPi,default,1,,false,false,false,0
MetRS_MetAMP,MetRS_MetAMP,default,1,,false,false,false,0
MetRS_degraded,MetRS_degraded,default,1,,false,false,false,0
MetRS_AMP,MetRS_AMP,default,1,,false,false,false,0
