sbml_id,sbml_name,functional_modules,molecule_class,is_complex_with_underscore,is_degraded_species,initial_concentration_author_export,sbml_initial_concentration_placeholder,dynamic_or_boundary,small_molecule,ATP,ADP,AMP,GTP,GDP,Pi_PO4,PPi,creatine_phosphate,creatine,amino_acid,tRNA,aminoacyl_tRNA,ribosomal_species,translation_factor,aminoacyl_tRNA_synthetase,energy_regeneration_enzyme,peptide_product,molecular_formula,formula_provenance,formal_net_charge,charge_provenance,protonation_convention,unresolved_fields
fMettRNAfMetCAU,fMettRNAfMetCAU,Elongation_Ca1_fMetCAU|FMet_tRNASynthesis|Initiation_A|Initiation_B1|Initiation_B2|Initiation_C,complex:aminoacyl_tRNA,false,false,0,1,dynamic,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,,,,,unknown,"molecular_formula,formal_net_charge,charge_provenance,protonation_convention"
tRNAfMetCAU,tRNAfMetCAU,Aminoacylation_B_fMetCAU|Elongation_Ca1_fMetCAU|FMet_tRNASynthesis,macromolecule:tRNA,false,false,3.54767184,1,dynamic,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,,,,,unknown,"molecular_formula,formal_net_charge,charge_provenance,protonation_convention"
fMet,fMet,Elongation_Ca1_fMetCAU|Elongation_Ca2_pept0002|FMet_tRNASynthesis,small_molecule:amino_acid,false,false,0,1,dynamic,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,,,,,unknown,"molecular_formula,formal_net_charge,charge_provenance,protonation_convention"
elRS70SAGGU0002_fMettRNAfMetCAU,elRS70SAGGU0002_fMettRNAfMetCAU,Elongation_Ca1_fMetCAU|Initiation_C,macromolecule:tRNA,true,false,0,1,dynamic,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,,,,,unknown,"molecular_formula,formal_net_charge,charge_provenance,protonation_convention"
elRS70SAGGU0002_fMet,elRS70SAGGU0002_fMet,Elongation_Ca1_fMetCAU|Elongation_Ca2_pept0002,complex:bound_state,true,false,0,1,dynamic,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,,,,,unknown,"molecular_formula,formal_net_charge,charge_provenance,protonation_convention"
RS50S,RS50S,Elongation_B|Elongation_Ca1_GlyGCC|Elongation_Ca1_fMetCAU|Elongation_Ca2_pept0002|Elongation_Ca2_pept0003|Initiation_B1|Initiation_C|Termination_A_RF1|Termination_A_RF2|Termination_B_RF1|Termination_B_RF2|Termination_C,macromolecule:ribosomal,false,false,0,1,dynamic,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,,,,,unknown,"molecular_formula,formal_net_charge,charge_provenance,protonation_convention"
RS30S,RS30S,Elongation_B|Elongation_Ca1_GlyGCC|Elongation_Ca1_fMetCAU|Elongation_Ca2_pept0002|Elongation_Ca2_pept0003|Initiation_B1|Initiation_B2|Initiation_C|Termination_A_RF1|Termination_A_RF2|Termination_B_RF1|Termination_B_RF2|Termination_C,macromolecule:ribosomal,false,false,0,1,dynamic,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,,,,,unknown,"molecular_formula,formal_net_charge,charge_provenance,protonation_convention"
mRNA,mRNA,Elongation_Ca1_GlyGCC|Elongation_Ca1_fMetCAU|Elongation_Ca2_pept0002|Elongation_Ca2_pept0003|Initiation_B1|Initiation_B2|Initiation_C|Termination_A_RF1|Termination_A_RF2|Termination_B_RF1|Termination_B_RF2|Termination_C,macromolecule:mRNA,false,false,0.1,1,dynamic,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,unknown,"molecular_formula,formal_net_charge,charge_provenance,protonation_convention"
RS50S_degraded,RS50S_degraded,Elongation_B|Elongation_Ca1_GlyGCC|Elongation_Ca1_fMetCAU|Elongation_Ca2_pept0002|Elongation_Ca2_pept0003|Initiation_B1|Initiation_C|Termination_A_RF1|Termination_A_RF2|Termination_B_RF1|Termination_B_RF2|Termination_C,macromolecule:ribosomal,true,true,0,1,dynamic,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,,,,,unknown,"molecular_formula,formal_net_charge,charge_provenance,protonation_convention"
RS30S_degraded,RS30S_degraded,Elongation_B|Elongation_Ca1_GlyGCC|Elongation_Ca1_fMetCAU|Elongation_Ca2_pept0002|Elongation_Ca2_pept0003|Initiation_B1|Initiation_B2|Initiation_C|Termination_A_RF1|Termination_A_RF2|Termination_B_RF1|Termination_B_RF2|Termination_C,macromolecule:ribosomal,true,true,0,1,dynamic,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,,,,,unknown,"molecular_formula,formal_net_charge,charge_provenance,protonation_convention"
