species_id,sbml_initial_concentration,author_export_initial_value,functional_module,sbml_subsystems,primary_reduction_class,candidate_coarse_variable,conservation_family,scientific_review_class,detected_components,n_peptide,n_tRNA,n_RS30S,n_RS50S,n_ATP,n_ADP,n_AMP,n_GTP,n_GDP,n_GMP,n_PO4,n_PPi,n_CP,n_Cr,contains_ATP,contains_ADP,contains_AMP,contains_GTP,contains_GDP,contains_GMP,contains_PO4,contains_PPi,contains_CP,contains_Cr,reaction_as_reactant_count,reaction_as_product_count,confidence,needs_human_review,reason,rule_used
ADP,1,0,energy_regeneration,EnergyRegeneration_A|EnergyRegeneration_B|EnergyRegeneration_C|SmallMolecules,KEEP_EXPLICIT,,,NONE,ADP,0,0,0,0,0,1,0,0,0,0,0,0,0,0,false,true,false,false,false,false,false,false,false,false,10,17,high,false,free small-molecule energy resource,R02_free_resource
AMP,1,0,energy_regeneration,Aminoacylation_A_Gly|Aminoacylation_A_Met|Aminoacylation_B_GlyGCC|Aminoacylation_B_fMetCAU|EnergyRegeneration_C|SmallMolecules,KEEP_EXPLICIT,,,NONE,AMP,0,0,0,0,0,0,1,0,0,0,0,0,0,0,false,false,true,false,false,false,false,false,false,false,10,15,high,false,free small-molecule energy resource,R02_free_resource
ATP,1,3750,aminoacylation,Aminoacylation_A_Gly|Aminoacylation_A_Met|Aminoacylation_B_GlyGCC|Aminoacylation_B_fMetCAU|EnergyRegeneration_A|EnergyRegeneration_B|EnergyRegeneration_C|SmallMolecules,KEEP_EXPLICIT,,,MODULE_LABEL_CONFLICT_ONLY,ATP,0,0,0,0,1,0,0,0,0,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,16,30,high,false,free small-molecule energy resource; module-label only: name-prior=energy_regeneration vs topology=aminoacylation (species legitimately acts in several modules),R02_free_resource
CK,1,30,energy_regeneration,EnergyRegeneration_A,LUMP_FUNCTIONAL_POOL,CK_active_pool,CK_active_pool,NONE,CK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,5,4,high,false,free energy enzyme; member of <F>_active_pool (enzymes are NOT interchangeable),R14_bare_energy_enzyme
CK_ADP,1,0,energy_regeneration,EnergyRegeneration_A,ENZYME_INTERMEDIATE,,CK_active_pool,NONE,CK + ADP,0,0,0,0,0,1,0,0,0,0,0,0,0,0,false,true,false,false,false,false,false,false,false,false,3,2,high,false,energy-enzyme substrate complex; bound resources + enzyme family recorded,R11_energy_enzyme_complex
CK_ATP,1,0,energy_regeneration,EnergyRegeneration_A,ENZYME_INTERMEDIATE,,CK_active_pool,NONE,CK + ATP,0,0,0,0,1,0,0,0,0,0,0,0,0,0,true,false,false,false,false,false,false,false,false,false,3,2,high,false,energy-enzyme substrate complex; bound resources + enzyme family recorded,R11_energy_enzyme_complex
CK_CP,1,0,energy_regeneration,EnergyRegeneration_A,ENZYME_INTERMEDIATE,,CK_active_pool,NONE,CK + CP,0,0,0,0,0,0,0,0,0,0,0,0,1,0,false,false,false,false,false,false,false,false,true,false,3,2,high,false,energy-enzyme substrate complex; bound resources + enzyme family recorded,R11_energy_enzyme_complex
CK_CP_ADP,1,0,energy_regeneration,EnergyRegeneration_A,ENZYME_INTERMEDIATE,,CK_active_pool,NONE,CK + CP + ADP,0,0,0,0,0,1,0,0,0,0,0,0,1,0,false,true,false,false,false,false,false,false,true,false,4,3,high,false,energy-enzyme substrate complex; bound resources + enzyme family recorded,R11_energy_enzyme_complex
CK_Cr,1,0,energy_regeneration,EnergyRegeneration_A,ENZYME_INTERMEDIATE,,CK_active_pool,NONE,CK + Cr,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false,false,false,false,false,false,false,false,false,true,3,2,high,false,energy-enzyme substrate complex; bound resources + enzyme family recorded,R11_energy_enzyme_complex
CK_Cr_ATP,1,0,energy_regeneration,EnergyRegeneration_A,ENZYME_INTERMEDIATE,,CK_active_pool,NONE,CK + Cr + ATP,0,0,0,0,1,0,0,0,0,0,0,0,0,1,true,false,false,false,false,false,false,false,false,true,4,3,high,false,energy-enzyme substrate complex; bound resources + enzyme family recorded,R11_energy_enzyme_complex
CK_degraded,1,0,degradation,EnergyRegeneration_A,DEGRADED_SINK,,CK_degraded_pool,NONE,CK + degraded,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,0,7,high,false,"explicit _degraded terminal state; tracked in *_degraded_pool, excluded from *_active_pool; conservation candidate is *_family_total",R01_degraded_suffix
CP,1,50000,energy_regeneration,EnergyRegeneration_A,KEEP_EXPLICIT,,,NONE,CP,0,0,0,0,0,0,0,0,0,0,0,0,1,0,false,false,false,false,false,false,false,false,true,false,2,4,high,false,free small-molecule energy resource,R02_free_resource
Cr,1,0,energy_regeneration,EnergyRegeneration_A,KEEP_EXPLICIT,,,NONE,Cr,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false,false,false,false,false,false,false,false,false,true,2,4,high,false,free small-molecule energy resource,R02_free_resource
EFG,1,4.3,ribosome_recycling,Elongation_B|Elongation_Ca2_pept0002|Elongation_Ca2_pept0003|Termination_C,LUMP_FUNCTIONAL_POOL,EFG_active_pool,EFG_active_pool,MODULE_LABEL_CONFLICT_ONLY,EFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,3,41,high,false,free translation factor; member of <F>_active_pool (per-protein; factors are not interchangeable); module-label only: name-prior=translation_elongation vs topology=ribosome_recycling (species legitimately acts in several modules),R17_bare_factor
EFG_GDP,1,0,translation_elongation,Elongation_B|Elongation_Ca2_pept0002|Elongation_Ca2_pept0003|Termination_C,LUMP_FUNCTIONAL_POOL,EFG_active_pool,EFG_active_pool,NONE,EFG + GDP,0,0,0,0,0,0,0,0,1,0,0,0,0,0,false,false,false,false,true,false,false,false,false,false,9,8,medium,false,soluble translation-factor nucleotide state,R18_factor_complex
EFG_GTP,1,0,translation_elongation,Elongation_B|Elongation_Ca2_pept0002|Elongation_Ca2_pept0003|Termination_C,LUMP_FUNCTIONAL_POOL,EFG_active_pool,EFG_active_pool,NONE,EFG + GTP,0,0,0,0,0,0,0,1,0,0,0,0,0,0,false,false,false,true,false,false,false,false,false,false,8,7,medium,false,soluble translation-factor nucleotide state,R18_factor_complex
EFG_degraded,1,0,degradation,Elongation_B|Elongation_Ca2_pept0002|Elongation_Ca2_pept0003|Termination_C,DEGRADED_SINK,,EFG_degraded_pool,NONE,EFG + degraded,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,0,22,high,false,"explicit _degraded terminal state; tracked in *_degraded_pool, excluded from *_active_pool; conservation candidate is *_family_total",R01_degraded_suffix
EFTs,1,13,translation_elongation,Elongation_A_Gly|Elongation_A_Met,LUMP_FUNCTIONAL_POOL,EFTs_active_pool,EFTs_active_pool,NONE,EFTs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,4,6,high,false,free translation factor; member of <F>_active_pool (per-protein; factors are not interchangeable),R17_bare_factor
EFTs_degraded,1,0,degradation,Elongation_A_Gly|Elongation_A_Met,DEGRADED_SINK,,EFTs_degraded_pool,NONE,EFTs + degraded,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,0,4,high,false,"explicit _degraded terminal state; tracked in *_degraded_pool, excluded from *_active_pool; conservation candidate is *_family_total",R01_degraded_suffix
EFTu,1,80,translation_elongation,Elongation_A_Gly|Elongation_A_Met|Elongation_Ca2_pept0002|Elongation_Ca2_pept0003,LUMP_FUNCTIONAL_POOL,EFTu_active_pool,EFTu_active_pool,NONE,EFTu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,4,24,high,false,free translation factor; member of <F>_active_pool (per-protein; factors are not interchangeable),R17_bare_factor
EFTu_EFTs,1,0,translation_elongation,Elongation_A_Gly|Elongation_A_Met,LUMP_FUNCTIONAL_POOL,EFTu_active_pool,EFTu_active_pool;EFTs_active_pool,NONE,EFTu + EFTs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,5,3,medium,false,EF-Tu.EF-Ts exchange complex (tracked in BOTH per-protein totals); also counted in EFTs_active_pool,R18_factor_complex
EFTu_GDP,1,0,translation_elongation,Elongation_A_Gly|Elongation_A_Met|Elongation_Ca2_pept0002|Elongation_Ca2_pept0003,LUMP_FUNCTIONAL_POOL,EFTu_active_pool,EFTu_active_pool,NONE,EFTu + GDP,0,0,0,0,0,0,0,0,1,0,0,0,0,0,false,false,false,false,true,false,false,false,false,false,7,6,medium,false,soluble translation-factor nucleotide state,R18_factor_complex
EFTu_GDP_EFTs,1,0,translation_elongation,Elongation_A_Gly|Elongation_A_Met,LUMP_FUNCTIONAL_POOL,EFTu_active_pool,EFTu_active_pool;EFTs_active_pool,NONE,EFTu + GDP + EFTs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,false,false,false,false,true,false,false,false,false,false,4,2,medium,false,EF-Tu.EF-Ts exchange complex (tracked in BOTH per-protein totals); also counted in EFTs_active_pool,R18_factor_complex
