No.,Name,Value
1,fMettRNAfMetCAU,0
2,tRNAfMetCAU,3.54767184
3,fMet,0
4,elRS70SAGGU0002_fMettRNAfMetCAU,0
5,elRS70SAGGU0002_fMet,0
6,RS50S,0
7,RS30S,0
8,mRNA,0.1
9,RS50S_degraded,0
10,RS30S_degraded,0
11,fMettRNAfMetCAU_degraded,0
12,tRNAfMetCAU_degraded,0
13,fMet_degraded,0
14,mRNA_degraded,0
15,PO4,0
16,EFTu_GTP_GlytRNAGlyGCC,0
17,GlytRNAGlyGCC,0
18,EFG_GTP,0
19,EFG_GDP,0
20,elRS70SAGGU0003_Pept0002tRNAGlyGCC,0
21,Pept0002tRNAGlyGCC,0
22,EFTu,80
23,GTP,2500
24,GDP,0
25,EFTu_GDP,0
26,EFG,4.3
27,EFTu_degraded,0
28,EFG_degraded,0
29,GlytRNAGlyGCC_degraded,0
30,Pept0002tRNAGlyGCC_degraded,0
31,elRS70SAGGU0002_fMet_EFTu_GTP_GlytRNAGlyGCC,0
32,elRS70SAGGU0002_fMet_EFTu_GDP_PO4_GlytRNAGlyGCC,0
33,elRS70SAGGU0002_fMet_EFTu_GDP_GlytRNAGlyGCC,0
34,elRS70SAGGU0002_fMet_EFTu_GDP,0
35,elRS70SAGGU0002_fMet_GlytRNAGlyGCC,0
36,elRS70SBGGU0002_Pept0002tRNAGlyGCC,0
37,elRS70SBGGU0002_Pept0002tRNAGlyGCC_EFG_GTP,0
38,elRS70SBGGU0002_Pept0002tRNAGlyGCC_EFG_GDP_PO4,0
39,elRS70SCGGU0003_Pept0002tRNAGlyGCC_EFG_GDP,0
40,tRNAGlyGCC,3.54767184
41,Pept0002,0
42,elRS70SAGGU0003_Pept0002,0
43,tRNAGlyGCC_degraded,0
44,Pept0002_degraded,0
45,elRS70SAUAA0004_Pept0003tRNAGlyGCC,0
46,Pept0003tRNAGlyGCC,0
47,Pept0003tRNAGlyGCC_degraded,0
48,elRS70SAGGU0003_Pept0002_EFTu_GTP_GlytRNAGlyGCC,0
49,elRS70SAGGU0003_Pept0002_EFTu_GDP_PO4_GlytRNAGlyGCC,0
50,elRS70SAGGU0003_Pept0002_EFTu_GDP_GlytRNAGlyGCC,0
51,elRS70SAGGU0003_Pept0002_EFTu_GDP,0
52,elRS70SAGGU0003_Pept0002_GlytRNAGlyGCC,0
53,elRS70SBGGU0003_Pept0003tRNAGlyGCC,0
54,elRS70SBGGU0003_Pept0003tRNAGlyGCC_EFG_GTP,0
55,elRS70SBGGU0003_Pept0003tRNAGlyGCC_EFG_GDP_PO4,0
56,elRS70SCUAA0004_Pept0003tRNAGlyGCC_EFG_GDP,0
57,AMP,0
58,ATP,3750
59,PPi,0
60,Gly,300
61,GlyRS,0.35
62,GlyRS_Gly_ATP,0
63,GlyRS_Gly,0
64,GlyRS_ATP,0
65,GlyAMP,0
66,GlyRS_GlyAMP_PPi,0
67,GlyRS_GlyAMP,0
68,GlyRS_degraded,0
69,GlyRS_AMP,0
70,Met,300
71,MetRS,0.44
72,MetRS_Met_ATP,0
73,MetRS_Met,0
74,MetRS_ATP,0
75,MetAMP,0
76,MetRS_MetAMP_PPi,0
77,MetRS_MetAMP,0
78,MetRS_degraded,0
79,MetRS_AMP,0
80,GlyRS_GlytRNAGlyGCC,0
81,GlyRS_AMP_GlytRNAGlyGCC,0
82,GlyRS_GlyAMP_tRNAGlyGCC,0
83,GlyRS_tRNAGlyGCC,0
84,GlyRS_Gly_tRNAGlyGCC,0
85,GlyRS_ATP_tRNAGlyGCC,0
86,GlyRS_Gly_ATP_tRNAGlyGCC,0
87,GlyRS_GlyAMP_PPi_tRNAGlyGCC,0
88,MetRS_MettRNAfMetCAU,0
89,MetRS_AMP_MettRNAfMetCAU,0
90,MettRNAfMetCAU,0
91,MetRS_MetAMP_tRNAfMetCAU,0
92,MetRS_tRNAfMetCAU,0
93,MetRS_Met_tRNAfMetCAU,0
94,MetRS_ATP_tRNAfMetCAU,0
95,MetRS_Met_ATP_tRNAfMetCAU,0
96,MetRS_MetAMP_PPi_tRNAfMetCAU,0
97,MettRNAfMetCAU_degraded,0
98,EFTs,13
99,EFTs_degraded,0
100,EFTu_EFTs,0
101,EFTu_GDP_EFTs,0
102,EFTu_GTP,0
103,EFTu_GTP_EFTs,0
104,EFTu_GTP_MettRNAfMetCAU,0
105,RS70S_EFG_GDP,0
106,RS50S_EFG_GDP,0
107,RS70S_EFG_GTP,0
108,RS50S_EFG_GTP,0
109,RS70S,3
110,RS70S_EFG_GDP_PO4,0
