type,id,name,reversible,fast,reactants,products,modifiers,math,notes
STATE_TRANSITION,re0000000001,re0000000001,false,false,elRS70SAGGU0002_fMettRNAfMetCAU,"elRS70SAGGU0002_fMet,tRNAfMetCAU",,k1 * elRS70SAGGU0002_fMettRNAfMetCAU,
STATE_TRANSITION,re0000000002,re0000000002,false,false,"elRS70SAGGU0002_fMet,tRNAfMetCAU",elRS70SAGGU0002_fMettRNAfMetCAU,,k1 * elRS70SAGGU0002_fMet * tRNAfMetCAU,
STATE_TRANSITION,re0000000003,re0000000003,false,false,RS50S,RS50S_degraded,,k1 * RS50S,
STATE_TRANSITION,re0000000004,re0000000004,false,false,RS30S,RS30S_degraded,,k1 * RS30S,
STATE_TRANSITION,re0000000005,re0000000005,false,false,fMettRNAfMetCAU,fMettRNAfMetCAU_degraded,,k1 * fMettRNAfMetCAU,
STATE_TRANSITION,re0000000006,re0000000006,false,false,tRNAfMetCAU,tRNAfMetCAU_degraded,,k1 * tRNAfMetCAU,
STATE_TRANSITION,re0000000007,re0000000007,false,false,fMet,fMet_degraded,,k1 * fMet,
STATE_TRANSITION,re0000000008,re0000000008,false,false,mRNA,mRNA_degraded,,k1 * mRNA,
STATE_TRANSITION,re0000000009,re0000000009,false,false,elRS70SAGGU0002_fMettRNAfMetCAU,"RS50S_degraded,mRNA,RS30S,fMettRNAfMetCAU",,k1 * elRS70SAGGU0002_fMettRNAfMetCAU,
STATE_TRANSITION,re0000000010,re0000000010,false,false,elRS70SAGGU0002_fMettRNAfMetCAU,"RS30S_degraded,RS50S,mRNA,fMettRNAfMetCAU",,k1 * elRS70SAGGU0002_fMettRNAfMetCAU,
STATE_TRANSITION,re0000000011,re0000000011,false,false,elRS70SAGGU0002_fMet,"RS50S_degraded,mRNA,RS30S,fMet",,k1 * elRS70SAGGU0002_fMet,
STATE_TRANSITION,re0000000012,re0000000012,false,false,elRS70SAGGU0002_fMet,"RS30S_degraded,RS50S,mRNA,fMet",,k1 * elRS70SAGGU0002_fMet,
STATE_TRANSITION,re0000000013,re0000000013,false,false,"EFTu_GTP_GlytRNAGlyGCC,elRS70SAGGU0002_fMet",elRS70SAGGU0002_fMet_EFTu_GTP_GlytRNAGlyGCC,,k1 * EFTu_GTP_GlytRNAGlyGCC * elRS70SAGGU0002_fMet,
STATE_TRANSITION,re0000000014,re0000000014,false,false,elRS70SAGGU0002_fMet_EFTu_GTP_GlytRNAGlyGCC,elRS70SAGGU0002_fMet_EFTu_GDP_PO4_GlytRNAGlyGCC,,k1 * elRS70SAGGU0002_fMet_EFTu_GTP_GlytRNAGlyGCC,
STATE_TRANSITION,re0000000015,re0000000015,false,false,elRS70SAGGU0002_fMet_EFTu_GDP_PO4_GlytRNAGlyGCC,elRS70SAGGU0002_fMet_EFTu_GTP_GlytRNAGlyGCC,,k1 * elRS70SAGGU0002_fMet_EFTu_GDP_PO4_GlytRNAGlyGCC,
STATE_TRANSITION,re0000000016,re0000000016,false,false,elRS70SAGGU0002_fMet_EFTu_GDP_PO4_GlytRNAGlyGCC,"PO4,elRS70SAGGU0002_fMet_EFTu_GDP_GlytRNAGlyGCC",,k1 * elRS70SAGGU0002_fMet_EFTu_GDP_PO4_GlytRNAGlyGCC,
STATE_TRANSITION,re0000000017,re0000000017,false,false,elRS70SAGGU0002_fMet_EFTu_GDP_GlytRNAGlyGCC,"EFTu_GDP,elRS70SAGGU0002_fMet_GlytRNAGlyGCC",,k1 * elRS70SAGGU0002_fMet_EFTu_GDP_GlytRNAGlyGCC,
STATE_TRANSITION,re0000000018,re0000000018,false,false,elRS70SAGGU0002_fMet_GlytRNAGlyGCC,elRS70SBGGU0002_Pept0002tRNAGlyGCC,,k1 * elRS70SAGGU0002_fMet_GlytRNAGlyGCC,
STATE_TRANSITION,re0000000019,re0000000019,false,false,"elRS70SBGGU0002_Pept0002tRNAGlyGCC,EFG_GTP",elRS70SBGGU0002_Pept0002tRNAGlyGCC_EFG_GTP,,k1 * elRS70SBGGU0002_Pept0002tRNAGlyGCC * EFG_GTP,
STATE_TRANSITION,re0000000020,re0000000020,false,false,elRS70SBGGU0002_Pept0002tRNAGlyGCC_EFG_GTP,"EFG_GTP,elRS70SBGGU0002_Pept0002tRNAGlyGCC",,k1 * elRS70SBGGU0002_Pept0002tRNAGlyGCC_EFG_GTP,
STATE_TRANSITION,re0000000021,re0000000021,false,false,elRS70SAGGU0002_fMet_EFTu_GTP_GlytRNAGlyGCC,"EFTu_GTP_GlytRNAGlyGCC,elRS70SAGGU0002_fMet",,k1 * elRS70SAGGU0002_fMet_EFTu_GTP_GlytRNAGlyGCC,
STATE_TRANSITION,re0000000022,re0000000022,false,false,elRS70SBGGU0002_Pept0002tRNAGlyGCC_EFG_GTP,elRS70SBGGU0002_Pept0002tRNAGlyGCC_EFG_GDP_PO4,,k1 * elRS70SBGGU0002_Pept0002tRNAGlyGCC_EFG_GTP,
STATE_TRANSITION,re0000000023,re0000000023,false,false,elRS70SBGGU0002_Pept0002tRNAGlyGCC_EFG_GDP_PO4,elRS70SBGGU0002_Pept0002tRNAGlyGCC_EFG_GTP,,k1 * elRS70SBGGU0002_Pept0002tRNAGlyGCC_EFG_GDP_PO4,
STATE_TRANSITION,re0000000024,re0000000024,false,false,elRS70SBGGU0002_Pept0002tRNAGlyGCC_EFG_GDP_PO4,"PO4,elRS70SCGGU0003_Pept0002tRNAGlyGCC_EFG_GDP",,k1 * elRS70SBGGU0002_Pept0002tRNAGlyGCC_EFG_GDP_PO4,
STATE_TRANSITION,re0000000025,re0000000025,false,false,elRS70SCGGU0003_Pept0002tRNAGlyGCC_EFG_GDP,"elRS70SAGGU0003_Pept0002tRNAGlyGCC,EFG_GDP",,k1 * elRS70SCGGU0003_Pept0002tRNAGlyGCC_EFG_GDP,
STATE_TRANSITION,re0000000026,re0000000026,false,false,elRS70SAGGU0002_fMet_EFTu_GDP_GlytRNAGlyGCC,"elRS70SAGGU0002_fMet_EFTu_GDP,GlytRNAGlyGCC",,k1 * elRS70SAGGU0002_fMet_EFTu_GDP_GlytRNAGlyGCC,
STATE_TRANSITION,re0000000027,re0000000027,false,false,elRS70SAGGU0002_fMet_GlytRNAGlyGCC,"elRS70SAGGU0002_fMet,GlytRNAGlyGCC",,k1 * elRS70SAGGU0002_fMet_GlytRNAGlyGCC,
STATE_TRANSITION,re0000000028,re0000000028,false,false,elRS70SAGGU0002_fMet_EFTu_GDP,"elRS70SAGGU0002_fMet,EFTu_GDP",,k1 * elRS70SAGGU0002_fMet_EFTu_GDP,
STATE_TRANSITION,re0000000029,re0000000029,false,false,EFTu,EFTu_degraded,,k1 * EFTu,
STATE_TRANSITION,re0000000030,re0000000030,false,false,EFG,EFG_degraded,,k1 * EFG,
STATE_TRANSITION,re0000000031,re0000000031,false,false,GlytRNAGlyGCC,GlytRNAGlyGCC_degraded,,k1 * GlytRNAGlyGCC,
STATE_TRANSITION,re0000000032,re0000000032,false,false,Pept0002tRNAGlyGCC,Pept0002tRNAGlyGCC_degraded,,k1 * Pept0002tRNAGlyGCC,
STATE_TRANSITION,re0000000033,re0000000033,false,false,elRS70SAGGU0002_fMet_EFTu_GTP_GlytRNAGlyGCC,"RS50S_degraded,mRNA,RS30S,fMet,GlytRNAGlyGCC,EFTu,GTP",,k1 * elRS70SAGGU0002_fMet_EFTu_GTP_GlytRNAGlyGCC,
STATE_TRANSITION,re0000000034,re0000000034,false,false,elRS70SAGGU0002_fMet_EFTu_GTP_GlytRNAGlyGCC,"RS30S_degraded,RS50S,mRNA,fMet,GlytRNAGlyGCC,EFTu,GTP",,k1 * elRS70SAGGU0002_fMet_EFTu_GTP_GlytRNAGlyGCC,
STATE_TRANSITION,re0000000035,re0000000035,false,false,elRS70SAGGU0002_fMet_EFTu_GTP_GlytRNAGlyGCC,"EFTu_degraded,fMet,GlytRNAGlyGCC,mRNA,RS30S,RS50S,GTP",,k1 * elRS70SAGGU0002_fMet_EFTu_GTP_GlytRNAGlyGCC,
STATE_TRANSITION,re0000000036,re0000000036,false,false,elRS70SAGGU0002_fMet_EFTu_GDP_PO4_GlytRNAGlyGCC,"RS50S_degraded,mRNA,RS30S,fMet,GlytRNAGlyGCC,EFTu,GDP,PO4",,k1 * elRS70SAGGU0002_fMet_EFTu_GDP_PO4_GlytRNAGlyGCC,
STATE_TRANSITION,re0000000037,re0000000037,false,false,elRS70SAGGU0002_fMet_EFTu_GDP_PO4_GlytRNAGlyGCC,"RS30S_degraded,RS50S,mRNA,fMet,GlytRNAGlyGCC,EFTu,GDP,PO4",,k1 * elRS70SAGGU0002_fMet_EFTu_GDP_PO4_GlytRNAGlyGCC,
STATE_TRANSITION,re0000000038,re0000000038,false,false,elRS70SAGGU0002_fMet_EFTu_GDP_PO4_GlytRNAGlyGCC,"EFTu_degraded,fMet,GlytRNAGlyGCC,mRNA,RS30S,RS50S,GDP,PO4",,k1 * elRS70SAGGU0002_fMet_EFTu_GDP_PO4_GlytRNAGlyGCC,
STATE_TRANSITION,re0000000039,re0000000039,false,false,elRS70SAGGU0002_fMet_EFTu_GDP_GlytRNAGlyGCC,"RS50S_degraded,mRNA,RS30S,fMet,GlytRNAGlyGCC,EFTu,GDP",,k1 * elRS70SAGGU0002_fMet_EFTu_GDP_GlytRNAGlyGCC,
STATE_TRANSITION,re0000000040,re0000000040,false,false,elRS70SAGGU0002_fMet_EFTu_GDP_GlytRNAGlyGCC,"RS30S_degraded,RS50S,mRNA,fMet,GlytRNAGlyGCC,EFTu,GDP",,k1 * elRS70SAGGU0002_fMet_EFTu_GDP_GlytRNAGlyGCC,
STATE_TRANSITION,re0000000041,re0000000041,false,false,elRS70SAGGU0002_fMet_EFTu_GDP_GlytRNAGlyGCC,"EFTu_degraded,fMet,GlytRNAGlyGCC,mRNA,RS30S,RS50S,GDP",,k1 * elRS70SAGGU0002_fMet_EFTu_GDP_GlytRNAGlyGCC,
STATE_TRANSITION,re0000000042,re0000000042,false,false,elRS70SAGGU0002_fMet_EFTu_GDP,"RS50S_degraded,mRNA,RS30S,fMet,EFTu,GDP",,k1 * elRS70SAGGU0002_fMet_EFTu_GDP,
STATE_TRANSITION,re0000000043,re0000000043,false,false,elRS70SAGGU0002_fMet_EFTu_GDP,"RS30S_degraded,RS50S,mRNA,fMet,EFTu,GDP",,k1 * elRS70SAGGU0002_fMet_EFTu_GDP,
STATE_TRANSITION,re0000000044,re0000000044,false,false,elRS70SAGGU0002_fMet_EFTu_GDP,"EFTu_degraded,fMet,mRNA,RS30S,RS50S,GDP",,k1 * elRS70SAGGU0002_fMet_EFTu_GDP,
STATE_TRANSITION,re0000000045,re0000000045,false,false,elRS70SAGGU0002_fMet_GlytRNAGlyGCC,"RS50S_degraded,mRNA,RS30S,fMet,GlytRNAGlyGCC",,k1 * elRS70SAGGU0002_fMet_GlytRNAGlyGCC,
STATE_TRANSITION,re0000000046,re0000000046,false,false,elRS70SAGGU0002_fMet_GlytRNAGlyGCC,"RS30S_degraded,RS50S,mRNA,fMet,GlytRNAGlyGCC",,k1 * elRS70SAGGU0002_fMet_GlytRNAGlyGCC,
STATE_TRANSITION,re0000000047,re0000000047,false,false,elRS70SBGGU0002_Pept0002tRNAGlyGCC,"RS50S_degraded,mRNA,RS30S,Pept0002tRNAGlyGCC",,k1 * elRS70SBGGU0002_Pept0002tRNAGlyGCC,
STATE_TRANSITION,re0000000048,re0000000048,false,false,elRS70SBGGU0002_Pept0002tRNAGlyGCC,"RS30S_degraded,RS50S,mRNA,Pept0002tRNAGlyGCC",,k1 * elRS70SBGGU0002_Pept0002tRNAGlyGCC,
STATE_TRANSITION,re0000000049,re0000000049,false,false,elRS70SBGGU0002_Pept0002tRNAGlyGCC_EFG_GTP,"RS50S_degraded,mRNA,RS30S,Pept0002tRNAGlyGCC,EFG,GTP",,k1 * elRS70SBGGU0002_Pept0002tRNAGlyGCC_EFG_GTP,
STATE_TRANSITION,re0000000050,re0000000050,false,false,elRS70SBGGU0002_Pept0002tRNAGlyGCC_EFG_GTP,"RS30S_degraded,RS50S,mRNA,Pept0002tRNAGlyGCC,EFG,GTP",,k1 * elRS70SBGGU0002_Pept0002tRNAGlyGCC_EFG_GTP,
STATE_TRANSITION,re0000000051,re0000000051,false,false,elRS70SBGGU0002_Pept0002tRNAGlyGCC_EFG_GTP,"EFG_degraded,GTP,RS50S,RS30S,mRNA,Pept0002tRNAGlyGCC",,k1 * elRS70SBGGU0002_Pept0002tRNAGlyGCC_EFG_GTP,
STATE_TRANSITION,re0000000052,re0000000052,false,false,elRS70SCGGU0003_Pept0002tRNAGlyGCC_EFG_GDP,"RS50S_degraded,mRNA,RS30S,Pept0002tRNAGlyGCC,EFG,GDP",,k1 * elRS70SCGGU0003_Pept0002tRNAGlyGCC_EFG_GDP,
STATE_TRANSITION,re0000000053,re0000000053,false,false,elRS70SCGGU0003_Pept0002tRNAGlyGCC_EFG_GDP,"RS30S_degraded,RS50S,mRNA,Pept0002tRNAGlyGCC,EFG,GDP",,k1 * elRS70SCGGU0003_Pept0002tRNAGlyGCC_EFG_GDP,
STATE_TRANSITION,re0000000054,re0000000054,false,false,elRS70SCGGU0003_Pept0002tRNAGlyGCC_EFG_GDP,"EFG_degraded,GDP,RS50S,RS30S,mRNA,Pept0002tRNAGlyGCC",,k1 * elRS70SCGGU0003_Pept0002tRNAGlyGCC_EFG_GDP,
STATE_TRANSITION,re0000000055,re0000000055,false,false,elRS70SBGGU0002_Pept0002tRNAGlyGCC_EFG_GDP_PO4,"RS50S_degraded,mRNA,RS30S,Pept0002tRNAGlyGCC,EFG,GDP,PO4",,k1 * elRS70SBGGU0002_Pept0002tRNAGlyGCC_EFG_GDP_PO4,
STATE_TRANSITION,re0000000056,re0000000056,false,false,elRS70SBGGU0002_Pept0002tRNAGlyGCC_EFG_GDP_PO4,"RS30S_degraded,RS50S,mRNA,Pept0002tRNAGlyGCC,EFG,GDP,PO4",,k1 * elRS70SBGGU0002_Pept0002tRNAGlyGCC_EFG_GDP_PO4,
STATE_TRANSITION,re0000000057,re0000000057,false,false,elRS70SBGGU0002_Pept0002tRNAGlyGCC_EFG_GDP_PO4,"EFG_degraded,GDP,RS50S,RS30S,mRNA,Pept0002tRNAGlyGCC,PO4",,k1 * elRS70SBGGU0002_Pept0002tRNAGlyGCC_EFG_GDP_PO4,
STATE_TRANSITION,re0000000058,re0000000058,false,false,elRS70SAGGU0003_Pept0002tRNAGlyGCC,"RS50S_degraded,mRNA,RS30S,Pept0002tRNAGlyGCC",,k1 * elRS70SAGGU0003_Pept0002tRNAGlyGCC,
STATE_TRANSITION,re0000000059,re0000000059,false,false,elRS70SAGGU0003_Pept0002tRNAGlyGCC,"RS30S_degraded,RS50S,mRNA,Pept0002tRNAGlyGCC",,k1 * elRS70SAGGU0003_Pept0002tRNAGlyGCC,
STATE_TRANSITION,re0000000060,re0000000060,false,false,"elRS70SAGGU0002_fMet_EFTu_GDP_GlytRNAGlyGCC,PO4",elRS70SAGGU0002_fMet_EFTu_GDP_PO4_GlytRNAGlyGCC,,k1 * elRS70SAGGU0002_fMet_EFTu_GDP_GlytRNAGlyGCC * PO4,
STATE_TRANSITION,re0000000061,re0000000061,false,false,"EFTu_GDP,elRS70SAGGU0002_fMet_GlytRNAGlyGCC",elRS70SAGGU0002_fMet_EFTu_GDP_GlytRNAGlyGCC,,k1 * EFTu_GDP * elRS70SAGGU0002_fMet_GlytRNAGlyGCC,
STATE_TRANSITION,re0000000062,re0000000062,false,false,elRS70SBGGU0002_Pept0002tRNAGlyGCC,elRS70SAGGU0002_fMet_GlytRNAGlyGCC,,k1 * elRS70SBGGU0002_Pept0002tRNAGlyGCC,
STATE_TRANSITION,re0000000063,re0000000063,false,false,"elRS70SAGGU0002_fMet_EFTu_GDP,GlytRNAGlyGCC",elRS70SAGGU0002_fMet_EFTu_GDP_GlytRNAGlyGCC,,k1 * elRS70SAGGU0002_fMet_EFTu_GDP * GlytRNAGlyGCC,
STATE_TRANSITION,re0000000064,re0000000064,false,false,"elRS70SAGGU0002_fMet,GlytRNAGlyGCC",elRS70SAGGU0002_fMet_GlytRNAGlyGCC,,k1 * elRS70SAGGU0002_fMet * GlytRNAGlyGCC,
STATE_TRANSITION,re0000000065,re0000000065,false,false,"elRS70SAGGU0002_fMet,EFTu_GDP",elRS70SAGGU0002_fMet_EFTu_GDP,,k1 * elRS70SAGGU0002_fMet * EFTu_GDP,
STATE_TRANSITION,re0000000066,re0000000066,false,false,"PO4,elRS70SCGGU0003_Pept0002tRNAGlyGCC_EFG_GDP",elRS70SBGGU0002_Pept0002tRNAGlyGCC_EFG_GDP_PO4,,k1 * PO4 * elRS70SCGGU0003_Pept0002tRNAGlyGCC_EFG_GDP,
STATE_TRANSITION,re0000000067,re0000000067,false,false,"elRS70SAGGU0003_Pept0002tRNAGlyGCC,EFG_GDP",elRS70SCGGU0003_Pept0002tRNAGlyGCC_EFG_GDP,,k1 * elRS70SAGGU0003_Pept0002tRNAGlyGCC * EFG_GDP,
STATE_TRANSITION,re0000000068,re0000000068,false,false,elRS70SAGGU0003_Pept0002tRNAGlyGCC,"elRS70SAGGU0003_Pept0002,tRNAGlyGCC",,k1 * elRS70SAGGU0003_Pept0002tRNAGlyGCC,
STATE_TRANSITION,re0000000069,re0000000069,false,false,"elRS70SAGGU0003_Pept0002,tRNAGlyGCC",elRS70SAGGU0003_Pept0002tRNAGlyGCC,,k1 * elRS70SAGGU0003_Pept0002 * tRNAGlyGCC,
STATE_TRANSITION,re0000000070,re0000000070,false,false,tRNAGlyGCC,tRNAGlyGCC_degraded,,k1 * tRNAGlyGCC,
STATE_TRANSITION,re0000000071,re0000000071,false,false,Pept0002,Pept0002_degraded,,k1 * Pept0002,
STATE_TRANSITION,re0000000072,re0000000072,false,false,elRS70SAGGU0003_Pept0002,"RS50S_degraded,mRNA,RS30S,Pept0002",,k1 * elRS70SAGGU0003_Pept0002,
STATE_TRANSITION,re0000000073,re0000000073,false,false,elRS70SAGGU0003_Pept0002,"RS30S_degraded,RS50S,mRNA,Pept0002",,k1 * elRS70SAGGU0003_Pept0002,
