time_s,V_TX_uM_s,V_nt_deg_uM_s,V_RS_uM_s,V_TL_uM_s,V_TL_deg_uM_s,V_EN_uM_s,D_nt_uM,D_TLcat_uM
0,0.040227659172492,0,0.700722753424377,0,0.0004092,0,0,0
10,0.0402264490284479,3.18470906688106e-05,0.69233716553887,1.10841088121856e-05,0.000408439595395507,0.580009540952794,0.000159257232262848,0.00408819679835046
20,0.0402261373170877,6.36684684815202e-05,0.682804775823367,4.24630372072041e-05,0.000407680603829045,0.666530992654577,0.000636856230204945,0.00816879661803637
30,0.0402259846003652,9.54644864316086e-05,0.671847312947486,9.15811215359939e-05,0.000406923022674807,0.674315665503441,0.00143254208990388,0.0122418135763049
40,0.0402258645538708,0.000127235226988092,0.659145313958455,0.000156166953711976,0.000406166849311865,0.666149103303055,0.00254606170473139,0.0163072617641696
50,0.0402257539364287,0.000158980724313166,0.644297054677777,0.000234173373135291,0.000405412081124159,0.653338906500839,0.00397716248624497,0.0203651552464591
60,0.0402256490522792,0.000190701003901332,0.62678966001327,0.000323723568782295,0.000404658715500493,0.637657037343809,0.00572559213193026,0.0244155080618657
70,0.0402255501436388,0.000222396090243291,0.605967997592689,0.000423060043499745,0.000403906749834523,0.618947577277817,0.00779109858670381,0.0284583342229941
80,0.0402254584465905,0.000254066008466402,0.581002786288929,0.000530493794595736,0.000403156181524748,0.596549967712723,0.0101734300429368,0.0324936477164096
90,0.0402253756556835,0.000285710784850959,0.550869496459638,0.000644351764620722,0.0004024070079745,0.569548536641383,0.0128723349497403,0.0365214625026869
100,0.0402253037969505,0.000317330447136444,0.514368471404511,0.000762922514543172,0.000401659226591939,0.536819141678332,0.0158875620261053,0.040541792516458
110,0.0402252450412681,0.000348925024721079,0.47025247497373,0.000884404996022388,0.000400912834790039,0.497102433711455,0.0192188602766138,0.0445546516664607
120,0.040225201215768,0.000380494548609746,0.417579454710994,0.00100687625548408,0.000400167829986581,0.449231857475836,0.0228659790080851,0.0485600538355864
130,0.0402251727734498,0.00041203905077503,0.35642744915798,0.00112831320973643,0.000399424209604148,0.392661582199685,0.0268286678431259,0.0525580128809285
140,0.0402251571636845,0.000443558562453599,0.288929324159653,0.0012467236195749,0.000398681971070108,0.328373025951813,0.0311066767223708,0.0565485426338301
150,0.0402251473022502,0.000475053111107667,0.219993832873615,0.00136042604199697,0.000397941111816613,0.259849256460986,0.0356997558829594,0.0605316568999319
160,0.0402251319726855,0.000506522716799066,0.156462484271385,0.00146841272196172,0.000397201629280586,0.193107462273004,0.0406076558024156,0.06450736945922
170,0.0402250995646795,0.000537967390197535,0.104323392724653,0.00157057284326554,0.000396463520903711,0.134807082419231,0.0458301271121931,0.0684756940660736
180,0.0402250431180115,0.000569387134334508,0.0660502527087529,0.00166757002803326,0.000395726784132429,0.0893176805186982,0.0513669205091395,0.0724366444493124
190,0.0402249623686269,0.000600781949398955,0.0404368281344368,0.00176044803666018,0.000394991416417923,0.057253224806242,0.0572177867017319,0.0763902343122442
200,0.0402248617090336,0.000632151837432843,0.0244206161476587,0.00185024476985207,0.000394257415216116,0.0364155516973997,0.0633824764065178,0.0803364773327125
210,0.0402247468825256,0.000663496804683067,0.0148552351630814,0.00193779014827963,0.000393524777987656,0.0236623050350913,0.0698607403806164,0.0842753871631437
220,0.0402246228643206,0.000694816861719058,0.0093129467280319,0.00202367012303192,0.00039279350219791,0.0161888980570396,0.0766523294657555,0.0882069774305941
230,0.040224493218905,0.000726112022489525,0.00616941948954018,0.00210826947779737,0.000392063585316956,0.0119573774090353,0.0837569946271953,0.0921312617367974
