time_s,time_h,NTP_uM,NXP_uM,nt_uM,A_uM,T_uM,AT_uM,a_uM,CP_uM,C_uM,TLcat_uM,D_nt_uM,D_TLcat_uM,mRNA_molecules_uM,protein_molecules_uM
0,0,1500,0,0,300,1.9,0,0,20000,0,2.2,0,0,0,0
10,0.00277777777777778,1499.10931164912,3.1604844156361,0.4021097306668,299.651693333807,1.74856313112616,0.151436868873844,3.73556632126693e-05,19996.1942763836,3.8057236164084,2.19591180320165,0.000159257232262848,0.00408819679835046,0.000563178894491317,1.56956568120459e-07
20,0.00555555555555556,1498.88004895857,3.6752725054091,0.803894804059599,299.307854336445,1.59907339176562,0.300926608234379,0.000289292309131792,19989.8317806619,10.1682193381067,2.19183120338196,0.000636856230204945,0.00816879661803637,0.00112590308691821,1.21551390391509e-06
30,0.00833333333333333,1498.76775060173,3.72220537383484,1.20535967716678,298.969125796651,1.45181438366347,0.448185616336533,0.000945715483667693,19983.1028298941,16.8971701058549,2.1877581864237,0.00143254208990388,0.0122418135763049,0.00168817881956131,3.97359446919199e-06
40,0.0111111111111111,1498.67948710725,3.67300011804394,1.60650539126379,298.636297319541,1.30713301825862,0.592866981741384,0.00217244906055539,19976.3946016321,23.6053983678339,2.18369273823583,0.00254606170473139,0.0163072617641696,0.00225000755078962,9.12793722922434e-06
50,0.0138888888888889,1498.59816500546,3.59603043799082,2.00733237769149,298.310337577642,1.16545359399614,0.734546406003864,0.0041137709579481,19969.7945544698,30.2054455301847,2.17963484475354,0.00397716248624497,0.0203651552464591,0.00281138988472198,1.72847519241517e-05
60,0.0166666666666667,1498.52106555905,3.50217121333351,2.40784095835015,297.992442665176,1.02729886274042,0.872701137259583,0.00689438252150458,19963.3372357721,36.6627642278419,2.17558449193813,0.00572559213193026,0.0244155080618657,0.00337232627219909,2.89679937878344e-05
70,0.0194444444444444,1498.44836555808,3.39071522663581,2.8080314424658,297.684099322762,0.893317550236526,1.00668244976348,0.0106208556255032,19957.0514599904,42.948540009624,2.17154166577701,0.00779109858670381,0.0284583342229941,0.00393281714631064,4.46254438046353e-05
80,0.0222222222222222,1498.38097221566,3.25803356000878,3.20790414730306,297.387164150654,0.764318817078405,1.1356811829216,0.0153825725007497,19950.9705514483,49.0294485517017,2.16750635228359,0.0101734300429368,0.0324936477164096,0.00449286295140485,6.46326575661751e-05
90,0.025,1498.32012944317,3.09915048768944,3.60745940468382,297.103956843735,0.641312804881797,1.25868719511821,0.0212521498402365,19945.1357830852,54.8642169147851,2.16347853749731,0.0128723349497403,0.0365214625026869,0.00505246415221824,8.92947472278844e-05
100,0.0277777777777778,1498.26732449272,2.90811690222425,4.00669756485409,296.837355532362,0.525552086401469,1.37444791359853,0.0282853272021571,19939.5986569204,60.4013430795394,2.15945820748354,0.0158875620261053,0.040541792516458,0.00561162123929144,0.000118845912614106
110,0.0305555555555556,1498.22415086449,2.67855868277339,4.40561899900353,296.590858974418,0.418558691488741,1.48144130851126,0.0365203201047787,19934.4226975588,65.5773024411436,2.15544534833354,0.0192188602766138,0.0445546516664607,0.00617033473249794,0.000153446723129322
120,0.0333333333333333,1498.19194946015,2.40511208180059,4.8042240986079,296.368534617428,0.322101501830508,1.57789849816949,0.0459767356266951,19929.683850989,70.31614901098,2.15143994616442,0.0228659790080851,0.0485600538355864,0.00672860518012312,0.000193179561456702
