time_s,V_TX_uM_s,V_nt_deg_uM_s,V_RS_uM_s,V_TL_uM_s,V_TL_deg_uM_s,V_EN_uM_s,D_nt_uM,D_TLcat_uM
0,0.0913645140527784,0,0.700722753424377,0,0.0004092,0,0,0
10,0.091361370818943,7.23305242622537e-05,0.692330319708363,2.51170154971625e-05,0.000408439595395507,0.580016964263764,0.000361702345755329,0.00408819679835047
20,0.0913602676315146,0.000144602337214057,0.682791801277074,9.60051272188432e-05,0.000407680603829045,0.666583703852651,0.001446415067809,0.00816879661803637
30,0.0913595252233113,0.000216816240530389,0.671829640667975,0.000206589366824725,0.000406923022674807,0.674459611435219,0.00325355610535391,0.0122418135763049
40,0.0913588566934762,0.000288972421504262,0.65912545053292,0.000351490030973927,0.000406166849311864,0.666427397449183,0.00578254747940394,0.0163072617641696
50,0.0913582092720745,0.00036107095772249,0.644279148822245,0.000525880539741586,0.000405412081124159,0.653790515896636,0.0090328123878053,0.0203651552464591
60,0.0913575745855728,0.000433111907100502,0.626780384961719,0.000725360703532779,0.000404658715500493,0.638317722673039,0.0130037746778509,0.0244155080618657
70,0.0913569532029786,0.000505095325289669,0.605977918801887,0.000945838016490674,0.000403906749834523,0.619851429855583,0.0176948587590017,0.0284583342229941
80,0.0913563479459411,0.000577021269400606,0.581048446372828,0.00118341105521855,0.000403156181524748,0.597731457540687,0.0231054896030878,0.0324936477164096
90,0.0913557626702122,0.000648889799171062,0.550976468096244,0.00143425072586605,0.0004024070079745,0.571045296098953,0.0292350927655083,0.0365214625026869
100,0.0913552019745941,0.000720700977654755,0.514575440117258,0.00169447939112962,0.000401659226591939,0.538675670838016,0.0360830944151289,0.040541792516458
110,0.0913546707755516,0.000792454871666048,0.470615596836081,0.00196005875460188,0.000400912834790038,0.49937445177353,0.0436489213699416,0.0445546516664607
120,0.0913541732020553,0.000864151551653839,0.418174026605295,0.00222672113503081,0.000400167829986581,0.451989548910348,0.0519320011347631,0.0485600538355864
130,0.0913537102759951,0.000935791090251709,0.357339987536666,0.00249002002341401,0.000399424209604147,0.395986790796082,0.0609317619318581,0.0525580128809285
140,0.0913532762569523,0.00100737355843612,0.290231026604885,0.00274561736339868,0.000398681971070107,0.33234183407691,0.0706476327060025,0.0565485426338301
150,0.0913528552172672,0.00107889901869384,0.221697747194876,0.00298988930311134,0.000397941111816612,0.264495394842895,0.0810790430760534,0.0605316568999319
160,0.0913524219291863,0.00115036751687177,0.158496414058728,0.00322070334582272,0.000397201629280585,0.198384616935406,0.0922254232087563,0.0645073694592199
170,0.0913519502035108,0.00122177907766712,0.106557927182002,0.00343788712924455,0.00039646352090371,0.140591162586512,0.104086203624239,0.0684756940660734
180,0.0913514241971423,0.00129313370849074,0.068364971641786,0.00364295012133334,0.000395726784132428,0.0954616118447208,0.116660814996247,0.0724366444493121
190,0.0913508430991191,0.00136443141019067,0.0427634966753352,0.00383822193283614,0.000394991416417922,0.0636470284893582,0.129948688029779,0.0763902343122439
200,0.0913502166618624,0.00143567218764043,0.0267412804504232,0.00402601193625313,0.000394257415216115,0.0430063300585203,0.143949253451444,0.0803364773327123
210,0.0913495577970709,0.0015068560551196,0.0171799830666335,0.00420816926186178,0.000393524777987655,0.0304396967715997,0.158661942081572,0.0842753871631436
220,0.0913488777643,0.00157798303665882,0.0116609447016417,0.00438600483452101,0.000392793502197909,0.0231628818419206,0.174086184933182,0.088206977430594
230,0.0913481846710035,0.00164905316395527,0.00855910262036852,0.00456038565038149,0.000392063585316955,0.0191430639138331,0.190221413300034,0.0921312617367972
240,0.0913474837722037,0.00172006647392301,0.00686477241774052,0.00473186449868819,0.000391335024819572,0.0170532021689283,0.207067058820838,0.0960482536582111
250,0.091346778274838,0.00179102300674225,0.00597738701013302,0.00490078882741285,0.000390607818185231,0.0160804457276706,0.224622553521123,0.0999579667460648
260,0.0913460700691191,0.00186192280453754,0.00554834059030655,0.00506737766508455,0.000389881962898088,0.0157447891110569,0.242887329838816,0.103860414526406
270,0.0913453602471449,0.00193276591055327,0.00537802425610856,0.00523177169209651,0.000389157456446972,0.0157686591947533,0.261860820639209,0.107755610500146
280,0.0913446494327374,0.00200355236866204,0.00535300940282898,0.00539406444461445,0.000388434296325381,0.015993449623184,0.281542459223489,0.11164356814311
290,0.0913439379799179,0.00207428222307891,0.00540911140499318,0.00555432128990475,0.000387712480031469,0.0163291463522446,0.301931679333458,0.115524300906079
300,0.0913432260888296,0.00214495551819757,0.00551009636505781,0.00571259080067231,0.000386992005068039,0.0167248643389225,0.323027915154064,0.11939782221484
310,0.0913425138723452,0.00221557229849721,0.00563553743479719,0.0058689115136554,0.000386272868942536,0.0171519085430507,0.344830601314676,0.123264145470232
320,0.091341801393995,0.0022861326084898,0.00577392980573699,0.00602331592348041,0.000385555069167036,0.017594127206138,0.367339172889651,0.127123284048191
330,0.0913410886894573,0.00235663649269028,0.00591879956565182,0.00617583283450457,0.000384838603258238,0.0180424465776134,0.3905530653985,0.130975251299795
340,0.0913403757787021,0.00242708399559978,0.00606650824863422,0.00632648874287535,0.000384123468737455,0.0184917833031344,0.414471714805822,0.134820060551315
350,0.0913396626728443,0.00249747516169617,0.00621501516850697,0.00647530864802241,0.000383409663130608,0.0189393026661369,0.439094557521122,0.138657725104257
360,0.0913389493780076,0.00256781003542875,0.00636317993315659,0.00662231652942686,0.000382697183968214,0.0193834367332004,0.464421030398537,0.142488258235408
370,0.0913382358975035,0.00263808866121527,0.00651036943660769,0.00676753562741397,0.000381986028785379,0.019823331066341,0.490450570736547,0.146311673196886
380,0.0913375222330591,0.00270831108344022,0.00665623638686492,0.00691098860942472,0.00038127619512179,0.0202585329381021,0.517182616277642,0.150127983216179
390,0.0913368083855093,0.00277847734645396,0.00680059449666012,0.00705269766941947,0.000380567680521707,0.0206888156471122,0.544616605207985,0.153937201496199
400,0.0913360943551877,0.00284858749457217,0.00694334812601674,0.0071926845882894,0.00037986048253395,0.0211140794958415,0.572751976157073,0.157739341215321
410,0.0913353801421461,0.00291864157207558,0.00708445262827396,0.00733097077150942,0.000379154598711898,0.0215342959934952,0.601588168197383,0.16153441552743
420,0.0913346657462788,0.00298863962320985,0.00722389197651666,0.00746757727353441,0.000378450026613473,0.021949476383266,0.631124620844025,0.165322437561971
430,0.0913339511673929,0.00305858169218549,0.00736166616398998,0.007602524814411,0.000377746763801138,0.0223596539245111,0.661360774054389,0.169103420423986
440,0.0913332364052474,0.00312846782317783,0.00749778408226654,0.0077358337918539,0.000377044807841884,0.0227648738843607,0.692296068227795,0.17287737719417
450,0.0913325214595756,0.00319829806032702,0.00763225951621687,0.00786752429061152,0.000376344156307223,0.0231651879143719,0.723929944205139,0.176644320928905
460,0.0913318063300976,0.00326807244773804,0.0077651088827507,0.00799761609022436,0.000375644806773181,0.0235606508779821,0.756261843268545,0.180404264660316
470,0.0913310910165274,0.00333779102948077,0.00789634995154164,0.00812612867180436,0.000374946756820287,0.02395131906415,0.78929120714101,0.184157221396306
480,0.0913303755185771,0.00340745384958992,0.00802600113410705,0.00825308122418205,0.000374250004033567,0.0243372491914369,0.823017477986053,0.187903204120608
490,0.0913296598359584,0.00347706095206515,0.00815408107915244,0.00837849264965543,0.000373554546002534,0.0247184978554859,0.857440098407366,0.191642225792829
500,0.0913289439683847,0.00354661238087103,0.00828060844547572,0.00850238156945605,0.00037286038032118,0.025095121210164,0.892558511448461,0.195374299348491
510,0.0913282279155713,0.00361610817993712,0.00840560177828207,0.00862476632900134,0.000372167504587971,0.0254671747953174,0.928372160592324,0.199099437699079
520,0.0913275116772356,0.00368554839315796,0.00852907944203006,0.00874566500298014,0.000371475916405831,0.0258347134887613,0.964880489761057,0.202817653732087
530,0.0913267952530976,0.00375493306439313,0.00865105958261652,0.0088650954003008,0.000370785613382143,0.0261977914168484,1.00208294331554,0.206528960311057
540,0.09132607864288,0.00382426223746726,0.00877156010721312,0.00898307506891545,0.000370096593128732,0.0265564619407577,1.03997896605503,0.210233370275633
550,0.0913253618463081,0.00389353595617006,0.00889059867933,0.00909962130052408,0.000369408853261863,0.0269107776775121,1.0785680032169,0.213930896441596
560,0.0913246448631096,0.00396275426425638,0.00900819271428763,0.00921475113517825,0.000368722391402231,0.0272607904876841,1.11784950047627,0.217621551600908
570,0.0913239276930151,0.00403191720544618,0.0091243593784224,0.00932848136578243,0.000368037205174952,0.027606551484574,1.15782290394561,0.221305348521761
580,0.0913232103357574,0.00410102482342461,0.00923911559174318,0.00944082854249546,0.000367353292209556,0.0279481110446188,1.1984876601744,0.224982299948624
590,0.0913224927910721,0.00417007716184204,0.0093524780318292,0.00955180897703697,0.000366670650139975,0.0282855188194646,1.23984321614881,0.228652418602282
600,0.091321775058697,0.00423907426431406,0.00946446313728167,0.00966143874690319,0.000365989276604542,0.0286188237472697,1.28188901929135,0.232315717179879
610,0.0913210571383726,0.00430801617442151,0.00957508711157678,0.00976973369949334,0.000365309169245976,0.0289480740658523,1.3246245174605,0.235972208354968
620,0.0913203390298416,0.00437690293571056,0.0096843659264823,0.00987670945614979,0.000364630325711376,0.029273317323069,1.36804915895037,0.239621904777548
630,0.0913196207328491,0.00444573459169266,0.00979231532609583,0.00998238141611278,0.000363952743652215,0.0295946003895485,1.41216239249036,0.243264819074114
640,0.0913189022471425,0.00451451118584465,0.00989895083070097,0.0100867647603927,0.000363276420724328,0.0299119694697349,1.4569636672448,0.246900963847695
650,0.0913181835724715,0.00458323276160873,0.0100042877408046,0.0101898744555614,0.00036260135458791,0.0302254701139004,1.50245243281263,0.250530351677903
660,0.091317464708588,0.0046518993623925,0.0101083411408123,0.0102917252574657,0.000361927542907499,0.0305351472294792,1.54862813922705,0.254152995120973
670,0.091316745655246,0.00472051103156903,0.010211125902976,0.0103923317148629,0.000361254983351976,0.03084104509247,1.59549023695513,0.257768906709803
680,0.0913160264122018,0.00478906781247683,0.0103126566907865,0.0104917081729834,0.000360583673594555,0.0311432073578611,1.64303817689753,0.261378098954006
690,0.0913153069792137,0.00485756974841992,0.010412947962701,0.0105898687770182,0.00035991361131277,0.031441677070596,1.69127141038812,0.264980584339946
