rel_tol,quantity,max_rel_dev_vs_1e-10
0.001,tRNAfMetCAU,1.398783e-03
0.001,GlytRNAGlyGCC,3.628398e-04
0.001,tRNAGlyGCC,2.108563e-03
0.001,AMP,1.366975e-03
0.001,ATP,2.611370e-06
0.001,PPi,6.660285e-04
0.001,Gly,7.598137e-07
0.001,GlyRS,9.354899e-04
0.001,GlyRS_Gly_ATP,3.101513e-04
0.001,GlyRS_Gly,3.076387e-04
0.001,GlyRS_ATP,9.618916e-04
0.001,GlyAMP,1.955323e-03
0.001,GlyRS_GlyAMP_PPi,3.236928e-04
0.001,GlyRS_GlyAMP,5.641490e-04
0.001,GlyRS_degraded,0.000000e+00
0.001,GlyRS_AMP,3.490273e-04
0.001,Met,4.077850e-07
0.001,MetRS,1.144852e-03
0.001,MetRS_Met_ATP,1.498266e-03
0.001,MetRS_Met,1.496381e-03
0.001,MetRS_ATP,1.281253e-03
0.001,MetAMP,8.232029e-05
0.001,MetRS_MetAMP_PPi,1.642434e-03
0.001,MetRS_MetAMP,6.184989e-04
0.001,MetRS_degraded,0.000000e+00
0.001,MetRS_AMP,6.998794e-04
0.001,GlyRS_GlytRNAGlyGCC,2.233011e-03
0.001,GlyRS_AMP_GlytRNAGlyGCC,8.705553e-04
0.001,GlyRS_GlyAMP_tRNAGlyGCC,2.198286e-03
0.001,GlyRS_tRNAGlyGCC,1.039227e-03
0.001,GlyRS_Gly_tRNAGlyGCC,1.046193e-03
0.001,GlyRS_ATP_tRNAGlyGCC,1.038436e-03
0.001,GlyRS_Gly_ATP_tRNAGlyGCC,1.046307e-03
0.001,GlyRS_GlyAMP_PPi_tRNAGlyGCC,7.291991e-04
0.001,MetRS_MettRNAfMetCAU,1.645453e-03
0.001,MetRS_AMP_MettRNAfMetCAU,1.120977e-03
0.001,MettRNAfMetCAU,6.201077e-04
0.001,MetRS_MetAMP_tRNAfMetCAU,1.117369e-03
0.001,MetRS_tRNAfMetCAU,1.778828e-03
0.001,MetRS_Met_tRNAfMetCAU,2.454417e-03
0.001,MetRS_ATP_tRNAfMetCAU,2.452350e-03
0.001,MetRS_Met_ATP_tRNAfMetCAU,2.454670e-03
0.001,MetRS_MetAMP_PPi_tRNAfMetCAU,2.447581e-03
1e-05,tRNAfMetCAU,1.128994e-05
1e-05,GlytRNAGlyGCC,3.826626e-05
1e-05,tRNAGlyGCC,4.442599e-05
1e-05,AMP,1.530179e-05
